ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EDDF,40NM,H,07C,"(0,50]",41,18.116666666666667,16.833333333333332,17.95,17.391666666666666,NA,ARR
EDDF,40NM,H,07C,"(50,170]",504,17.55,15.704999999999998,17.2,16.4525,NA,ARR
EDDF,40NM,H,07C,"(170,280]",197,11.483333333333333,10.426666666666666,11.17,10.798333333333332,NA,ARR
EDDF,40NM,H,07C,"(280,360]",341,13.483333333333333,12.383333333333333,13.166666666666666,12.774999999999999,NA,ARR
EDDF,40NM,H,07L,"(0,50]",162,17.636666666666667,16.5175,17.440833333333334,16.979166666666664,NA,ARR
EDDF,40NM,H,07L,"(50,170]",1070,17.283333333333335,16.19083333333333,17.072499999999998,16.631666666666664,NA,ARR
EDDF,40NM,H,07L,"(170,280]",1965,10.716666666666667,10.086666666666666,10.55,10.318333333333333,NA,ARR
EDDF,40NM,H,07L,"(280,360]",1598,12.406666666666666,11.183333333333334,12.15,11.666666666666668,NA,ARR
EDDF,40NM,H,07R,"(0,50]",458,18.16,17.111666666666668,17.866666666666667,17.48916666666667,NA,ARR
EDDF,40NM,H,07R,"(50,170]",5587,17.516666666666666,16.15,17.2,16.674999999999997,NA,ARR
EDDF,40NM,H,07R,"(170,280]",2175,11.2,10.433333333333334,11,10.716666666666667,NA,ARR
EDDF,40NM,H,07R,"(280,360]",1691,13.15,11.841666666666667,12.75,12.295833333333334,NA,ARR
EDDF,40NM,H,25C,"(0,50]",35,11.24,10.386666666666667,10.918333333333333,10.6525,NA,ARR
EDDF,40NM,H,25C,"(50,170]",3306,12.283333333333333,11.2,11.966666666666667,11.583333333333332,NA,ARR
EDDF,40NM,H,25C,"(170,280]",1203,16.75,15.434999999999999,16.371666666666666,15.903333333333332,NA,ARR
EDDF,40NM,H,25C,"(280,360]",1096,14.933333333333334,13.35,14.516666666666667,13.933333333333334,NA,ARR
EDDF,40NM,H,25L,"(0,50]",138,11.33,10.756666666666668,11.109166666666667,10.932916666666667,NA,ARR
EDDF,40NM,H,25L,"(50,170]",10908,11.95,11.016666666666667,11.7,11.358333333333334,NA,ARR
EDDF,40NM,H,25L,"(170,280]",3397,17.25,16.033333333333335,16.89,16.461666666666666,NA,ARR
EDDF,40NM,H,25L,"(280,360]",2919,15.25,13.8,14.833333333333334,14.316666666666666,NA,ARR
EDDF,40NM,H,25R,"(0,50]",145,11.816666666666666,11.22,11.676666666666666,11.448333333333334,NA,ARR
