ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EDDM,40NM,H,08L,"(0,90]",188,14.283333333333333,13.3525,13.984999999999998,13.66875,NA,ARR
EDDM,40NM,H,08L,"(90,220]",307,15.693333333333333,14.58,15.481666666666666,15.030833333333334,NA,ARR
EDDM,40NM,H,08L,"(220,300]",383,10.25,9.556666666666667,10.116666666666667,9.836666666666666,NA,ARR
EDDM,40NM,H,08L,"(300,360]",1650,10.566666666666666,9.783333333333333,10.355833333333333,10.069583333333334,NA,ARR
EDDM,40NM,H,08R,"(0,90]",62,14.206666666666667,13.47,13.985833333333332,13.727916666666665,NA,ARR
EDDM,40NM,H,08R,"(90,220]",1731,15.033333333333333,13.775,14.666666666666666,14.220833333333333,NA,ARR
EDDM,40NM,H,08R,"(220,300]",184,10.143333333333334,9.471666666666668,10.0075,9.739583333333334,NA,ARR
EDDM,40NM,H,08R,"(300,360]",414,10.516666666666667,9.848333333333333,10.3,10.074166666666667,NA,ARR
EDDM,40NM,H,26L,"(0,90]",151,11.716666666666667,11.033333333333333,11.558333333333334,11.295833333333334,NA,ARR
EDDM,40NM,H,26L,"(90,220]",3120,11.033333333333333,10.283333333333333,10.833333333333334,10.558333333333334,NA,ARR
EDDM,40NM,H,26L,"(220,300]",154,15.11,13.694166666666668,14.879166666666666,14.286666666666667,NA,ARR
EDDM,40NM,H,26L,"(300,360]",296,15.116666666666667,13.766666666666667,14.775000000000002,14.270833333333336,NA,ARR
EDDM,40NM,H,26R,"(0,90]",407,11.253333333333334,10.326666666666666,11.033333333333333,10.68,NA,ARR
EDDM,40NM,H,26R,"(90,220]",1028,10.85,10.155833333333334,10.65,10.402916666666666,NA,ARR
EDDM,40NM,H,26R,"(220,300]",472,15.166666666666666,14.133333333333333,14.883333333333333,14.508333333333333,NA,ARR
EDDM,40NM,H,26R,"(300,360]",4261,14.633333333333333,13.466666666666667,14.3,13.883333333333333,NA,ARR
EDDM,40NM,HEL,26L,"(220,300]",1,33.583333333333336,33.583333333333336,33.583333333333336,33.583333333333336,NA,ARR
EDDM,40NM,HEL,26L,"(300,360]",2,37.3,37.3,37.3,37.3,NA,ARR
EDDM,40NM,LJ,08L,"(0,90]",110,14.37,12.98,13.855833333333333,13.417916666666667,NA,ARR
EDDM,40NM,LJ,08L,"(90,220]",70,11.886666666666667,11.241666666666667,11.767500000000002,11.504583333333334,NA,ARR
EDDM,40NM,LJ,08L,"(220,300]",66,10.416666666666666,9.962499999999999,10.279166666666667,10.120833333333334,NA,ARR
EDDM,40NM,LJ,08L,"(300,360]",100,10.813333333333334,10.05,10.547500000000001,10.298750000000002,NA,ARR
EDDM,40NM,LJ,08R,"(0,90]",20,14.486666666666668,13.445,13.924166666666666,13.684583333333332,NA,ARR
EDDM,40NM,LJ,08R,"(90,220]",177,11.886666666666667,10.850000000000001,11.61,11.23,NA,ARR
EDDM,40NM,LJ,08R,"(220,300]",81,10.683333333333334,9.966666666666667,10.516666666666667,10.241666666666667,NA,ARR
EDDM,40NM,LJ,08R,"(300,360]",28,10.920000000000002,10.589166666666667,10.77,10.679583333333333,NA,ARR
EDDM,40NM,LJ,26L,"(0,90]",37,11.536666666666667,11.263333333333334,11.446666666666667,11.355,NA,ARR
EDDM,40NM,LJ,26L,"(90,220]",216,12.883333333333333,11.15,12.420833333333334,11.785416666666666,NA,ARR
EDDM,40NM,LJ,26L,"(220,300]",107,15.456666666666665,14.476666666666667,15.161666666666665,14.819166666666666,NA,ARR
EDDM,40NM,LJ,26L,"(300,360]",44,15.58,14.319166666666668,15.290833333333333,14.805,NA,ARR
EDDM,40NM,LJ,26R,"(0,90]",140,11.296666666666667,10.6125,11.2,10.90625,NA,ARR
EDDM,40NM,LJ,26R,"(90,220]",113,12.64,10.780000000000001,12.16,11.47,NA,ARR
EDDM,40NM,LJ,26R,"(220,300]",108,14.686666666666667,13.575833333333334,14.335833333333333,13.955833333333334,NA,ARR
EDDM,40NM,LJ,26R,"(300,360]",192,14.383333333333333,13.114166666666666,14.216666666666667,13.665416666666665,NA,ARR
EDDM,40NM,LP,08L,"(220,300]",1,15.416666666666666,15.416666666666666,15.416666666666666,15.416666666666666,NA,ARR
EDDM,40NM,LP,08L,"(300,360]",1,15.633333333333333,15.633333333333333,15.633333333333333,15.633333333333333,NA,ARR
EDDM,40NM,LP,26L,"(90,220]",1,23.616666666666667,23.616666666666667,23.616666666666667,23.616666666666667,NA,ARR
EDDM,40NM,LP,26L,"(220,300]",1,24.2,24.2,24.2,24.2,NA,ARR
EDDM,40NM,LP,26R,"(220,300]",1,25.8,25.8,25.8,25.8,NA,ARR
EDDM,40NM,LP,26R,"(300,360]",3,21.873333333333335,21.668333333333333,21.805,21.736666666666665,NA,ARR
EDDM,40NM,LT,08L,"(0,90]",13,16.00333333333333,15.346666666666668,15.766666666666666,15.556666666666667,NA,ARR
EDDM,40NM,LT,08L,"(90,220]",3,13.726666666666667,13.231666666666666,13.561666666666667,13.396666666666667,NA,ARR
EDDM,40NM,LT,08L,"(220,300]",22,11.08,10.300833333333333,10.778333333333332,10.539583333333333,NA,ARR
EDDM,40NM,LT,08L,"(300,360]",25,11.563333333333333,11.15,11.403333333333332,11.276666666666667,NA,ARR
EDDM,40NM,LT,08R,"(0,90]",3,15.27,15.205,15.248333333333333,15.226666666666667,NA,ARR
EDDM,40NM,LT,08R,"(90,220]",23,13.16,12.026666666666667,12.77,12.398333333333333,NA,ARR
EDDM,40NM,LT,08R,"(220,300]",16,10.966666666666667,10.141666666666666,10.929166666666667,10.535416666666666,NA,ARR
EDDM,40NM,LT,08R,"(300,360]",5,12.443333333333333,10.973333333333333,11.953333333333333,11.463333333333333,NA,ARR
EDDM,40NM,LT,26L,"(0,90]",8,13.870000000000001,12.723333333333333,13.8525,13.287916666666666,NA,ARR
EDDM,40NM,LT,26L,"(90,220]",25,13.48,11.963333333333335,12.906666666666666,12.435,NA,ARR
EDDM,40NM,LT,26L,"(220,300]",14,16.376666666666665,15.838333333333331,16.115000000000002,15.976666666666667,NA,ARR
EDDM,40NM,LT,26L,"(300,360]",12,14.783333333333333,14.290833333333333,14.563333333333333,14.427083333333332,NA,ARR
EDDM,40NM,LT,26R,"(0,90]",46,12.383333333333333,11.370833333333334,11.854166666666664,11.612499999999999,NA,ARR
EDDM,40NM,LT,26R,"(90,220]",6,12.933333333333334,12.095833333333335,12.654166666666665,12.375,NA,ARR
EDDM,40NM,LT,26R,"(220,300]",18,16.46,15.975833333333332,16.261666666666667,16.11875,NA,ARR
EDDM,40NM,LT,26R,"(300,360]",32,15.436666666666667,12.01,14.249166666666667,13.129583333333333,NA,ARR
EDDM,40NM,MJ,08L,"(0,90]",8079,14.15,12.831666666666667,13.8,13.315833333333334,NA,ARR
EDDM,40NM,MJ,08L,"(90,220]",2362,11.75,10.633333333333333,11.45,11.041666666666666,NA,ARR
EDDM,40NM,MJ,08L,"(220,300]",3286,10.15,9.466666666666667,9.966666666666667,9.716666666666667,NA,ARR
EDDM,40NM,MJ,08L,"(300,360]",6586,10.333333333333334,9.633333333333333,10.15,9.891666666666666,NA,ARR
EDDM,40NM,MJ,08R,"(0,90]",1748,13.966666666666667,12.683333333333334,13.616666666666667,13.15,NA,ARR
EDDM,40NM,MJ,08R,"(90,220]",15259,11.75,10.4,11.35,10.875,NA,ARR
EDDM,40NM,MJ,08R,"(220,300]",5776,10.116666666666667,9.366666666666667,9.9,9.633333333333333,NA,ARR
EDDM,40NM,MJ,08R,"(300,360]",2229,10.216666666666667,9.533333333333333,10.05,9.791666666666668,NA,ARR
EDDM,40NM,MJ,26L,"(0,90]",1472,11.336666666666666,10.4925,11.116666666666667,10.804583333333333,NA,ARR
EDDM,40NM,MJ,26L,"(90,220]",24539,11.366666666666667,10.366666666666667,11.083333333333334,10.725000000000001,NA,ARR
EDDM,40NM,MJ,26L,"(220,300]",8293,14.766666666666667,13.55,14.463333333333331,14.006666666666666,NA,ARR
EDDM,40NM,MJ,26L,"(300,360]",2242,14.6,13.500833333333334,14.335833333333333,13.918333333333333,NA,ARR
EDDM,40NM,MJ,26R,"(0,90]",17625,10.733333333333333,9.916666666666666,10.533333333333333,10.225,NA,ARR
EDDM,40NM,MJ,26R,"(90,220]",6429,11.15,10.083333333333334,10.85,10.466666666666667,NA,ARR
EDDM,40NM,MJ,26R,"(220,300]",5259,14.393333333333336,13.231666666666667,14.066666666666666,13.649166666666666,NA,ARR
EDDM,40NM,MJ,26R,"(300,360]",16906,14.05,12.85,13.716666666666667,13.283333333333333,NA,ARR
EDDM,40NM,MT,08L,"(0,90]",74,14.716666666666667,13.593333333333334,14.565833333333332,14.079583333333332,NA,ARR
EDDM,40NM,MT,08L,"(90,220]",23,16.163333333333334,13.091666666666665,15.793333333333333,14.442499999999999,NA,ARR
EDDM,40NM,MT,08L,"(220,300]",191,10.783333333333333,10.108333333333334,10.491666666666667,10.3,NA,ARR
EDDM,40NM,MT,08L,"(300,360]",30,11.283333333333333,10.775,11.15,10.9625,NA,ARR
EDDM,40NM,MT,08R,"(0,90]",11,16.95,16.766666666666666,16.95,16.858333333333334,NA,ARR
EDDM,40NM,MT,08R,"(90,220]",389,15.666666666666666,14.45,15.37,14.91,NA,ARR
EDDM,40NM,MT,08R,"(220,300]",43,11.636666666666667,10.853333333333335,11.181666666666667,11.017500000000002,NA,ARR
EDDM,40NM,MT,08R,"(300,360]",11,11.5,10.825,11.208333333333332,11.016666666666666,NA,ARR
EDDM,40NM,MT,26L,"(0,90]",10,11.596666666666666,10.609166666666667,11.139166666666668,10.874166666666667,NA,ARR
EDDM,40NM,MT,26L,"(90,220]",799,11.65,10.948333333333332,11.466666666666667,11.2075,NA,ARR
EDDM,40NM,MT,26L,"(220,300]",36,17.233333333333334,16.4125,16.820833333333336,16.616666666666667,NA,ARR
EDDM,40NM,MT,26L,"(300,360]",43,17.216666666666665,16.37,17.093333333333334,16.73166666666667,NA,ARR
EDDM,40NM,MT,26R,"(0,90]",129,11.746666666666666,10.84,11.436666666666667,11.138333333333334,NA,ARR
EDDM,40NM,MT,26R,"(90,220]",35,11.96,11.468333333333334,11.770000000000001,11.619166666666668,NA,ARR
EDDM,40NM,MT,26R,"(220,300]",340,15.8,14.780000000000001,15.516666666666667,15.148333333333333,NA,ARR
EDDM,40NM,MT,26R,"(300,360]",77,15.576666666666666,14.55,15.176666666666668,14.863333333333333,NA,ARR
EDDM,100NM,H,08L,NA,202,22.506666666666668,21.516666666666666,22.224166666666665,21.870416666666664,"(0,90]",ARR
EDDM,100NM,H,08L,NA,308,24.333333333333332,22.916666666666668,23.985,23.450833333333335,"(90,220]",ARR
EDDM,100NM,H,08L,NA,132,18.51,17.688333333333333,18.383333333333333,18.035833333333333,"(220,300]",ARR
EDDM,100NM,H,08L,NA,1886,19.166666666666668,18.033333333333335,18.866666666666667,18.450000000000003,"(300,360]",ARR
EDDM,100NM,H,08R,NA,78,22.526666666666667,21.518333333333334,21.975,21.74666666666667,"(0,90]",ARR
EDDM,100NM,H,08R,NA,1729,24.033333333333335,22.55,23.619999999999997,23.085,"(90,220]",ARR
EDDM,100NM,H,08R,NA,96,18.95,17.912499999999998,18.583333333333332,18.247916666666665,"(220,300]",ARR
EDDM,100NM,H,08R,NA,488,19.10666666666667,18.139166666666664,18.7,18.419583333333332,"(300,360]",ARR
EDDM,100NM,H,26L,NA,144,21.020000000000003,20.069166666666664,20.715,20.392083333333332,"(0,90]",ARR
EDDM,100NM,H,26L,NA,3122,20.833333333333332,19.65,20.516666666666666,20.083333333333332,"(90,220]",ARR
EDDM,100NM,H,26L,NA,152,23.45,22.017500000000002,23.055,22.536250000000003,"(220,300]",ARR
EDDM,100NM,H,26L,NA,303,23.189999999999998,21.888333333333332,22.788333333333334,22.33833333333333,"(300,360]",ARR
EDDM,100NM,H,26R,NA,396,20.433333333333334,19.466666666666665,20.1125,19.789583333333333,"(0,90]",ARR
EDDM,100NM,H,26R,NA,1035,20.633333333333333,19.394999999999996,20.283333333333335,19.839166666666664,"(90,220]",ARR
EDDM,100NM,H,26R,NA,391,23.5,22.35,23.125,22.7375,"(220,300]",ARR
EDDM,100NM,H,26R,NA,4346,22.6,21.233333333333334,22.266666666666666,21.75,"(300,360]",ARR
