ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EGLL,40NM,H,09L,"(0,110]",8720,17.066666666666666,15.75,16.7,16.225,NA,ARR
EGLL,40NM,H,09L,"(110,170]",1177,16.873333333333335,15.09,16.4,15.745,NA,ARR
EGLL,40NM,H,09L,"(170,230]",3456,16.25,13.345833333333333,15.5,14.422916666666666,NA,ARR
EGLL,40NM,H,09L,"(230,300]",3898,17.14666666666667,13.883333333333333,16.185,15.034166666666666,NA,ARR
EGLL,40NM,H,09L,"(300,360]",6855,16.163333333333338,13.2,15.283333333333333,14.241666666666667,NA,ARR
EGLL,40NM,H,09R,"(0,110]",926,17.016666666666666,15.604166666666666,16.7,16.152083333333334,NA,ARR
EGLL,40NM,H,09R,"(110,170]",195,16.206666666666667,14.528333333333332,15.475000000000001,15.001666666666667,NA,ARR
EGLL,40NM,H,09R,"(170,230]",317,15.236666666666666,11.85,13.766666666666667,12.808333333333334,NA,ARR
EGLL,40NM,H,09R,"(230,300]",267,18.983333333333334,14.346666666666666,18.086666666666666,16.216666666666665,NA,ARR
EGLL,40NM,H,09R,"(300,360]",69,19.38666666666667,13.713333333333335,16.63,15.171666666666667,NA,ARR
EGLL,40NM,H,27L,"(0,110]",11882,13.5,11.433333333333334,12.866666666666667,12.15,NA,ARR
EGLL,40NM,H,27L,"(110,170]",2008,14.15,11.55,13.25,12.4,NA,ARR
EGLL,40NM,H,27L,"(170,230]",4740,17.2,15.183333333333334,16.666666666666668,15.925,NA,ARR
EGLL,40NM,H,27L,"(230,300]",6045,18.866666666666667,16.7,18.243333333333332,17.471666666666664,NA,ARR
EGLL,40NM,H,27L,"(300,360]",6875,17.280000000000005,15.3,16.733333333333334,16.016666666666666,NA,ARR
EGLL,40NM,H,27R,"(0,110]",11949,13.15,11.216666666666667,12.55,11.883333333333333,NA,ARR
EGLL,40NM,H,27R,"(110,170]",1830,12.913333333333334,11.266666666666667,12.3,11.783333333333335,NA,ARR
EGLL,40NM,H,27R,"(170,230]",4361,16.666666666666668,14.983333333333333,16.166666666666668,15.575,NA,ARR
EGLL,40NM,H,27R,"(230,300]",5583,18.6,16.616666666666667,18.066666666666666,17.34166666666667,NA,ARR
EGLL,40NM,H,27R,"(300,360]",7967,17.25,15.266666666666667,16.7,15.983333333333334,NA,ARR
EGLL,40NM,H,NA,"(300,360]",1,16.583333333333332,16.583333333333332,16.583333333333332,16.583333333333332,NA,ARR
EGLL,40NM,MJ,09L,"(0,110]",16098,16.85,15.25,16.4,15.825,NA,ARR
EGLL,40NM,MJ,09L,"(110,170]",9016,17.2,15.566666666666666,16.783333333333335,16.175,NA,ARR
EGLL,40NM,MJ,09L,"(170,230]",5109,14.533333333333333,12.316666666666666,13.95,13.133333333333333,NA,ARR
EGLL,40NM,MJ,09L,"(230,300]",959,14.153333333333332,11.681666666666667,13.561666666666666,12.621666666666666,NA,ARR
EGLL,40NM,MJ,09L,"(300,360]",6343,14.790000000000001,12.235,14.016666666666667,13.125833333333333,NA,ARR
EGLL,40NM,MJ,09R,"(0,110]",138,18.73,16.02,18.28666666666667,17.153333333333336,NA,ARR
EGLL,40NM,MJ,09R,"(110,170]",157,18.693333333333335,16.203333333333333,18.13,17.166666666666664,NA,ARR
EGLL,40NM,MJ,09R,"(170,230]",54,13.713333333333335,11.5275,12.906666666666666,12.217083333333333,NA,ARR
EGLL,40NM,MJ,09R,"(230,300]",49,19.10333333333333,13.05,18.37666666666667,15.713333333333335,NA,ARR
EGLL,40NM,MJ,09R,"(300,360]",36,18.416666666666668,11.658333333333331,13.8875,12.772916666666665,NA,ARR
EGLL,40NM,MJ,27L,"(0,110]",20498,13.416666666666666,11.516666666666667,12.85,12.183333333333334,NA,ARR
EGLL,40NM,MJ,27L,"(110,170]",11554,14.233333333333333,11.916666666666666,13.6,12.758333333333333,NA,ARR
EGLL,40NM,MJ,27L,"(170,230]",6190,16.066666666666666,14.65,15.666666666666666,15.158333333333333,NA,ARR
EGLL,40NM,MJ,27L,"(230,300]",1142,17.366666666666667,15.868333333333334,16.969166666666666,16.41875,NA,ARR
EGLL,40NM,MJ,27L,"(300,360]",8120,16.616666666666667,14.816666666666666,16.133333333333333,15.475,NA,ARR
EGLL,40NM,MJ,27R,"(0,110]",20318,13.256666666666668,11.333333333333334,12.683333333333334,12.008333333333333,NA,ARR
EGLL,40NM,MJ,27R,"(110,170]",11147,14.016666666666667,11.85,13.383333333333333,12.616666666666667,NA,ARR
EGLL,40NM,MJ,27R,"(170,230]",6020,15.966666666666667,14.533333333333333,15.633333333333333,15.083333333333332,NA,ARR
EGLL,40NM,MJ,27R,"(230,300]",1123,17.283333333333335,15.816666666666666,16.905,16.360833333333332,NA,ARR
EGLL,40NM,MJ,27R,"(300,360]",8208,16.416666666666668,14.65,15.933333333333334,15.291666666666668,NA,ARR
EGLL,40NM,MT,09L,"(0,110]",7,20.656666666666666,18.895,20.384999999999998,19.64,NA,ARR
EGLL,40NM,MT,09L,"(170,230]",8,18.076666666666668,14.475833333333334,16.945,15.710416666666667,NA,ARR
EGLL,40NM,MT,09L,"(230,300]",2,21.933333333333334,21.683333333333334,21.85,21.766666666666666,NA,ARR
EGLL,40NM,MT,09L,"(300,360]",212,16.240000000000002,13.059166666666666,15.455,14.257083333333334,NA,ARR
EGLL,40NM,MT,09R,"(300,360]",7,19.456666666666667,17.576666666666668,18.596666666666664,18.086666666666666,NA,ARR
EGLL,40NM,MT,27L,"(0,110]",17,14.466666666666667,12.709999999999999,14.04,13.375,NA,ARR
EGLL,40NM,MT,27L,"(170,230]",18,18.933333333333334,17.446666666666665,18.484166666666667,17.965416666666666,NA,ARR
EGLL,40NM,MT,27L,"(300,360]",282,17.966666666666665,16.45583333333333,17.398333333333333,16.927083333333332,NA,ARR
EGLL,40NM,MT,27R,"(0,110]",21,14.866666666666667,12.05,14.266666666666667,13.158333333333335,NA,ARR
