ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EHAM,40NM,H,06,"(0,150]",2372,15.85,14.65,15.6,15.125,NA,ARR
EHAM,40NM,H,06,"(150,250]",863,10.65,10.1,10.516666666666667,10.308333333333334,NA,ARR
EHAM,40NM,H,06,"(250,360]",5625,11.5,10.783333333333333,11.3,11.041666666666668,NA,ARR
EHAM,40NM,H,18C,"(0,150]",2536,13.383333333333333,12.55,13.2,12.875,NA,ARR
EHAM,40NM,H,18C,"(150,250]",198,15.65,14.570833333333335,15.310833333333335,14.940833333333334,NA,ARR
EHAM,40NM,H,18C,"(250,360]",918,12.016666666666667,11,11.766666666666667,11.383333333333333,NA,ARR
EHAM,40NM,H,18L,"(0,150]",1,-7.866666666666666,-7.866666666666666,-7.866666666666666,-7.866666666666666,NA,ARR
EHAM,40NM,H,18L,"(150,250]",1,-8.333333333333334,-8.333333333333334,-8.333333333333334,-8.333333333333334,NA,ARR
EHAM,40NM,H,18R,"(0,150]",4967,13.166666666666666,12.25,12.95,12.6,NA,ARR
EHAM,40NM,H,18R,"(150,250]",1600,14.98,13.966666666666667,14.75,14.358333333333334,NA,ARR
EHAM,40NM,H,18R,"(250,360]",11061,11.4,10.6,11.2,10.899999999999999,NA,ARR
EHAM,40NM,H,22,"(0,150]",232,11.866666666666667,10.975833333333334,11.644166666666667,11.31,NA,ARR
EHAM,40NM,H,22,"(150,250]",29,16.43,15.966666666666667,16.28333333333333,16.125,NA,ARR
EHAM,40NM,H,22,"(250,360]",130,15.246666666666666,13.607500000000002,14.905833333333334,14.256666666666668,NA,ARR
EHAM,40NM,H,24,"(0,150]",20,13.223333333333333,12.7325,13.094166666666666,12.913333333333334,NA,ARR
EHAM,40NM,H,24,"(150,250]",6,16.316666666666666,-2.4833333333333334,10.05,3.7833333333333337,NA,ARR
EHAM,40NM,H,24,"(250,360]",30,14.583333333333334,14.170000000000002,14.440833333333334,14.305416666666668,NA,ARR
EHAM,40NM,H,27,"(0,150]",2977,10.95,10.2,10.783333333333333,10.491666666666667,NA,ARR
EHAM,40NM,H,27,"(150,250]",340,15.58,14.415,15.261666666666668,14.838333333333335,NA,ARR
EHAM,40NM,H,27,"(250,360]",1908,15.49,14.45,15.216666666666667,14.833333333333332,NA,ARR
