ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LEMD,40NM,H,18L,"(0,80]",1064,12.7,11.466666666666667,12.366666666666667,11.916666666666668,NA,ARR
LEMD,40NM,H,18L,"(80,170]",590,15.533333333333333,14.407499999999999,15.139166666666668,14.773333333333333,NA,ARR
LEMD,40NM,H,18L,"(170,260]",308,15.25,14.055833333333334,15,14.527916666666666,NA,ARR
LEMD,40NM,H,18L,"(260,360]",861,10.983333333333333,10.433333333333334,10.816666666666666,10.625,NA,ARR
LEMD,40NM,H,18R,"(0,80]",50,13.526666666666667,12.215,12.938333333333333,12.576666666666666,NA,ARR
LEMD,40NM,H,18R,"(80,170]",20,16.060000000000002,15.245833333333335,15.8125,15.529166666666669,NA,ARR
LEMD,40NM,H,18R,"(170,260]",774,17.083333333333332,15.960833333333333,16.783333333333335,16.372083333333336,NA,ARR
LEMD,40NM,H,18R,"(260,360]",2756,11,10.433333333333334,10.866666666666667,10.65,NA,ARR
LEMD,40NM,H,32L,"(0,80]",47,13.063333333333334,12.016666666666666,12.871666666666666,12.444166666666666,NA,ARR
LEMD,40NM,H,32L,"(80,170]",177,11.253333333333334,10.68,11.073333333333334,10.876666666666667,NA,ARR
LEMD,40NM,H,32L,"(170,260]",6527,12.4,11.616666666666667,12.233333333333333,11.925,NA,ARR
LEMD,40NM,H,32L,"(260,360]",5935,14.783333333333333,13.616666666666667,14.483333333333333,14.05,NA,ARR
LEMD,40NM,H,32R,"(0,80]",1005,13.1,12.383333333333333,12.916666666666666,12.649999999999999,NA,ARR
LEMD,40NM,H,32R,"(80,170]",3836,11.033333333333333,10.516666666666667,10.9,10.708333333333334,NA,ARR
LEMD,40NM,H,32R,"(170,260]",3762,11.883333333333333,11.2,11.716666666666667,11.458333333333332,NA,ARR
LEMD,40NM,H,32R,"(260,360]",1544,14.366666666666667,13.383333333333333,14.116666666666667,13.75,NA,ARR
LEMD,40NM,LJ,18L,"(0,80]",166,13.066666666666666,11.862499999999999,12.6375,12.25,NA,ARR
LEMD,40NM,LJ,18L,"(80,170]",52,15.933333333333334,14.656666666666666,15.259166666666667,14.957916666666666,NA,ARR
LEMD,40NM,LJ,18L,"(170,260]",13,16.85333333333333,16.116666666666667,16.556666666666665,16.336666666666666,NA,ARR
LEMD,40NM,LJ,18L,"(260,360]",6,10.266666666666667,10.091666666666667,10.208333333333334,10.15,NA,ARR
LEMD,40NM,LJ,18R,"(0,80]",7,13.793333333333333,13.188333333333333,13.698333333333334,13.443333333333333,NA,ARR
LEMD,40NM,LJ,18R,"(80,170]",1,18.816666666666666,18.816666666666666,18.816666666666666,18.816666666666666,NA,ARR
LEMD,40NM,LJ,18R,"(170,260]",56,18.033333333333335,16.1125,17.90833333333333,17.010416666666664,NA,ARR
LEMD,40NM,LJ,18R,"(260,360]",52,10.57,9.943333333333335,10.426666666666666,10.185,NA,ARR
LEMD,40NM,LJ,32L,"(0,80]",4,14.806666666666667,14.364166666666666,14.659166666666668,14.511666666666667,NA,ARR
LEMD,40NM,LJ,32L,"(80,170]",15,10.613333333333333,10.243333333333332,10.601666666666667,10.4225,NA,ARR
LEMD,40NM,LJ,32L,"(170,260]",172,12.139999999999999,11.120000000000001,11.826666666666666,11.473333333333333,NA,ARR
LEMD,40NM,LJ,32L,"(260,360]",127,16.736666666666668,15.255,16.198333333333334,15.726666666666667,NA,ARR
LEMD,40NM,LJ,32R,"(0,80]",120,13.536666666666667,12.680000000000001,13.320833333333333,13.000416666666666,NA,ARR
LEMD,40NM,LJ,32R,"(80,170]",338,11.183333333333334,10.530833333333332,11.001666666666667,10.76625,NA,ARR
LEMD,40NM,LJ,32R,"(170,260]",10,11.913333333333334,11.4725,11.680833333333332,11.576666666666666,NA,ARR
LEMD,40NM,LJ,32R,"(260,360]",9,15.936666666666667,15.436666666666667,15.756666666666666,15.596666666666668,NA,ARR
LEMD,40NM,LT,18L,"(0,80]",16,13.083333333333334,12.558333333333334,12.945833333333335,12.752083333333335,NA,ARR
LEMD,40NM,LT,18L,"(80,170]",1,18.083333333333332,18.083333333333332,18.083333333333332,18.083333333333332,NA,ARR
LEMD,40NM,LT,18L,"(260,360]",1,13.133333333333333,13.133333333333333,13.133333333333333,13.133333333333333,NA,ARR
LEMD,40NM,LT,18R,"(0,80]",2,13.806666666666668,13.689166666666667,13.7675,13.728333333333333,NA,ARR
LEMD,40NM,LT,18R,"(170,260]",2,22.986666666666668,22.39666666666667,22.79,22.593333333333334,NA,ARR
LEMD,40NM,LT,18R,"(260,360]",2,10.946666666666665,10.824166666666667,10.905833333333332,10.864999999999998,NA,ARR
LEMD,40NM,LT,32L,"(170,260]",7,12.783333333333331,12.046666666666667,12.606666666666666,12.326666666666666,NA,ARR
LEMD,40NM,LT,32L,"(260,360]",3,19.39,18.910000000000004,19.23,19.07,NA,ARR
LEMD,40NM,LT,32R,"(0,80]",27,14.580000000000002,13.176666666666666,14.148333333333333,13.6625,NA,ARR
LEMD,40NM,LT,32R,"(80,170]",27,11.87,11.618333333333334,11.815,11.716666666666667,NA,ARR
LEMD,40NM,LT,32R,"(170,260]",1,14.316666666666666,14.316666666666666,14.316666666666666,14.316666666666666,NA,ARR
LEMD,40NM,LT,32R,"(260,360]",1,25.783333333333335,25.783333333333335,25.783333333333335,25.783333333333335,NA,ARR
LEMD,40NM,MJ,14L,"(260,360]",1,13.883333333333333,13.883333333333333,13.883333333333333,13.883333333333333,NA,ARR
LEMD,40NM,MJ,14R,"(260,360]",1,13.216666666666667,13.216666666666667,13.216666666666667,13.216666666666667,NA,ARR
LEMD,40NM,MJ,18L,"(0,80]",16415,12.233333333333333,11.15,11.916666666666666,11.533333333333333,NA,ARR
LEMD,40NM,MJ,18L,"(80,170]",4620,15.23,13.933333333333334,14.916666666666666,14.425,NA,ARR
LEMD,40NM,MJ,18L,"(170,260]",855,15.629999999999999,14.133333333333333,15.333333333333334,14.733333333333334,NA,ARR
LEMD,40NM,MJ,18L,"(260,360]",1261,10.533333333333333,9.916666666666666,10.4,10.158333333333333,NA,ARR
LEMD,40NM,MJ,18R,"(0,80]",499,12.493333333333332,11.231666666666666,12.128333333333334,11.68,NA,ARR
LEMD,40NM,MJ,18R,"(80,170]",123,15.739999999999998,14.335,15.308333333333334,14.821666666666667,NA,ARR
LEMD,40NM,MJ,18R,"(170,260]",4092,16.666666666666668,15.275833333333335,16.25,15.762916666666667,NA,ARR
LEMD,40NM,MJ,18R,"(260,360]",8854,10.683333333333334,10.1,10.516666666666667,10.308333333333334,NA,ARR
LEMD,40NM,MJ,32L,"(0,80]",650,12.813333333333334,11.815000000000001,12.539166666666667,12.177083333333334,NA,ARR
LEMD,40NM,MJ,32L,"(80,170]",1493,10.816666666666666,10.183333333333334,10.65,10.416666666666668,NA,ARR
LEMD,40NM,MJ,32L,"(170,260]",19535,11.9,11.166666666666666,11.716666666666667,11.441666666666666,NA,ARR
LEMD,40NM,MJ,32L,"(260,360]",18840,15.816666666666666,14.365833333333335,15.45,14.907916666666667,NA,ARR
LEMD,40NM,MJ,32R,"(0,80]",16075,13,12.266666666666667,12.816666666666666,12.541666666666668,NA,ARR
LEMD,40NM,MJ,32R,"(80,170]",40858,10.916666666666666,10.3,10.75,10.525,NA,ARR
LEMD,40NM,MJ,32R,"(170,260]",2717,11.366666666666667,10.646666666666668,11.2,10.923333333333334,NA,ARR
LEMD,40NM,MJ,32R,"(260,360]",1677,15.45,14.08,15.116666666666667,14.598333333333333,NA,ARR
LEMD,40NM,MJ,36L,"(0,80]",1,-8.6,-8.6,-8.6,-8.6,NA,ARR
LEMD,40NM,MJ,36R,"(0,80]",1,-8.116666666666667,-8.116666666666667,-8.116666666666667,-8.116666666666667,NA,ARR
LEMD,40NM,MJ,36R,"(170,260]",2,15.376666666666667,15.344166666666666,15.365833333333335,15.355,NA,ARR
LEMD,40NM,MT,18L,"(0,80]",117,13.003333333333334,11.783333333333333,12.64,12.211666666666666,NA,ARR
LEMD,40NM,MT,18L,"(80,170]",86,16.85,15.579166666666667,16.512500000000003,16.045833333333334,NA,ARR
LEMD,40NM,MT,18L,"(170,260]",109,18.523333333333333,17.39,18.173333333333332,17.781666666666666,NA,ARR
LEMD,40NM,MT,18L,"(260,360]",15,12.813333333333334,11.015,12.101666666666667,11.558333333333334,NA,ARR
LEMD,40NM,MT,18R,"(0,80]",1,12.416666666666666,12.416666666666666,12.416666666666666,12.416666666666666,NA,ARR
LEMD,40NM,MT,18R,"(80,170]",3,16.673333333333332,15.643333333333334,16.33,15.986666666666666,NA,ARR
LEMD,40NM,MT,18R,"(170,260]",270,19.78,17.8525,19.383333333333333,18.617916666666666,NA,ARR
LEMD,40NM,MT,18R,"(260,360]",101,11.983333333333333,11.266666666666667,11.783333333333333,11.525,NA,ARR
LEMD,40NM,MT,32L,"(0,80]",13,15.166666666666668,13.566666666666666,14.726666666666665,14.146666666666665,NA,ARR
LEMD,40NM,MT,32L,"(80,170]",32,11.556666666666667,10.8925,11.469166666666666,11.180833333333332,NA,ARR
LEMD,40NM,MT,32L,"(170,260]",1186,12.466666666666667,11.716666666666667,12.266666666666667,11.991666666666667,NA,ARR
LEMD,40NM,MT,32L,"(260,360]",23,16.89,15.648333333333335,16.29,15.969166666666666,NA,ARR
LEMD,40NM,MT,32R,"(0,80]",174,14.486666666666666,13.627500000000001,14.298333333333334,13.962916666666668,NA,ARR
LEMD,40NM,MT,32R,"(80,170]",492,11.433333333333334,10.95,11.333333333333334,11.141666666666666,NA,ARR
LEMD,40NM,MT,32R,"(170,260]",135,13.11,12.326666666666666,12.903333333333334,12.615,NA,ARR
LEMD,40NM,MT,32R,"(260,360]",9,17.503333333333334,16.543333333333333,17.223333333333333,16.883333333333333,NA,ARR
LEMD,40NM,MT,36R,"(170,260]",1,-23.133333333333333,-23.133333333333333,-23.133333333333333,-23.133333333333333,NA,ARR
LEMD,100NM,H,18L,NA,414,22.566666666666666,20.96,22.34916666666667,21.654583333333335,"(0,80]",ARR
LEMD,100NM,H,18L,NA,1238,26.033333333333335,24.3,25.55,24.925,"(80,170]",ARR
LEMD,100NM,H,18L,NA,516,23.116666666666667,21.50416666666667,22.583333333333332,22.043750000000003,"(170,260]",ARR
LEMD,100NM,H,18L,NA,655,19.93,19.045,19.685000000000002,19.365000000000002,"(260,360]",ARR
LEMD,100NM,H,18R,NA,22,22.793333333333337,20.3525,22.350833333333334,21.351666666666667,"(0,80]",ARR
LEMD,100NM,H,18R,NA,53,26.54,25.60333333333333,26.116666666666667,25.86,"(80,170]",ARR
LEMD,100NM,H,18R,NA,1598,24.923333333333332,23.0475,24.416666666666668,23.732083333333335,"(170,260]",ARR
LEMD,100NM,H,18R,NA,1927,20.533333333333335,19.45,20.264999999999997,19.857499999999998,"(260,360]",ARR
LEMD,100NM,H,32L,NA,83,23.24666666666667,21.333333333333336,22.636666666666667,21.985,"(0,80]",ARR
LEMD,100NM,H,32L,NA,161,21.316666666666666,19.95,21,20.475,"(80,170]",ARR
LEMD,100NM,H,32L,NA,5889,21.4,20.283333333333335,21.116666666666667,20.700000000000003,"(170,260]",ARR
LEMD,100NM,H,32L,NA,6553,23.016666666666666,21.62666666666667,22.683333333333334,22.155,"(260,360]",ARR
LEMD,100NM,H,32R,NA,1446,22.3,20.8875,21.9,21.393749999999997,"(0,80]",ARR
LEMD,100NM,H,32R,NA,3395,20.84666666666667,19.828333333333333,20.583333333333332,20.20583333333333,"(80,170]",ARR
LEMD,100NM,H,32R,NA,3214,20.516666666666666,19.583333333333332,20.283333333333335,19.933333333333334,"(170,260]",ARR
LEMD,100NM,H,32R,NA,2092,21.966666666666665,20.792500000000004,21.683333333333334,21.23791666666667,"(260,360]",ARR
LEMD,100NM,LJ,18L,NA,85,24.246666666666666,23.28333333333333,24.153333333333336,23.718333333333334,"(0,80]",ARR
