ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LFPG,40NM,H,08L,"(0,90]",61,17.333333333333332,15.983333333333333,17.05,16.516666666666666,NA,ARR
LFPG,40NM,H,08L,"(90,180]",65,17.87,16.87,17.66,17.265,NA,ARR
LFPG,40NM,H,08L,"(180,270]",54,-11.35,-12.493333333333332,-11.586666666666666,-12.04,NA,ARR
LFPG,40NM,H,08L,"(270,360]",47,11.26,9.731666666666667,10.978333333333332,10.355,NA,ARR
LFPG,40NM,H,08R,"(0,90]",1883,17.723333333333333,16.783333333333335,17.483333333333334,17.133333333333333,NA,ARR
LFPG,40NM,H,08R,"(90,180]",2620,17.98,16.983333333333334,17.716666666666665,17.35,NA,ARR
LFPG,40NM,H,08R,"(180,270]",2100,10.85,10.15,10.683333333333334,10.416666666666668,NA,ARR
LFPG,40NM,H,08R,"(270,360]",3881,11.583333333333334,10.883333333333333,11.4,11.141666666666666,NA,ARR
LFPG,40NM,H,09L,"(0,90]",3453,17.1,16.066666666666666,16.833333333333332,16.45,NA,ARR
LFPG,40NM,H,09L,"(90,180]",1304,17.766666666666666,16.7,17.5,17.1,NA,ARR
LFPG,40NM,H,09L,"(180,270]",364,10.95,10.2525,10.731666666666666,10.492083333333333,NA,ARR
LFPG,40NM,H,09L,"(270,360]",4898,11.033333333333333,10.364166666666666,10.866666666666667,10.615416666666667,NA,ARR
LFPG,40NM,H,09R,"(0,90]",107,16.653333333333332,15.969999999999999,16.565,16.2675,NA,ARR
LFPG,40NM,H,09R,"(90,180]",35,16.773333333333333,15.629999999999999,16.176666666666666,15.903333333333332,NA,ARR
LFPG,40NM,H,09R,"(180,270]",8,10.92,10.77,10.9025,10.83625,NA,ARR
LFPG,40NM,H,09R,"(270,360]",90,10.723333333333333,10.155833333333334,10.6,10.377916666666668,NA,ARR
LFPG,40NM,H,26L,"(0,90]",3815,11.15,10.395,10.966666666666667,10.680833333333332,NA,ARR
LFPG,40NM,H,26L,"(90,180]",5335,11.333333333333334,10.65,11.15,10.9,NA,ARR
LFPG,40NM,H,26L,"(180,270]",3418,17.5,16.264166666666668,17.209166666666665,16.736666666666665,NA,ARR
LFPG,40NM,H,26L,"(270,360]",7885,17.466666666666665,16.283333333333335,17.15,16.71666666666667,NA,ARR
LFPG,40NM,H,26R,"(0,90]",189,10.836666666666666,10.186666666666667,10.620000000000001,10.403333333333334,NA,ARR
LFPG,40NM,H,26R,"(90,180]",220,11.043333333333335,10.315,10.847499999999998,10.581249999999999,NA,ARR
LFPG,40NM,H,26R,"(180,270]",127,16.026666666666664,-11.278333333333334,15.341666666666667,2.0316666666666663,NA,ARR
LFPG,40NM,H,26R,"(270,360]",209,17.42666666666667,16.36,17.166666666666668,16.763333333333335,NA,ARR
LFPG,40NM,H,27L,"(0,90]",112,11.446666666666667,10.603333333333333,11.088333333333333,10.845833333333333,NA,ARR
LFPG,40NM,H,27L,"(90,180]",33,12.133333333333333,11.23,11.79,11.51,NA,ARR
LFPG,40NM,H,27L,"(180,270]",5,19.12,18.43,18.89,18.66,NA,ARR
LFPG,40NM,H,27L,"(270,360]",102,17.583333333333332,16.733333333333334,17.343333333333334,17.038333333333334,NA,ARR
LFPG,40NM,H,27R,"(0,90]",5767,11.6,10.916666666666666,11.416666666666666,11.166666666666666,NA,ARR
LFPG,40NM,H,27R,"(90,180]",2322,12.166666666666666,11.45,11.966666666666667,11.708333333333332,NA,ARR
LFPG,40NM,H,27R,"(180,270]",437,18.683333333333334,17.546666666666667,18.389999999999997,17.968333333333334,NA,ARR
LFPG,40NM,H,27R,"(270,360]",7199,17.833333333333332,16.933333333333334,17.616666666666667,17.275,NA,ARR
LFPG,40NM,H,NA,"(0,90]",9,12.21,12.03,12.136666666666667,12.083333333333332,NA,ARR
LFPG,40NM,H,NA,"(90,180]",34,12.62,10.516666666666667,12.253333333333334,11.385000000000002,NA,ARR
LFPG,40NM,H,NA,"(180,270]",17,12.413333333333332,8.936666666666667,11.81,10.373333333333335,NA,ARR
LFPG,40NM,H,NA,"(270,360]",49,17.88,12.103333333333333,14.716666666666667,13.41,NA,ARR
LFPG,40NM,HEL,27L,"(180,270]",1,44.93333333333333,44.93333333333333,44.93333333333333,44.93333333333333,NA,ARR
LFPG,40NM,LJ,08R,"(0,90]",1,21.7,21.7,21.7,21.7,NA,ARR
LFPG,40NM,LJ,08R,"(90,180]",9,18.65,16.73,18.116666666666667,17.423333333333332,NA,ARR
LFPG,40NM,LJ,08R,"(180,270]",2,12.593333333333334,12.385833333333332,12.524166666666666,12.454999999999998,NA,ARR
LFPG,40NM,LJ,08R,"(270,360]",1,20.65,20.65,20.65,20.65,NA,ARR
LFPG,40NM,LJ,09L,"(0,90]",4,17.493333333333332,16.210833333333333,17.065833333333334,16.638333333333335,NA,ARR
LFPG,40NM,LJ,09L,"(90,180]",4,20.03666666666667,19.684166666666666,19.919166666666666,19.801666666666666,NA,ARR
LFPG,40NM,LJ,09L,"(270,360]",5,11.093333333333334,10.473333333333334,10.886666666666667,10.68,NA,ARR
LFPG,40NM,LJ,09R,"(0,90]",1,18.783333333333335,18.783333333333335,18.783333333333335,18.783333333333335,NA,ARR
LFPG,40NM,LJ,26L,"(0,90]",3,11.653333333333332,11.538333333333334,11.614999999999998,11.576666666666666,NA,ARR
LFPG,40NM,LJ,26L,"(90,180]",29,12.04,11.21,11.933333333333334,11.571666666666667,NA,ARR
LFPG,40NM,LJ,26L,"(180,270]",3,16.32333333333333,16.043333333333333,16.23,16.136666666666667,NA,ARR
LFPG,40NM,LJ,26L,"(270,360]",6,18.65,16.95,18.083333333333332,17.516666666666666,NA,ARR
