ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LIRF,40NM,H,16L,"(0,45]",118,10.05,9.373333333333333,9.925833333333333,9.649583333333332,NA,ARR
LIRF,40NM,H,16L,"(45,90]",329,12.41,11.386666666666667,12.236666666666666,11.811666666666667,NA,ARR
LIRF,40NM,H,16L,"(90,150]",372,13.816666666666666,12.509166666666667,13.5775,13.043333333333333,NA,ARR
LIRF,40NM,H,16L,"(150,215]",3,14.760000000000002,13.265000000000002,14.261666666666668,13.763333333333335,NA,ARR
LIRF,40NM,H,16L,"(215,285]",434,12.736666666666668,11.771666666666667,12.4,12.085833333333333,NA,ARR
LIRF,40NM,H,16L,"(285,360]",1418,9.966666666666667,9.297500000000001,9.8,9.548750000000002,NA,ARR
LIRF,40NM,H,16R,"(0,45]",456,10.9,9.991666666666667,10.570833333333333,10.28125,NA,ARR
LIRF,40NM,H,16R,"(45,90]",1704,13.183333333333334,12.0525,12.85,12.45125,NA,ARR
LIRF,40NM,H,16R,"(90,150]",1400,14.883333333333333,13.615833333333333,14.580833333333333,14.098333333333333,NA,ARR
LIRF,40NM,H,16R,"(150,215]",27,16.956666666666667,15.235,16.781666666666666,16.008333333333333,NA,ARR
LIRF,40NM,H,16R,"(215,285]",1115,12.896666666666668,11.633333333333333,12.516666666666667,12.075,NA,ARR
LIRF,40NM,H,16R,"(285,360]",5593,10.133333333333333,9.433333333333334,9.933333333333334,9.683333333333334,NA,ARR
LIRF,40NM,H,25,"(0,45]",4,19.58,18.02,19.06,18.54,NA,ARR
LIRF,40NM,H,25,"(45,90]",13,14.64,13.31,14.51,13.91,NA,ARR
LIRF,40NM,H,25,"(90,150]",15,13.276666666666667,12.09,13.253333333333334,12.671666666666667,NA,ARR
LIRF,40NM,H,25,"(215,285]",8,2.286666666666677,-9.553333333333333,-7.239166666666671,-8.396250000000002,NA,ARR
LIRF,40NM,H,25,"(285,360]",14,21.796666666666667,16.735833333333332,21.215000000000003,18.975416666666668,NA,ARR
LIRF,40NM,H,34L,"(0,45]",123,15.983333333333333,15.165000000000001,15.733333333333333,15.449166666666667,NA,ARR
LIRF,40NM,H,34L,"(45,90]",359,12.783333333333333,11.446666666666667,12.518333333333333,11.9825,NA,ARR
LIRF,40NM,H,34L,"(90,150]",318,11.416666666666666,10.545,11.283333333333333,10.914166666666667,NA,ARR
LIRF,40NM,H,34L,"(150,215]",58,10.773333333333333,9.8325,10.54,10.18625,NA,ARR
LIRF,40NM,H,34L,"(215,285]",192,12.333333333333334,11.310833333333333,12.133333333333333,11.722083333333334,NA,ARR
LIRF,40NM,H,34L,"(285,360]",890,16.396666666666665,14.681666666666665,16.066666666666666,15.374166666666666,NA,ARR
LIRF,40NM,H,34R,"(0,45]",50,15.183333333333334,14.5825,15.057500000000001,14.82,NA,ARR
LIRF,40NM,H,34R,"(45,90]",75,12.13,10.986666666666668,11.499999999999998,11.243333333333332,NA,ARR
LIRF,40NM,H,34R,"(90,150]",158,10.456666666666667,9.768333333333333,10.366666666666667,10.067499999999999,NA,ARR
LIRF,40NM,H,34R,"(150,215]",6,11.383333333333333,9.920833333333334,10.895833333333332,10.408333333333333,NA,ARR
LIRF,40NM,H,34R,"(215,285]",108,12.73,11.566666666666666,12.600833333333332,12.083749999999998,NA,ARR
LIRF,40NM,H,34R,"(285,360]",278,16.25,15.066666666666666,15.925833333333333,15.49625,NA,ARR
LIRF,40NM,LJ,16L,"(0,45]",2,9.153333333333332,9.113333333333333,9.139999999999999,9.126666666666665,NA,ARR
LIRF,40NM,LP,16L,"(45,90]",1,11.466666666666667,11.466666666666667,11.466666666666667,11.466666666666667,NA,ARR
LIRF,40NM,LP,16L,"(285,360]",1,11.5,11.5,11.5,11.5,NA,ARR
LIRF,40NM,LT,16L,"(0,45]",5,11.006666666666666,10.776666666666667,10.93,10.853333333333333,NA,ARR
LIRF,40NM,LT,16L,"(45,90]",2,12.85,12.8375,12.845833333333333,12.841666666666667,NA,ARR
LIRF,40NM,LT,16L,"(90,150]",1,14.583333333333334,14.583333333333334,14.583333333333334,14.583333333333334,NA,ARR
LIRF,40NM,LT,16L,"(215,285]",2,22.236666666666665,22.071666666666665,22.181666666666665,22.126666666666665,NA,ARR
LIRF,40NM,LT,16L,"(285,360]",25,9.976666666666667,9.723333333333333,9.903333333333332,9.813333333333333,NA,ARR
