ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LSZH,40NM,H,14,"(0,50]",86,11.2,10.65,11.045833333333334,10.847916666666666,NA,ARR
LSZH,40NM,H,14,"(50,120]",2929,13.61,12.916666666666666,13.433333333333334,13.175,NA,ARR
LSZH,40NM,H,14,"(120,190]",321,15.95,15.066666666666666,15.7,15.383333333333333,NA,ARR
LSZH,40NM,H,14,"(190,260]",426,13.916666666666666,12.366666666666667,13.466666666666667,12.916666666666668,NA,ARR
LSZH,40NM,H,14,"(260,330]",4273,10.683333333333334,9.933333333333334,10.483333333333333,10.208333333333332,NA,ARR
LSZH,40NM,H,14,"(330,360]",212,11.033333333333333,10.360833333333334,10.833333333333334,10.597083333333334,NA,ARR
LSZH,40NM,H,16,"(0,50]",1,10.05,10.05,10.05,10.05,NA,ARR
LSZH,40NM,H,16,"(50,120]",20,13.95,13.53,13.840833333333332,13.685416666666665,NA,ARR
LSZH,40NM,H,16,"(120,190]",1,30.933333333333334,30.933333333333334,30.933333333333334,30.933333333333334,NA,ARR
LSZH,40NM,H,16,"(190,260]",1,13.5,13.5,13.5,13.5,NA,ARR
LSZH,40NM,H,16,"(260,330]",10,11.806666666666667,10.935833333333333,11.559166666666666,11.247499999999999,NA,ARR
LSZH,40NM,H,28,"(0,50]",14,13.953333333333333,13.673333333333334,13.83,13.751666666666667,NA,ARR
LSZH,40NM,H,28,"(50,120]",811,12.05,11.216666666666665,11.816666666666666,11.516666666666666,NA,ARR
LSZH,40NM,H,28,"(120,190]",94,14.386666666666667,13.4875,14.063333333333333,13.775416666666667,NA,ARR
LSZH,40NM,H,28,"(190,260]",83,15.32,14.261666666666667,15.120000000000001,14.690833333333334,NA,ARR
LSZH,40NM,H,28,"(260,330]",769,16.316666666666666,15.506666666666668,16.066666666666666,15.786666666666667,NA,ARR
LSZH,40NM,H,28,"(330,360]",16,15.6,14.258333333333333,15.1375,14.697916666666666,NA,ARR
LSZH,40NM,H,34,"(0,50]",7,16.023333333333333,15.885,15.955,15.92,NA,ARR
LSZH,40NM,H,34,"(50,120]",2073,13.516666666666667,12.416666666666666,13.166666666666666,12.791666666666666,NA,ARR
LSZH,40NM,H,34,"(120,190]",354,14.56,12.071666666666667,13.982499999999998,13.027083333333334,NA,ARR
LSZH,40NM,H,34,"(190,260]",50,12.686666666666667,11.265,11.767500000000002,11.516250000000001,NA,ARR
LSZH,40NM,H,34,"(260,330]",1211,14.466666666666667,13.675,14.283333333333333,13.979166666666668,NA,ARR
LSZH,40NM,H,34,"(330,360]",16,15.816666666666666,14.933333333333334,15.741666666666667,15.3375,NA,ARR
LSZH,40NM,HEL,H,"(50,120]",1,20.133333333333333,20.133333333333333,20.133333333333333,20.133333333333333,NA,ARR
LSZH,40NM,LJ,14,"(0,50]",310,11.45,10.746666666666666,11.239166666666666,10.992916666666666,NA,ARR
LSZH,40NM,LJ,14,"(50,120]",454,14.1,13.105,13.783333333333333,13.444166666666668,NA,ARR
LSZH,40NM,LJ,14,"(120,190]",476,16.166666666666668,14.45,15.737499999999999,15.09375,NA,ARR
LSZH,40NM,LJ,14,"(190,260]",308,13.406666666666666,11.84,12.984166666666665,12.412083333333332,NA,ARR
LSZH,40NM,LJ,14,"(260,330]",545,11.046666666666667,10.1,10.82,10.46,NA,ARR
LSZH,40NM,LJ,14,"(330,360]",155,11.129999999999999,10.401666666666667,10.934999999999999,10.668333333333333,NA,ARR
LSZH,40NM,LJ,16,"(120,190]",1,25.733333333333334,25.733333333333334,25.733333333333334,25.733333333333334,NA,ARR
LSZH,40NM,LJ,16,"(190,260]",2,18.83,17.495000000000005,18.384999999999998,17.94,NA,ARR
LSZH,40NM,LJ,28,"(0,50]",85,14.81,13.006666666666666,14.54,13.773333333333333,NA,ARR
LSZH,40NM,LJ,28,"(50,120]",112,12.75,11.184999999999999,12.420833333333333,11.802916666666665,NA,ARR
LSZH,40NM,LJ,28,"(120,190]",108,14.203333333333333,12.973333333333333,13.674166666666666,13.32375,NA,ARR
LSZH,40NM,LJ,28,"(190,260]",84,15.726666666666667,14.474166666666667,15.4375,14.955833333333334,NA,ARR
LSZH,40NM,LJ,28,"(260,330]",138,16.613333333333333,15.765833333333333,16.27583333333333,16.020833333333332,NA,ARR
LSZH,40NM,LJ,28,"(330,360]",33,15.636666666666667,13.879999999999999,15.346666666666668,14.613333333333333,NA,ARR
LSZH,40NM,LJ,34,"(0,50]",10,17.560000000000002,17.08833333333333,17.47,17.279166666666665,NA,ARR
LSZH,40NM,LJ,34,"(50,120]",10,12.253333333333334,11.793333333333333,12.035833333333333,11.914583333333333,NA,ARR
LSZH,40NM,LJ,34,"(120,190]",8,13.986666666666666,13.622499999999999,13.677499999999998,13.649999999999999,NA,ARR
LSZH,40NM,LJ,34,"(190,260]",9,14.573333333333334,12.773333333333333,13.546666666666667,13.16,NA,ARR
LSZH,40NM,LJ,34,"(260,330]",9,15.75,14.69,15.083333333333334,14.886666666666667,NA,ARR
LSZH,40NM,LJ,34,"(330,360]",5,17.03333333333333,16.53333333333333,16.866666666666667,16.7,NA,ARR
LSZH,40NM,LP,14,"(0,50]",26,18.766666666666666,17.145833333333336,17.34583333333333,17.245833333333334,NA,ARR
LSZH,40NM,LP,14,"(50,120]",35,21.22,19.810000000000002,21.061666666666667,20.435833333333335,NA,ARR
LSZH,40NM,LP,14,"(120,190]",6,24.866666666666667,23.56666666666667,24.43333333333333,24,NA,ARR
LSZH,40NM,LP,14,"(190,260]",12,20.456666666666667,19.901666666666664,20.26,20.08083333333333,NA,ARR
LSZH,40NM,LP,14,"(260,330]",9,16.45,15.48,16.183333333333334,15.831666666666667,NA,ARR
LSZH,40NM,LP,14,"(330,360]",26,15.2,13.85,15.087499999999999,14.46875,NA,ARR
LSZH,40NM,LP,16,"(50,120]",1,28.9,28.9,28.9,28.9,NA,ARR
LSZH,40NM,LP,16,"(190,260]",1,25.666666666666668,25.666666666666668,25.666666666666668,25.666666666666668,NA,ARR
LSZH,40NM,LP,16,"(330,360]",1,35.43333333333333,35.43333333333333,35.43333333333333,35.43333333333333,NA,ARR
LSZH,40NM,LP,28,"(0,50]",7,19.076666666666668,18.35,18.950000000000003,18.650000000000002,NA,ARR
LSZH,40NM,LP,28,"(50,120]",4,19.613333333333333,18.54083333333333,19.255833333333335,18.898333333333333,NA,ARR
LSZH,40NM,LP,28,"(120,190]",3,27.073333333333334,24.843333333333334,26.330000000000005,25.58666666666667,NA,ARR
LSZH,40NM,LP,28,"(260,330]",3,25.740000000000002,23.485,24.988333333333333,24.236666666666665,NA,ARR
LSZH,40NM,LP,28,"(330,360]",6,19.233333333333334,18.233333333333334,18.9,18.566666666666666,NA,ARR
LSZH,40NM,LP,34,"(330,360]",1,32.416666666666664,32.416666666666664,32.416666666666664,32.416666666666664,NA,ARR
LSZH,40NM,LT,14,"(0,50]",50,13,11.205,12.798333333333334,12.001666666666667,NA,ARR
LSZH,40NM,LT,14,"(50,120]",96,15.55,14.320833333333333,15.325000000000001,14.822916666666668,NA,ARR
LSZH,40NM,LT,14,"(120,190]",101,18.75,16.8,18.466666666666665,17.633333333333333,NA,ARR
LSZH,40NM,LT,14,"(190,260]",115,14.813333333333334,13.33,14.361666666666666,13.845833333333333,NA,ARR
LSZH,40NM,LT,14,"(260,330]",142,11.793333333333335,10.69,11.56,11.125,NA,ARR
LSZH,40NM,LT,14,"(330,360]",48,12.656666666666666,11.683333333333334,12.3275,12.005416666666667,NA,ARR
LSZH,40NM,LT,16,"(0,50]",1,16,16,16,16,NA,ARR
LSZH,40NM,LT,28,"(0,50]",8,14.883333333333333,14.816666666666666,14.825,14.820833333333333,NA,ARR
LSZH,40NM,LT,28,"(50,120]",29,14.326666666666668,12.400000000000002,13.686666666666666,13.043333333333333,NA,ARR
LSZH,40NM,LT,28,"(120,190]",24,15.713333333333335,14.295833333333333,15.628333333333334,14.962083333333332,NA,ARR
LSZH,40NM,LT,28,"(190,260]",26,17.5,14.970833333333335,16.90416666666667,15.937500000000002,NA,ARR
LSZH,40NM,LT,28,"(260,330]",29,17.85333333333333,17.23,17.756666666666668,17.493333333333332,NA,ARR
LSZH,40NM,LT,28,"(330,360]",12,17.990000000000002,15.266666666666666,17.050833333333333,16.158749999999998,NA,ARR
LSZH,40NM,LT,34,"(120,190]",2,18.586666666666666,17.509166666666665,18.2275,17.868333333333332,NA,ARR
LSZH,40NM,LT,34,"(190,260]",3,17.95,17.75,17.883333333333333,17.816666666666666,NA,ARR
LSZH,40NM,LT,34,"(260,330]",2,18.076666666666664,18.069166666666668,18.074166666666667,18.071666666666665,NA,ARR
LSZH,40NM,LT,34,"(330,360]",4,18.953333333333333,17.888333333333335,18.598333333333333,18.243333333333332,NA,ARR
LSZH,40NM,MJ,14,"(0,50]",11191,11.266666666666667,10.533333333333333,11.066666666666666,10.8,NA,ARR
LSZH,40NM,MJ,14,"(50,120]",14071,13.633333333333333,12.766666666666667,13.4,13.083333333333334,NA,ARR
LSZH,40NM,MJ,14,"(120,190]",10589,15.65,14.533333333333333,15.35,14.941666666666666,NA,ARR
LSZH,40NM,MJ,14,"(190,260]",10618,12.85,11.833333333333334,12.566666666666666,12.2,NA,ARR
LSZH,40NM,MJ,14,"(260,330]",11087,10.7,9.916666666666666,10.483333333333333,10.2,NA,ARR
LSZH,40NM,MJ,14,"(330,360]",6913,10.833333333333334,10.183333333333334,10.65,10.416666666666668,NA,ARR
LSZH,40NM,MJ,16,"(0,50]",36,11.733333333333333,10.1625,11.608333333333333,10.885416666666666,NA,ARR
LSZH,40NM,MJ,16,"(50,120]",37,14.866666666666667,13.89,14.580000000000002,14.235000000000001,NA,ARR
LSZH,40NM,MJ,16,"(120,190]",30,18.416666666666668,16.140833333333333,17.49833333333333,16.819583333333334,NA,ARR
LSZH,40NM,MJ,16,"(190,260]",26,16.533333333333335,13.945833333333333,15.466666666666669,14.70625,NA,ARR
LSZH,40NM,MJ,16,"(260,330]",30,12.903333333333332,11.385833333333334,12.541666666666668,11.963750000000001,NA,ARR
LSZH,40NM,MJ,16,"(330,360]",12,10.79,10.3625,10.594999999999999,10.47875,NA,ARR
LSZH,40NM,MJ,28,"(0,50]",5037,13.966666666666667,12.95,13.716666666666667,13.333333333333332,NA,ARR
LSZH,40NM,MJ,28,"(50,120]",5949,11.533333333333333,10.45,11.216666666666667,10.833333333333332,NA,ARR
LSZH,40NM,MJ,28,"(120,190]",4398,13.516666666666667,12.1,13.116666666666667,12.608333333333334,NA,ARR
LSZH,40NM,MJ,28,"(190,260]",4687,14.816666666666666,13.866666666666667,14.55,14.208333333333334,NA,ARR
LSZH,40NM,MJ,28,"(260,330]",4793,16.066666666666666,15.183333333333334,15.85,15.516666666666666,NA,ARR
LSZH,40NM,MJ,28,"(330,360]",2398,14.4,13.433333333333334,14.083333333333334,13.758333333333333,NA,ARR
LSZH,40NM,MJ,32,"(260,330]",1,-9.9,-9.9,-9.9,-9.9,NA,ARR
LSZH,40NM,MJ,34,"(0,50]",954,15.733333333333333,14.871666666666666,15.516666666666667,15.194166666666668,NA,ARR
LSZH,40NM,MJ,34,"(50,120]",1560,13.296666666666667,12.199166666666665,12.964166666666667,12.581666666666667,NA,ARR
LSZH,40NM,MJ,34,"(120,190]",931,12.95,11.008333333333333,12.399999999999999,11.704166666666666,NA,ARR
LSZH,40NM,MJ,34,"(190,260]",1125,12.65,11.666666666666666,12.366666666666667,12.016666666666666,NA,ARR
LSZH,40NM,MJ,34,"(260,330]",1056,14.883333333333333,14.012500000000001,14.616666666666667,14.314583333333335,NA,ARR
LSZH,40NM,MJ,34,"(330,360]",581,15.933333333333334,15.05,15.666666666666666,15.358333333333334,NA,ARR
LSZH,40NM,MT,14,"(0,50]",6,12.916666666666666,11.579166666666666,12.470833333333333,12.024999999999999,NA,ARR
LSZH,40NM,MT,14,"(50,120]",598,14.533333333333333,13.561666666666667,14.275833333333335,13.918750000000001,NA,ARR
LSZH,40NM,MT,14,"(120,190]",94,17.153333333333336,16.130833333333335,16.880000000000003,16.50541666666667,NA,ARR
LSZH,40NM,MT,14,"(190,260]",6,14.383333333333333,11.845833333333333,13.5375,12.691666666666666,NA,ARR
LSZH,40NM,MT,14,"(260,330]",12,11.533333333333333,11.025833333333335,11.463333333333333,11.244583333333335,NA,ARR
LSZH,40NM,MT,14,"(330,360]",5,12.72,12.08,12.506666666666668,12.293333333333333,NA,ARR
LSZH,40NM,MT,16,"(50,120]",2,19.933333333333334,19.733333333333334,19.866666666666667,19.8,NA,ARR
LSZH,40NM,MT,16,"(120,190]",1,26.566666666666666,26.566666666666666,26.566666666666666,26.566666666666666,NA,ARR
LSZH,40NM,MT,28,"(0,50]",1,17.1,17.1,17.1,17.1,NA,ARR
LSZH,40NM,MT,28,"(50,120]",121,12.333333333333334,11.266666666666667,12.1,11.683333333333334,NA,ARR
LSZH,40NM,MT,28,"(120,190]",15,14.703333333333335,12.681666666666668,13.781666666666666,13.231666666666667,NA,ARR
LSZH,40NM,MT,28,"(190,260]",2,21.623333333333335,21.093333333333334,21.446666666666665,21.27,NA,ARR
LSZH,40NM,MT,28,"(260,330]",1,17.833333333333332,17.833333333333332,17.833333333333332,17.833333333333332,NA,ARR
LSZH,40NM,MT,28,"(330,360]",1,16.766666666666666,16.766666666666666,16.766666666666666,16.766666666666666,NA,ARR
LSZH,40NM,MT,34,"(50,120]",6,14.183333333333334,12.208333333333336,13.524999999999999,12.866666666666667,NA,ARR
LSZH,40NM,MT,34,"(120,190]",5,12.879999999999999,12.520000000000001,12.76,12.64,NA,ARR
LSZH,100NM,H,14,NA,98,19.933333333333334,18.864166666666666,19.656666666666666,19.260416666666664,"(0,50]",ARR
LSZH,100NM,H,14,NA,2954,22.793333333333337,21.677500000000002,22.5,22.08875,"(50,120]",ARR
LSZH,100NM,H,14,NA,306,25.35,24.25,24.9875,24.61875,"(120,190]",ARR
LSZH,100NM,H,14,NA,424,22.67666666666667,20.933333333333334,22.181666666666665,21.557499999999997,"(190,260]",ARR
LSZH,100NM,H,14,NA,4288,19.283333333333335,18.016666666666666,18.933333333333334,18.475,"(260,330]",ARR
LSZH,100NM,H,14,NA,177,19.72,18.593333333333334,19.25,18.921666666666667,"(330,360]",ARR
LSZH,100NM,H,16,NA,1,18.733333333333334,18.733333333333334,18.733333333333334,18.733333333333334,"(0,50]",ARR
LSZH,100NM,H,16,NA,20,23.779999999999998,23.19166666666667,23.628333333333334,23.410000000000004,"(50,120]",ARR
LSZH,100NM,H,16,NA,1,39.21666666666667,39.21666666666667,39.21666666666667,39.21666666666667,"(120,190]",ARR
LSZH,100NM,H,16,NA,1,21.3,21.3,21.3,21.3,"(190,260]",ARR
LSZH,100NM,H,16,NA,10,19.05666666666667,18.846666666666664,18.95916666666667,18.902916666666666,"(260,330]",ARR
LSZH,100NM,H,28,NA,8,24.10666666666667,22.487499999999997,23.78,23.13375,"(0,50]",ARR
LSZH,100NM,H,28,NA,813,22.006666666666668,20.60666666666667,21.633333333333333,21.12,"(50,120]",ARR
LSZH,100NM,H,28,NA,92,24.19,22.85333333333333,23.999166666666667,23.42625,"(120,190]",ARR
LSZH,100NM,H,28,NA,83,23.506666666666668,22.041666666666668,22.96666666666667,22.50416666666667,"(190,260]",ARR
LSZH,100NM,H,28,NA,769,24.276666666666667,23.006666666666668,23.95333333333333,23.479999999999997,"(260,330]",ARR
LSZH,100NM,H,28,NA,22,23.043333333333333,21.366666666666667,22.5975,21.982083333333335,"(330,360]",ARR
LSZH,100NM,H,34,NA,4,24.55,23.7625,24.2875,24.025,"(0,50]",ARR
LSZH,100NM,H,34,NA,2075,22.883333333333333,21.078333333333333,22.383333333333333,21.730833333333333,"(50,120]",ARR
LSZH,100NM,H,34,NA,356,23.95,21.520833333333336,23.354166666666668,22.4375,"(120,190]",ARR
LSZH,100NM,H,34,NA,44,21.71333333333333,19.438333333333333,20.692500000000003,20.065416666666668,"(190,260]",ARR
LSZH,100NM,H,34,NA,1218,22.566666666666666,21.430833333333336,22.266666666666666,21.848750000000003,"(260,330]",ARR
LSZH,100NM,H,34,NA,14,23.876666666666665,23.088333333333335,23.81583333333333,23.452083333333334,"(330,360]",ARR
