ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LTFM,40NM,H,16R,"(0,35]",40,13.613333333333333,12.415833333333332,13.504166666666666,12.959999999999999,NA,ARR
LTFM,40NM,H,16R,"(35,90]",589,13.91,13.073333333333334,13.753333333333334,13.413333333333334,NA,ARR
LTFM,40NM,H,16R,"(90,180]",1319,17.92666666666667,16.165000000000003,17.483333333333334,16.82416666666667,NA,ARR
LTFM,40NM,H,16R,"(180,325]",4054,12.616666666666667,11.883333333333333,12.433333333333334,12.158333333333333,NA,ARR
LTFM,40NM,H,16R,"(325,360]",196,12.1,10.8125,11.616666666666667,11.214583333333334,NA,ARR
LTFM,40NM,H,17L,"(0,35]",138,12.723333333333333,11.295,12.394166666666667,11.844583333333333,NA,ARR
LTFM,40NM,H,17L,"(35,90]",1674,13.683333333333334,12.7,13.383333333333333,13.041666666666666,NA,ARR
LTFM,40NM,H,17L,"(90,180]",3190,17.9,16.183333333333334,17.45,16.816666666666666,NA,ARR
LTFM,40NM,H,17L,"(180,325]",1474,12.766666666666667,11.766666666666667,12.499166666666666,12.132916666666667,NA,ARR
LTFM,40NM,H,17L,"(325,360]",69,11.143333333333334,10.373333333333335,10.893333333333334,10.633333333333335,NA,ARR
LTFM,40NM,H,17R,"(35,90]",1,21.566666666666666,21.566666666666666,21.566666666666666,21.566666666666666,NA,ARR
LTFM,40NM,H,18,"(0,35]",27,12.026666666666666,11.481666666666667,11.748333333333335,11.615000000000002,NA,ARR
LTFM,40NM,H,18,"(35,90]",437,13.286666666666667,12.530000000000001,13.1,12.815000000000001,NA,ARR
LTFM,40NM,H,18,"(90,180]",997,17.333333333333332,15.89,16.873333333333335,16.381666666666668,NA,ARR
LTFM,40NM,H,18,"(180,325]",123,13.323333333333334,11.955,13.021666666666667,12.488333333333333,NA,ARR
LTFM,40NM,H,18,"(325,360]",7,10.29,9.95,10.049999999999999,10,NA,ARR
LTFM,40NM,H,34L,"(0,35]",1406,22.066666666666666,20.2375,21.6,20.918750000000003,NA,ARR
LTFM,40NM,H,34L,"(35,90]",1413,17.783333333333335,16.05,17.366666666666667,16.708333333333336,NA,ARR
LTFM,40NM,H,34L,"(90,180]",4807,13.25,12.216666666666667,13.016666666666667,12.616666666666667,NA,ARR
