ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EDDF,40NM,H,07C,"(0,210]",5319,8.333333333333334,7.916666666666667,8.233333333333333,8.075,NA,DEP
EDDF,40NM,H,07C,"(210,265]",191,11.616666666666667,10.925,11.416666666666666,11.170833333333334,NA,DEP
EDDF,40NM,H,07C,"(265,360]",4693,10.283333333333333,9.5,10.1,9.8,NA,DEP
EDDF,40NM,H,07R,"(0,210]",270,8.366666666666667,8.033333333333333,8.2725,8.152916666666666,NA,DEP
EDDF,40NM,H,07R,"(210,265]",4,11.35,10.862499999999999,11.1875,11.024999999999999,NA,DEP
EDDF,40NM,H,07R,"(265,360]",47,10.403333333333334,9.568333333333333,10.045,9.806666666666667,NA,DEP
EDDF,40NM,H,18,"(0,210]",18956,8.016666666666667,7.616666666666666,7.933333333333334,7.775,NA,DEP
EDDF,40NM,H,18,"(210,265]",3176,9.383333333333333,8.8,9.233333333333333,9.016666666666666,NA,DEP
EDDF,40NM,H,18,"(265,360]",686,9.966666666666667,9.566666666666666,9.845833333333333,9.70625,NA,DEP
EDDF,40NM,H,25C,"(0,210]",3667,9.433333333333334,8.75,9.233333333333333,8.991666666666667,NA,DEP
EDDF,40NM,H,25C,"(210,265]",129,9.18,8.790000000000001,9.07,8.93,NA,DEP
EDDF,40NM,H,25C,"(265,360]",10988,8.9,8.416666666666666,8.766666666666667,8.591666666666667,NA,DEP
EDDF,40NM,H,25L,"(0,210]",316,8.65,8.233333333333333,8.533333333333333,8.383333333333333,NA,DEP
EDDF,40NM,H,25L,"(210,265]",4,9.056666666666667,9.026666666666667,9.046666666666667,9.036666666666667,NA,DEP
EDDF,40NM,H,25L,"(265,360]",78,9.073333333333334,8.530833333333334,8.985,8.757916666666667,NA,DEP
EDDF,40NM,H,NA,"(0,210]",1,10.633333333333333,10.633333333333333,10.633333333333333,10.633333333333333,NA,DEP
EDDF,40NM,LJ,07C,"(0,210]",51,8.816666666666666,8.291666666666666,8.675,8.483333333333334,NA,DEP
EDDF,40NM,LJ,07C,"(210,265]",2,10.983333333333333,10.320833333333333,10.7625,10.541666666666666,NA,DEP
EDDF,40NM,LJ,07C,"(265,360]",25,9.5,8.856666666666667,9.233333333333333,9.045,NA,DEP
EDDF,40NM,LJ,07R,"(0,210]",46,8.7,8.075,8.625,8.35,NA,DEP
EDDF,40NM,LJ,07R,"(265,360]",24,8.786666666666667,8.41,8.588333333333333,8.499166666666667,NA,DEP
EDDF,40NM,LJ,18,"(0,210]",551,8.366666666666667,7.683333333333334,8.166666666666666,7.925,NA,DEP
EDDF,40NM,LJ,18,"(210,265]",91,9.983333333333333,9.225,9.808333333333334,9.516666666666666,NA,DEP
EDDF,40NM,LJ,18,"(265,360]",62,10.666666666666668,9.931666666666667,10.426666666666666,10.179166666666667,NA,DEP
EDDF,40NM,LJ,25C,"(0,210]",54,11.593333333333334,10.199166666666667,11.329166666666666,10.764166666666666,NA,DEP
EDDF,40NM,LJ,25C,"(210,265]",1,9.383333333333333,9.383333333333333,9.383333333333333,9.383333333333333,NA,DEP
EDDF,40NM,LJ,25C,"(265,360]",36,11.15,9.8,10.766666666666666,10.283333333333333,NA,DEP
EDDF,40NM,LJ,25L,"(0,210]",34,11.56,11.06,11.395833333333334,11.227916666666667,NA,DEP
EDDF,40NM,LJ,25L,"(265,360]",16,10.766666666666667,9.829166666666666,10.279166666666667,10.054166666666667,NA,DEP
EDDF,40NM,LJ,NA,"(0,210]",1,14.683333333333334,14.683333333333334,14.683333333333334,14.683333333333334,NA,DEP
EDDF,40NM,LT,07C,"(0,210]",12,14.316666666666666,13.928333333333335,14.248333333333335,14.088333333333335,NA,DEP
EDDF,40NM,LT,07C,"(210,265]",1,18.45,18.45,18.45,18.45,NA,DEP
EDDF,40NM,LT,07C,"(265,360]",3,15.533333333333333,15.283333333333333,15.45,15.366666666666667,NA,DEP
EDDF,40NM,LT,07R,"(0,210]",7,13.57,12.561666666666666,13.351666666666667,12.956666666666667,NA,DEP
EDDF,40NM,LT,07R,"(265,360]",1,14.616666666666667,14.616666666666667,14.616666666666667,14.616666666666667,NA,DEP
EDDF,40NM,LT,18,"(0,210]",59,12.16,10.891666666666667,11.956666666666667,11.424166666666668,NA,DEP
EDDF,40NM,LT,18,"(210,265]",20,13.693333333333333,12.071666666666667,13.43,12.750833333333333,NA,DEP
EDDF,40NM,LT,18,"(265,360]",10,15.956666666666667,15.288333333333332,15.859166666666667,15.57375,NA,DEP
EDDF,40NM,LT,25C,"(0,210]",14,14.816666666666666,14.1475,14.785833333333333,14.466666666666667,NA,DEP
EDDF,40NM,LT,25C,"(265,360]",3,18.583333333333336,18.458333333333336,18.541666666666668,18.5,NA,DEP
EDDF,40NM,LT,25L,"(0,210]",16,14.05,13.695833333333333,13.8875,13.791666666666666,NA,DEP
EDDF,40NM,LT,25L,"(265,360]",5,14.76,13.94,14.486666666666666,14.213333333333333,NA,DEP
EDDF,40NM,MJ,07C,"(0,210]",17109,8.066666666666666,7.733333333333333,7.983333333333333,7.858333333333333,NA,DEP
EDDF,40NM,MJ,07C,"(210,265]",365,9.633333333333333,9.183333333333334,9.516666666666667,9.350000000000001,NA,DEP
EDDF,40NM,MJ,07C,"(265,360]",5645,8.533333333333333,8.066666666666666,8.416666666666666,8.241666666666667,NA,DEP
EDDF,40NM,MJ,07R,"(0,210]",491,8.133333333333333,7.8,8.041666666666668,7.920833333333334,NA,DEP
EDDF,40NM,MJ,07R,"(210,265]",15,10.03,9.291666666666668,9.959999999999999,9.625833333333333,NA,DEP
EDDF,40NM,MJ,07R,"(265,360]",178,8.483333333333333,8.095,8.4,8.2475,NA,DEP
