ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EDDM,40NM,H,08L,"(0,75]",15,8.600000000000001,8.383333333333333,8.541666666666666,8.462499999999999,NA,DEP
EDDM,40NM,H,08L,"(75,150]",163,8.523333333333333,8.116666666666667,8.466666666666667,8.291666666666668,NA,DEP
EDDM,40NM,H,08L,"(150,220]",7,10.086666666666666,10.031666666666666,10.061666666666666,10.046666666666667,NA,DEP
EDDM,40NM,H,08L,"(220,360]",2562,8.9,8.533333333333333,8.816666666666666,8.675,NA,DEP
EDDM,40NM,H,08R,"(0,75]",59,8.796666666666667,8.491666666666667,8.695,8.593333333333334,NA,DEP
EDDM,40NM,H,08R,"(75,150]",2004,8.433333333333334,8.116666666666667,8.3575,8.237083333333334,NA,DEP
EDDM,40NM,H,08R,"(150,220]",60,9.74,8.93,9.616666666666667,9.273333333333333,NA,DEP
EDDM,40NM,H,08R,"(220,360]",285,9.57,8.783333333333333,9.3,9.041666666666668,NA,DEP
EDDM,40NM,H,26L,"(0,75]",97,10.266666666666667,9.906666666666666,10.196666666666665,10.051666666666666,NA,DEP
EDDM,40NM,H,26L,"(75,150]",3930,9.433333333333334,8.7575,9.266666666666667,9.012083333333333,NA,DEP
EDDM,40NM,H,26L,"(150,220]",198,8.690000000000001,8.418333333333333,8.616666666666667,8.5175,NA,DEP
EDDM,40NM,H,26L,"(220,360]",750,8.533333333333333,8.1,8.433333333333334,8.266666666666666,NA,DEP
EDDM,40NM,H,26R,"(0,75]",45,9.326666666666668,8.77,9.133333333333333,8.951666666666666,NA,DEP
EDDM,40NM,H,26R,"(75,150]",216,9.6,8.970833333333331,9.454166666666666,9.212499999999999,NA,DEP
EDDM,40NM,H,26R,"(150,220]",2,9.84,9.81,9.830000000000002,9.82,NA,DEP
EDDM,40NM,H,26R,"(220,360]",4453,8.8,8.366666666666667,8.7,8.533333333333333,NA,DEP
EDDM,40NM,HEL,26L,"(220,360]",2,28.46333333333333,28.078333333333333,28.334999999999997,28.206666666666663,NA,DEP
EDDM,40NM,LJ,08L,"(0,75]",46,9.283333333333333,8.591666666666669,9.029166666666667,8.810416666666669,NA,DEP
