ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EGLL,40NM,H,09L,"(0,130]",152,8.466666666666667,8.018333333333334,8.360833333333334,8.189583333333335,NA,DEP
EGLL,40NM,H,09L,"(130,200]",63,9.09,8.705,8.998333333333331,8.851666666666667,NA,DEP
EGLL,40NM,H,09L,"(200,265]",36,9.866666666666667,9.266666666666666,9.841666666666667,9.554166666666667,NA,DEP
EGLL,40NM,H,09L,"(265,315]",27,9.806666666666668,9.338333333333333,9.676666666666666,9.5075,NA,DEP
EGLL,40NM,H,09L,"(315,360]",5,9.556666666666667,9.426666666666666,9.513333333333334,9.469999999999999,NA,DEP
EGLL,40NM,H,09R,"(0,130]",10673,8.633333333333333,8.183333333333334,8.516666666666667,8.350000000000001,NA,DEP
EGLL,40NM,H,09R,"(130,200]",1648,9.033333333333333,8.616666666666667,8.933333333333334,8.775,NA,DEP
EGLL,40NM,H,09R,"(200,265]",2039,9.9,9.433333333333334,9.778333333333332,9.605833333333333,NA,DEP
EGLL,40NM,H,09R,"(265,315]",7503,9.733333333333333,9.35,9.633333333333333,9.491666666666667,NA,DEP
EGLL,40NM,H,09R,"(315,360]",3347,9.816666666666666,9.333333333333334,9.7,9.516666666666666,NA,DEP
EGLL,40NM,H,27L,"(0,130]",12858,9.683333333333334,9.216666666666667,9.583333333333334,9.4,NA,DEP
EGLL,40NM,H,27L,"(130,200]",2006,9.383333333333333,8.970833333333333,9.283333333333333,9.127083333333333,NA,DEP
EGLL,40NM,H,27L,"(200,265]",2538,9.033333333333333,8.6,8.933333333333334,8.766666666666666,NA,DEP
EGLL,40NM,H,27L,"(265,315]",7627,8.883333333333333,8.5,8.8,8.65,NA,DEP
EGLL,40NM,H,27L,"(315,360]",6413,9.316666666666666,8.85,9.2,9.024999999999999,NA,DEP
EGLL,40NM,H,27R,"(0,130]",13483,9.883333333333333,9.383333333333333,9.766666666666667,9.575,NA,DEP
EGLL,40NM,H,27R,"(130,200]",2077,9.583333333333334,9.15,9.483333333333333,9.316666666666666,NA,DEP
EGLL,40NM,H,27R,"(200,265]",2534,9.033333333333333,8.633333333333333,8.95,8.791666666666666,NA,DEP
EGLL,40NM,H,27R,"(265,315]",7780,8.883333333333333,8.5,8.783333333333333,8.641666666666666,NA,DEP
EGLL,40NM,H,27R,"(315,360]",6713,9.3,8.8,9.183333333333334,8.991666666666667,NA,DEP
EGLL,40NM,MJ,09L,"(0,130]",55,8.790000000000001,8.094999999999999,8.705,8.399999999999999,NA,DEP
EGLL,40NM,MJ,09L,"(130,200]",22,9.22,9.007499999999999,9.174166666666666,9.090833333333332,NA,DEP
EGLL,40NM,MJ,09L,"(200,265]",7,10.266666666666667,-7.259999999999999,7.719999999999997,0.2299999999999991,NA,DEP
EGLL,40NM,MJ,09L,"(265,315]",7,9.22,9.125,9.174999999999999,9.149999999999999,NA,DEP
