ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
EHAM,40NM,H,09,"(0,75]",42,8.14,7.761666666666667,8.024166666666668,7.892916666666667,NA,DEP
EHAM,40NM,H,09,"(75,145]",1193,7.833333333333333,7.516666666666667,7.766666666666667,7.641666666666667,NA,DEP
EHAM,40NM,H,09,"(145,230]",298,8.183333333333334,7.630833333333334,8.116666666666667,7.873750000000001,NA,DEP
EHAM,40NM,H,09,"(230,280]",95,8.813333333333333,8.561666666666667,8.766666666666667,8.664166666666667,NA,DEP
EHAM,40NM,H,09,"(280,360]",231,8.966666666666667,8.466666666666667,8.841666666666667,8.654166666666667,NA,DEP
EHAM,40NM,H,18C,"(0,75]",61,9.45,9.216666666666667,9.383333333333333,9.3,NA,DEP
EHAM,40NM,H,18C,"(75,145]",89,8.61,8.39,8.536666666666667,8.463333333333335,NA,DEP
EHAM,40NM,H,18C,"(145,230]",18,8.256666666666668,8.130833333333333,8.2125,8.171666666666667,NA,DEP
EHAM,40NM,H,18C,"(230,280]",135,8.05,7.778333333333334,8,7.889166666666667,NA,DEP
EHAM,40NM,H,18C,"(280,360]",213,8.983333333333333,8.593333333333334,8.8966666666666665,8.745000000000001,NA,DEP
EHAM,40NM,H,18L,"(0,75]",121,8.7,8.316666666666666,8.583333333333334,8.45,NA,DEP
EHAM,40NM,H,18L,"(75,145]",4675,7.716666666666667,7.433333333333334,7.65,7.541666666666667,NA,DEP
EHAM,40NM,H,18L,"(145,230]",882,7.883333333333334,7.533333333333333,7.8025,7.667916666666667,NA,DEP
EHAM,40NM,H,18L,"(230,280]",263,8.816666666666666,8.535,8.755,8.645,NA,DEP
EHAM,40NM,H,18L,"(280,360]",462,9.75,9.251666666666667,9.616666666666667,9.434166666666666,NA,DEP
EHAM,40NM,H,22,"(75,145]",1,7.616666666666666,7.616666666666666,7.616666666666666,7.616666666666666,NA,DEP
EHAM,40NM,H,24,"(0,75]",1387,9.316666666666666,8.95,9.233333333333333,9.091666666666665,NA,DEP
EHAM,40NM,H,24,"(75,145]",4519,8.633333333333333,8.265,8.533333333333333,8.399166666666666,NA,DEP
EHAM,40NM,H,24,"(145,230]",1286,8.2,7.85,8.116666666666667,7.983333333333333,NA,DEP
EHAM,40NM,H,24,"(230,280]",3001,8.083333333333334,7.783333333333333,8.016666666666667,7.9,NA,DEP
EHAM,40NM,H,24,"(280,360]",8003,9.1,8.733333333333333,9,8.866666666666667,NA,DEP
EHAM,40NM,H,27,"(0,75]",23,8.12,7.913333333333333,8.1,8.006666666666666,NA,DEP
EHAM,40NM,H,27,"(75,145]",6,8.5,8.4375,8.479166666666666,8.458333333333332,NA,DEP
EHAM,40NM,H,27,"(230,280]",27,8.843333333333334,8.733333333333333,8.795,8.764166666666666,NA,DEP
EHAM,40NM,H,27,"(280,360]",140,8.963333333333333,8.665,8.866666666666667,8.765833333333333,NA,DEP
EHAM,40NM,H,36C,"(0,75]",24,8.413333333333334,8.265,8.364999999999998,8.315,NA,DEP
EHAM,40NM,H,36C,"(75,145]",1321,8.85,8.5,8.783333333333333,8.641666666666666,NA,DEP
EHAM,40NM,H,36C,"(145,230]",292,9.256666666666668,8.9,9.1775,9.03875,NA,DEP
EHAM,40NM,H,36C,"(230,280]",32,9.203333333333333,8.925833333333333,9.176666666666666,9.05125,NA,DEP
EHAM,40NM,H,36C,"(280,360]",119,7.743333333333333,7.376666666666667,7.678333333333333,7.5275,NA,DEP
EHAM,40NM,H,36L,"(0,75]",914,8.3,7.95,8.233333333333333,8.091666666666667,NA,DEP
EHAM,40NM,H,36L,"(75,145]",2059,9.716666666666667,9.248333333333333,9.616666666666667,9.432500000000001,NA,DEP
EHAM,40NM,H,36L,"(145,230]",509,10.059999999999999,9.5,9.966666666666667,9.733333333333334,NA,DEP
EHAM,40NM,H,36L,"(230,280]",1857,9.15,8.866666666666667,9.083333333333334,8.975000000000001,NA,DEP
EHAM,40NM,H,36L,"(280,360]",4565,7.733333333333333,7.45,7.666666666666667,7.558333333333334,NA,DEP
EHAM,40NM,HEL,22,"(75,145]",1,18.35,18.35,18.35,18.35,NA,DEP
EHAM,40NM,LJ,04,"(0,75]",25,8.493333333333334,8.026666666666667,8.406666666666666,8.216666666666667,NA,DEP
