ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LEMD,40NM,H,14L,"(0,70]",1190,9.4,8.840833333333332,9.216666666666667,9.028749999999999,NA,DEP
LEMD,40NM,H,14L,"(70,220]",608,8.166666666666666,7.8,8.083333333333334,7.941666666666666,NA,DEP
LEMD,40NM,H,14L,"(220,300]",361,11.6,11,11.466666666666667,11.233333333333334,NA,DEP
LEMD,40NM,H,14L,"(300,360]",5,11.796666666666667,11.736666666666666,11.776666666666667,11.756666666666668,NA,DEP
LEMD,40NM,H,14R,"(0,70]",124,11.09,10.266666666666667,10.85,10.558333333333334,NA,DEP
LEMD,40NM,H,14R,"(70,220]",327,9.183333333333334,8.755,9.066666666666666,8.910833333333333,NA,DEP
LEMD,40NM,H,14R,"(220,300]",4999,11.883333333333333,11.3,11.716666666666667,11.508333333333333,NA,DEP
LEMD,40NM,H,14R,"(300,360]",351,13.5,12.708333333333332,13.416666666666666,13.0625,NA,DEP
LEMD,40NM,H,18L,"(0,70]",1,8.533333333333333,8.533333333333333,8.533333333333333,8.533333333333333,NA,DEP
LEMD,40NM,H,18R,"(220,300]",1,10.966666666666667,10.966666666666667,10.966666666666667,10.966666666666667,NA,DEP
LEMD,40NM,H,36L,"(0,70]",458,8,7.4975000000000005,7.816666666666666,7.6570833333333335,NA,DEP
LEMD,40NM,H,36L,"(70,220]",825,12.5,11.333333333333334,12.2,11.766666666666666,NA,DEP
LEMD,40NM,H,36L,"(220,300]",10934,9.216666666666667,8.833333333333334,9.116666666666667,8.975000000000001,NA,DEP
LEMD,40NM,H,36L,"(300,360]",4657,8.5,8.1,8.416666666666666,8.258333333333333,NA,DEP
LEMD,40NM,H,36R,"(0,70]",3079,7.866666666666666,7.433333333333334,7.783333333333333,7.608333333333333,NA,DEP
LEMD,40NM,H,36R,"(70,220]",1329,10.61,10.123333333333333,10.466666666666667,10.295,NA,DEP
LEMD,40NM,H,36R,"(220,300]",343,10.25,9.885,10.166666666666666,10.025833333333333,NA,DEP
LEMD,40NM,H,36R,"(300,360]",82,9.086666666666668,7.824999999999999,9,8.4125,NA,DEP
LEMD,40NM,LJ,14L,"(0,70]",167,9.986666666666666,9.241666666666667,9.765,9.503333333333334,NA,DEP
LEMD,40NM,LJ,14L,"(70,220]",56,8.45,8.012500000000001,8.433333333333334,8.222916666666666,NA,DEP
LEMD,40NM,LJ,14L,"(300,360]",1,16.7,16.7,16.7,16.7,NA,DEP
