ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LFPG,40NM,H,08L,"(0,50]",209,9.566666666666666,9.173333333333334,9.503333333333334,9.338333333333335,NA,DEP
LFPG,40NM,H,08L,"(50,130]",4932,8.1,7.733333333333333,8,7.866666666666667,NA,DEP
LFPG,40NM,H,08L,"(130,225]",2358,10.816666666666666,9.916666666666666,10.6,10.258333333333333,NA,DEP
LFPG,40NM,H,08L,"(225,300]",3873,12.016666666666667,11.35,11.85,11.6,NA,DEP
LFPG,40NM,H,08L,"(300,360]",1460,10.183333333333334,9.7,10.066666666666666,9.883333333333333,NA,DEP
LFPG,40NM,H,08R,"(50,130]",286,-20.633333333333333,-23.39583333333333,-21.175,-22.285416666666663,NA,DEP
LFPG,40NM,H,08R,"(130,225]",56,9.566666666666666,-20.445833333333333,9.483333333333333,-5.48125,NA,DEP
LFPG,40NM,H,08R,"(225,300]",229,-12.416666666666666,-13.476666666666667,-12.596666666666668,-13.036666666666667,NA,DEP
LFPG,40NM,H,08R,"(300,360]",4,10.64,10.4225,10.567499999999999,10.495,NA,DEP
LFPG,40NM,H,09L,"(0,50]",35,8.976666666666667,8.461666666666666,8.808333333333334,8.635,NA,DEP
LFPG,40NM,H,09L,"(50,130]",459,8,-18.065,7.8116666666666665,-5.126666666666667,NA,DEP
LFPG,40NM,H,09L,"(130,225]",10,9.923333333333334,-6.175000000000001,9.788333333333332,1.8066666666666658,NA,DEP
LFPG,40NM,H,09L,"(225,300]",219,11.4,-10.956666666666665,11.211666666666666,0.1275000000000004,NA,DEP
LFPG,40NM,H,09L,"(300,360]",276,9.583333333333334,9.216666666666667,9.483333333333333,9.35,NA,DEP
LFPG,40NM,H,09R,"(0,50]",166,9.283333333333333,8.975,9.2,9.087499999999999,NA,DEP
LFPG,40NM,H,09R,"(50,130]",2343,8.383333333333333,7.951666666666667,8.266666666666667,8.109166666666667,NA,DEP
