ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LIRF,40NM,H,16L,"(50,130]",5,10.273333333333333,10.193333333333332,10.246666666666666,10.219999999999999,NA,DEP
LIRF,40NM,H,16L,"(130,230]",17,9.066666666666666,8.776666666666667,8.986666666666666,8.881666666666668,NA,DEP
LIRF,40NM,H,16L,"(230,300]",64,8.926666666666666,8.702499999999999,8.815000000000001,8.75875,NA,DEP
LIRF,40NM,H,16L,"(300,360]",12,9.22,8.796666666666667,9.1425,8.969583333333333,NA,DEP
LIRF,40NM,H,16R,"(0,50]",12,13.370000000000001,11.015833333333333,12.5675,11.791666666666668,NA,DEP
LIRF,40NM,H,16R,"(50,130]",550,11.046666666666667,10.066666666666666,10.816666666666666,10.441666666666666,NA,DEP
LIRF,40NM,H,16R,"(130,230]",546,8.5,8.070833333333333,8.366666666666667,8.21875,NA,DEP
LIRF,40NM,H,16R,"(230,300]",2123,8.9,8.4,8.783333333333333,8.591666666666667,NA,DEP
LIRF,40NM,H,16R,"(300,360]",521,9.766666666666667,9.383333333333333,9.683333333333334,9.533333333333333,NA,DEP
LIRF,40NM,H,25,"(0,50]",94,13.260000000000002,11.115,12.8825,11.998750000000001,NA,DEP
LIRF,40NM,H,25,"(50,130]",2175,10.816666666666666,9.916666666666666,10.6,10.258333333333333,NA,DEP
LIRF,40NM,H,25,"(130,230]",1781,8.616666666666667,8.116666666666667,8.483333333333333,8.3,NA,DEP
LIRF,40NM,H,25,"(230,300]",4742,8.233333333333333,7.783333333333333,8.116666666666667,7.95,NA,DEP
LIRF,40NM,H,25,"(300,360]",1406,8.833333333333334,8.370833333333334,8.712499999999999,8.541666666666666,NA,DEP
LIRF,40NM,H,34L,"(0,50]",7,10.100000000000001,9.834999999999999,10.005,9.92,NA,DEP
LIRF,40NM,H,34L,"(50,130]",191,12.1,10.875,11.816666666666666,11.345833333333333,NA,DEP
LIRF,40NM,H,34L,"(130,230]",240,9.18,8.682500000000001,9.080833333333334,8.881666666666668,NA,DEP
LIRF,40NM,H,34L,"(230,300]",672,8.5,8,8.366666666666667,8.183333333333334,NA,DEP
LIRF,40NM,H,34L,"(300,360]",189,9.010000000000002,8.613333333333333,8.883333333333333,8.748333333333333,NA,DEP
LIRF,40NM,H,34R,"(50,130]",6,10.033333333333333,9.633333333333333,9.9,9.766666666666666,NA,DEP
LIRF,40NM,H,34R,"(130,230]",17,11.136666666666667,10.423333333333334,10.903333333333332,10.663333333333334,NA,DEP
LIRF,40NM,H,34R,"(230,300]",37,9.440000000000001,8.703333333333333,9.386666666666667,9.045,NA,DEP
LIRF,40NM,H,34R,"(300,360]",14,8.386666666666667,7.826666666666666,8.156666666666666,7.991666666666666,NA,DEP
LIRF,40NM,LJ,25,"(230,300]",1,8.1,8.1,8.1,8.1,NA,DEP
LIRF,40NM,LP,25,"(0,50]",1,25.633333333333333,25.633333333333333,25.633333333333333,25.633333333333333,NA,DEP
LIRF,40NM,LT,25,"(50,130]",1,21.933333333333334,21.933333333333334,21.933333333333334,21.933333333333334,NA,DEP
LIRF,40NM,LT,25,"(230,300]",31,14.233333333333333,13.016666666666666,14.149999999999999,13.583333333333332,NA,DEP
LIRF,40NM,LT,25,"(300,360]",1,12.516666666666667,12.516666666666667,12.516666666666667,12.516666666666667,NA,DEP
LIRF,40NM,LT,34L,"(230,300]",1,13.35,13.35,13.35,13.35,NA,DEP
LIRF,40NM,MJ,16L,"(50,130]",28,9.21,8.666666666666666,9.021666666666668,8.844166666666666,NA,DEP
LIRF,40NM,MJ,16L,"(130,230]",22,8.356666666666666,8.086666666666668,8.265,8.175833333333333,NA,DEP
