ICAO,RANGE,CLASS,RWY,C40_SECT,N,REF_P20,REF_P05,REF_P15,REF_PBWG,C100_SECT,PHASE
LTFM,40NM,H,16R,"(0,90]",35,12.096666666666668,11.663333333333334,12.053333333333333,11.858333333333334,NA,DEP
LTFM,40NM,H,16R,"(90,180]",6,11.2,10.1125,10.837499999999999,10.475,NA,DEP
LTFM,40NM,H,16R,"(180,280]",4,9.473333333333333,9.255833333333333,9.400833333333335,9.328333333333333,NA,DEP
LTFM,40NM,H,16R,"(280,360]",78,10.906666666666666,10.3925,10.744166666666667,10.568333333333333,NA,DEP
LTFM,40NM,H,17L,"(0,90]",27,12.443333333333333,11.623333333333335,12.268333333333334,11.945833333333335,NA,DEP
LTFM,40NM,H,17L,"(90,180]",151,9.733333333333333,9.033333333333333,9.666666666666668,9.350000000000001,NA,DEP
LTFM,40NM,H,17L,"(180,280]",59,9.286666666666667,9.028333333333334,9.166666666666666,9.0975,NA,DEP
LTFM,40NM,H,17L,"(280,360]",142,11.033333333333333,10.435,10.833333333333334,10.634166666666667,NA,DEP
LTFM,40NM,H,17R,"(0,90]",913,12.266666666666667,11.436666666666667,12.129999999999999,11.783333333333333,NA,DEP
LTFM,40NM,H,17R,"(90,180]",2466,9.35,8.816666666666666,9.195833333333333,9.00625,NA,DEP
LTFM,40NM,H,17R,"(180,280]",1321,9.266666666666667,8.766666666666667,9.166666666666666,8.966666666666667,NA,DEP
LTFM,40NM,H,17R,"(280,360]",2777,10.833333333333334,10.25,10.666666666666666,10.458333333333332,NA,DEP
LTFM,40NM,H,18,"(0,90]",786,10.6,9.55,10.3,9.925,NA,DEP
LTFM,40NM,H,18,"(90,180]",2831,8.883333333333333,8.433333333333334,8.766666666666667,8.600000000000001,NA,DEP
LTFM,40NM,H,18,"(180,280]",638,10.55,9.666666666666666,10.3925,10.029583333333333,NA,DEP
LTFM,40NM,H,18,"(280,360]",1734,12.416666666666666,11.766666666666667,12.266666666666667,12.016666666666667,NA,DEP
