ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EDDF,2023,ARR,A1,07C,39,7.7876068376068375,5.65,4.77,5.390000000000001,5.08
EDDF,2023,ARR,A1,07L,335,11.158756218905472,8.55,7.9,8.351666666666667,8.125833333333333
EDDF,2023,ARR,A1,07R,270,11.39074074074074,8.08,6.983333333333333,7.7675,7.375416666666666
EDDF,2023,ARR,A1,25C,429,8.319347319347319,5.726666666666667,4.923333333333334,5.466666666666667,5.195
EDDF,2023,ARR,A1,25L,413,13.12687651331719,9.656666666666666,8.443333333333332,9.4,8.921666666666667
EDDF,2023,ARR,A1,25R,544,13.923039215686275,11.383333333333333,10.233333333333333,11.157499999999999,10.695416666666667
EDDF,2023,ARR,A11,07C,44,6.253030303030303,4.543333333333333,3.8741666666666665,4.281666666666666,4.077916666666667
EDDF,2023,ARR,A11,07L,420,10.543928571428571,7.883333333333334,7.016666666666667,7.5,7.258333333333333
EDDF,2023,ARR,A11,07R,348,10.549664750957854,7.516666666666667,6.1625000000000005,7.0525,6.6075
EDDF,2023,ARR,A11,25C,482,7.946023513139696,4.816666666666666,4.134166666666667,4.569166666666666,4.351666666666667
EDDF,2023,ARR,A11,25L,461,12.112653651482285,8.666666666666666,7.366666666666666,8.283333333333333,7.824999999999999
EDDF,2023,ARR,A11,25R,683,13.807418252806247,10.73,9.518333333333334,10.416666666666666,9.967500000000001
EDDF,2023,ARR,A13,07C,58,6.266666666666667,4.113333333333333,3.3808333333333334,3.908333333333333,3.6445833333333333
EDDF,2023,ARR,A13,07L,388,10.503178694158075,7.9,6.939166666666667,7.650833333333334,7.295
EDDF,2023,ARR,A13,07R,320,10.178385416666666,7.196666666666667,6.281666666666666,6.983333333333333,6.6325
EDDF,2023,ARR,A13,25C,463,7.783693304535637,4.883333333333334,4.101666666666667,4.65,4.3758333333333335
EDDF,2023,ARR,A13,25L,410,11.78890243902439,8.68,7.131666666666667,8.150833333333333,7.641249999999999
EDDF,2023,ARR,A13,25R,604,13.137610375275939,10.66,9.319166666666668,10.174166666666666,9.746666666666666
EDDF,2023,ARR,A14,07C,54,6.963271604938272,5.21,4.483333333333333,4.880833333333333,4.682083333333333
EDDF,2023,ARR,A14,07L,483,9.608385093167701,7.683333333333334,6.886666666666667,7.455,7.170833333333333
EDDF,2023,ARR,A14,07R,272,11.486825980392156,8.916666666666666,7.818333333333333,8.5,8.159166666666668
EDDF,2023,ARR,A14,25C,497,7.372837022132797,5.066666666666666,4.456666666666667,4.883333333333334,4.67
EDDF,2023,ARR,A14,25L,515,11.007993527508091,8.68,7.428333333333334,8.383333333333333,7.905833333333334
EDDF,2023,ARR,A14,25R,672,12.54265873015873,10.453333333333333,9.359166666666667,10.1275,9.743333333333332
