ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EDDM,2023,ARR,110,08L,101,8.316831683168317,7,6,6,6
EDDM,2023,ARR,110,08R,425,7.407058823529413,6,5,6,5.5
EDDM,2023,ARR,110,26L,757,7.99867899603699,7,6,6,6
EDDM,2023,ARR,110,26R,265,6.777358490566037,5,4.200000000000001,5,4.6000000000000005
EDDM,2023,ARR,111,08L,284,8.785211267605636,7,6,7,6.5
EDDM,2023,ARR,111,08R,601,6.6705490848585685,5,4,5,4.5
EDDM,2023,ARR,111,26L,966,7.972049689440988,6,5,6,5.5
EDDM,2023,ARR,111,26R,627,7.014354066985646,5,5,5,5
EDDM,2023,ARR,112,08L,143,7.944055944055944,7,6,7,6.5
EDDM,2023,ARR,112,08R,239,6.12970711297071,5,4,5,4.5
EDDM,2023,ARR,112,26L,381,6.950131233595802,5,5,5,5
EDDM,2023,ARR,112,26R,365,6.695890410958905,5,5,5,5
EDDM,2023,ARR,113,08L,167,9.431137724550899,7,7,7,7
EDDM,2023,ARR,113,08R,532,7.832706766917293,6,4,5,4.5
EDDM,2023,ARR,113,26L,798,8.283208020050125,6,5,6,5.5
EDDM,2023,ARR,113,26R,503,7.469184890656064,6,5,6,5.5
EDDM,2023,ARR,115,08L,238,8.962184873949578,7,6,7,6.5
EDDM,2023,ARR,115,08R,505,5.885148514851488,4,4,4,4
EDDM,2023,ARR,115,26L,920,6.78913043478261,5,4,5,4.5
EDDM,2023,ARR,115,26R,476,7.153361344537816,6,5,5,5
EDDM,2023,ARR,116,08L,274,8.047445255474454,7,6,7,6.5
EDDM,2023,ARR,116,08R,414,4.5772946859903385,4,3,4,3.5
EDDM,2023,ARR,116,26L,696,5.258620689655172,4,4,4,4
EDDM,2023,ARR,116,26R,489,6.40081799591002,5,5,5,5
EDDM,2023,ARR,117,08L,311,8.385852090032156,7,6,7,6.5
EDDM,2023,ARR,117,08R,567,4.673721340388007,4,3,3,3
EDDM,2023,ARR,117,26L,913,5.394304490690033,4,3,4,3.5
EDDM,2023,ARR,117,26R,665,6.5593984962406,5,5,5,5
EDDM,2023,ARR,118,08L,335,8.170149253731342,7,6,7,6.5
EDDM,2023,ARR,118,08R,574,4.407665505226481,3,3,3,3
