ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EGLL,2023,ARR,209,09L,2,5,4.4,4.1,4.3,4.199999999999999
EGLL,2023,ARR,209,27L,4,9.25,8.6,8.15,8.45,8.3
EGLL,2023,ARR,209,27R,10,9.1,6,5.449999999999999,6,5.725
EGLL,2023,ARR,210,09L,1,3,3,3,3,3
EGLL,2023,ARR,210,27L,5,13,9,9,9,9
EGLL,2023,ARR,210,27R,3,12.333333333333334,9.399999999999999,9.100000000000001,9.3,9.200000000000001
EGLL,2023,ARR,211,09L,4,4.75,3.6,3.15,3.45,3.3
EGLL,2023,ARR,211,27L,7,10.714285714285714,7.2,6.3,6.8999999999999995,6.6
EGLL,2023,ARR,211,27R,5,8.8,5.800000000000001,5.199999999999999,5.6,5.3999999999999995
EGLL,2023,ARR,212,09L,2,6,6,6,6,6
EGLL,2023,ARR,212,09R,1,5,5,5,5,5
EGLL,2023,ARR,212,27L,4,8.75,7.8,6.449999999999999,7.35,6.8999999999999995
EGLL,2023,ARR,212,27R,11,10,6,4,5.5,4.75
EGLL,2023,ARR,213,09L,9,10.333333333333334,6.200000000000001,5,5.4,5.2
EGLL,2023,ARR,213,27L,8,10.375,9,9,9,9
EGLL,2023,ARR,213,27R,6,7.166666666666667,6,5.25,5.75,5.5
EGLL,2023,ARR,216,09L,891,7.742985409652075,5,4,5,4.5
EGLL,2023,ARR,216,09R,8,5.5,4,3.35,4,3.675
EGLL,2023,ARR,216,27L,1172,7.814846416382253,5,4,5,4.5
EGLL,2023,ARR,216,27R,1142,8.352014010507881,5,4,5,4.5
EGLL,2023,ARR,217,09L,859,7.767171129220024,5,4,5,4.5
EGLL,2023,ARR,217,09R,24,5.708333333333334,4,4,4,4
EGLL,2023,ARR,217,27L,1087,8.199632014719409,5,4,4,4
EGLL,2023,ARR,217,27R,1063,8.549388523047975,5,4,5,4.5
EGLL,2023,ARR,218,09L,83,9.048192771084338,6,5,5,5
EGLL,2023,ARR,218,27L,96,9.885416666666668,6,5,6,5.5
EGLL,2023,ARR,218,27R,100,11.52,8,6,7,6.5
EGLL,2023,ARR,218L,09L,715,8.517482517482517,5,4,5,4.5
EGLL,2023,ARR,218L,09R,13,5.538461538461538,3.4000000000000004,3,3,3
EGLL,2023,ARR,218L,27L,912,7.8234649122807,4,4,4,4
EGLL,2023,ARR,218L,27R,883,8.97281993204983,5,4,5,4.5
EGLL,2023,ARR,218R,09L,698,8.50859598853868,5,4,5,4.5
EGLL,2023,ARR,218R,09R,13,6.923076923076923,4,3.6,4,3.8
EGLL,2023,ARR,218R,27L,873,7.820160366552121,5,4,4,4
EGLL,2023,ARR,218R,27R,863,8.596755504055622,5,5,5,5
EGLL,2023,ARR,219,09L,812,8.273399014778326,5,4,5,4.5
EGLL,2023,ARR,219,09R,4,4.75,3.2,2.3,2.9,2.5999999999999996
EGLL,2023,ARR,219,27L,1041,6.973102785782898,4,3,4,3.5
EGLL,2023,ARR,219,27R,1015,8.776354679802958,5,5,5,5
EGLL,2023,ARR,220,09L,611,8.428805237315876,6,5,5,5
EGLL,2023,ARR,220,09R,4,5.25,4.6,4.15,4.45,4.300000000000001
EGLL,2023,ARR,220,27L,767,7.018252933507171,4,4,4,4
EGLL,2023,ARR,220,27R,735,8.998639455782314,6,5,6,5.5
EGLL,2023,ARR,221L,09L,734,8.461852861035421,6,5,6,5.5
EGLL,2023,ARR,221L,09R,13,3.6153846153846154,3,2.6,3,2.8
EGLL,2023,ARR,221L,27L,965,5.670466321243531,3,3,3,3
EGLL,2023,ARR,221L,27R,933,8.97749196141479,7,5,6,5.5
EGLL,2023,ARR,221R,09L,811,8.639950678175092,6,5,6,5.5
EGLL,2023,ARR,221R,09R,13,7.230769230769231,3,2,2.8,2.4
EGLL,2023,ARR,221R,27L,1022,6.155577299412914,4,3,4,3.5
EGLL,2023,ARR,221R,27R,1002,9.416167664670658,7,5,6,5.5
EGLL,2023,ARR,223,09L,809,9.04573547589617,6,5,6,5.5
EGLL,2023,ARR,223,09R,12,6.75,4,3,3.65,3.325
EGLL,2023,ARR,223,27L,1025,6.398048780487801,4,3,4,3.5
EGLL,2023,ARR,223,27R,1015,9.478817733990144,7,5,6,5.5
EGLL,2023,ARR,224,09L,803,8.819427148194272,6,5,6,5.5
EGLL,2023,ARR,224,09R,10,4.9,3,2.45,3,2.725
EGLL,2023,ARR,224,27L,1052,6.124524714828896,4,3,3,3
EGLL,2023,ARR,224,27R,1014,9.191321499013805,7,6,6,6
EGLL,2023,ARR,225,09L,804,9.16044776119403,6,6,6,6
EGLL,2023,ARR,225,09R,5,10.4,3.8,3.2,3.6,3.4000000000000004
EGLL,2023,ARR,225,27L,1015,5.886699507389163,4,3,3,3
EGLL,2023,ARR,225,27R,1008,9.388888888888891,7,6,6,6
EGLL,2023,ARR,226,09L,750,9.059999999999999,7,5.450000000000003,6,5.725000000000001
EGLL,2023,ARR,226,09R,7,6.714285714285714,5,2.9000000000000004,4.7,3.8000000000000003
EGLL,2023,ARR,226,27L,1015,6.013793103448273,4,3,3,3
EGLL,2023,ARR,226,27R,984,9.539634146341463,7,6,7,6.5
EGLL,2023,ARR,231,09L,365,6.054794520547946,4,3,4,3.5
EGLL,2023,ARR,231,09R,5,6.8,5.6000000000000005,4.4,5.2,4.800000000000001
EGLL,2023,ARR,231,27L,434,10.161290322580644,7,6,7,6.5
EGLL,2023,ARR,231,27R,472,7.838983050847458,5.200000000000003,4,5,4.5
EGLL,2023,ARR,232,09L,350,6.380000000000002,4,3.4499999999999993,4,3.7249999999999996
EGLL,2023,ARR,232,09R,13,7,5.4,5,5,5
EGLL,2023,ARR,232,27L,432,9.57638888888889,7,6,7,6.5
EGLL,2023,ARR,232,27R,494,8.11336032388664,6,5,6,5.5
EGLL,2023,ARR,233,09L,348,7.224137931034485,4.400000000000006,4,4,4
EGLL,2023,ARR,233,09R,10,7.3,5,4.45,5,4.725
EGLL,2023,ARR,233,27L,384,10.096354166666668,7,6,7,6.5
EGLL,2023,ARR,233,27R,429,8.638694638694636,6,5,6,5.5
EGLL,2023,ARR,233L,09L,10,11.5,5.8,4.45,5.35,4.9
EGLL,2023,ARR,233L,27L,24,8.791666666666668,5.6000000000000005,5,5,5
EGLL,2023,ARR,233L,27R,27,8.296296296296296,5,4,4.9,4.45
EGLL,2023,ARR,233R,09L,35,10.114285714285714,5,4,5,4.5
EGLL,2023,ARR,233R,27L,54,8.61111111111111,5,4.65,5,4.825
