ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EHAM,2023,ARR,A31,06,270,2.5495061728395063,1.9833333333333334,1.6075,1.85,1.72875
EHAM,2023,ARR,A31,18C,191,4.4915357766143105,3.9,3.575,3.841666666666667,3.7083333333333335
EHAM,2023,ARR,A31,18R,544,10.445649509803921,9.276666666666667,8.483333333333333,9.1,8.791666666666666
EHAM,2023,ARR,A31,22,49,5.702721088435374,4.923333333333334,4.736666666666666,4.87,4.803333333333333
EHAM,2023,ARR,A31,24,25,2.4446666666666665,2.0233333333333334,1.8866666666666667,1.9633333333333334,1.925
EHAM,2023,ARR,A31,27,156,6.140384615384615,5.283333333333333,4.8,5.170833333333333,4.985416666666667
EHAM,2023,ARR,A31,36C,48,6.002430555555556,5.116666666666667,4.5725,4.884166666666667,4.7283333333333335
EHAM,2023,ARR,A31,36R,103,4.433171521035598,3.606666666666667,3.316666666666667,3.4833333333333334,3.4000000000000004
EHAM,2023,ARR,A32,06,306,2.7148692810457518,2.1666666666666665,1.7041666666666666,2.029166666666667,1.8666666666666667
EHAM,2023,ARR,A32,18C,199,4.787102177554439,4.05,3.75,3.995,3.8725
EHAM,2023,ARR,A32,18R,593,10.441259134345138,9.25,8.733333333333333,9.133333333333333,8.933333333333334
EHAM,2023,ARR,A32,22,48,5.585416666666666,4.716666666666667,4.518333333333333,4.650833333333334,4.584583333333333
EHAM,2023,ARR,A32,24,20,2.3808333333333334,2.12,1.8133333333333332,2.041666666666667,1.9275000000000002
EHAM,2023,ARR,A32,27,178,6.266292134831461,5.263333333333334,4.7283333333333335,5.092499999999999,4.910416666666666
EHAM,2023,ARR,A32,36C,33,6.0368686868686865,5.126666666666667,4.859999999999999,5.04,4.949999999999999
EHAM,2023,ARR,A32,36R,124,4.296639784946237,3.65,3.4525,3.5908333333333333,3.5216666666666665
EHAM,2023,ARR,A33,06,304,2.7925986842105264,2.2666666666666666,1.8383333333333332,2.140833333333333,1.989583333333333
EHAM,2023,ARR,A33,18C,201,4.926119402985075,4.083333333333333,3.7,3.9833333333333334,3.841666666666667
EHAM,2023,ARR,A33,18R,608,10.594654605263157,9.456666666666667,8.733333333333333,9.317499999999999,9.025416666666665
EHAM,2023,ARR,A33,22,52,5.5625,5.1,4.5216666666666665,4.991666666666666,4.756666666666666
EHAM,2023,ARR,A33,24,29,2.432758620689655,2.0966666666666667,1.94,2,1.97
EHAM,2023,ARR,A33,27,182,6.233150183150183,5.233333333333333,4.8175,5.133333333333334,4.975416666666667
EHAM,2023,ARR,A33,36C,37,6.458108108108108,5.413333333333333,4.6899999999999995,5.366666666666666,5.028333333333332
EHAM,2023,ARR,A33,36R,126,4.573280423280424,3.683333333333333,3.45,3.5791666666666666,3.5145833333333334
EHAM,2023,ARR,A34,06,306,2.9477668845315903,2.316666666666667,1.85,2.2,2.0250000000000004
EHAM,2023,ARR,A34,18C,189,4.949823633156966,4.233333333333333,3.913333333333333,4.086666666666666,3.9999999999999996
EHAM,2023,ARR,A34,18R,615,10.674579945799458,9.463333333333333,8.745,9.316666666666666,9.030833333333334
EHAM,2023,ARR,A34,22,47,5.633687943262411,4.99,4.598333333333333,4.903333333333334,4.7508333333333335
EHAM,2023,ARR,A34,24,17,3.135294117647059,2.1866666666666665,2.0500000000000003,2.173333333333333,2.1116666666666664
EHAM,2023,ARR,A34,27,183,6.5228597449908925,5.49,4.933333333333334,5.35,5.141666666666667
EHAM,2023,ARR,A34,36C,37,6.191441441441442,5.453333333333333,4.9833333333333325,5.41,5.196666666666666
EHAM,2023,ARR,A34,36R,136,4.746200980392157,3.9,3.566666666666667,3.8041666666666663,3.685416666666667
EHAM,2023,ARR,A35,06,301,3.1075858250276855,2.3333333333333335,1.9666666666666666,2.2666666666666666,2.1166666666666667
EHAM,2023,ARR,A35,18C,185,5.004684684684684,4.296666666666667,3.9066666666666663,4.183333333333334,4.045
EHAM,2023,ARR,A35,18R,551,10.91826981246219,9.6,8.8,9.4,9.100000000000001
EHAM,2023,ARR,A35,22,45,6.258518518518518,5.116666666666667,4.69,4.99,4.84
EHAM,2023,ARR,A35,24,15,2.602222222222222,2.3533333333333335,2.2233333333333336,2.3066666666666666,2.265
EHAM,2023,ARR,A35,27,155,6.484838709677419,5.433333333333334,4.878333333333334,5.333333333333333,5.105833333333333
EHAM,2023,ARR,A35,36C,32,6.886458333333334,5.460000000000001,5.216666666666667,5.381666666666667,5.299166666666666
EHAM,2023,ARR,A35,36R,117,4.8351851851851855,3.9366666666666665,3.5433333333333334,3.75,3.6466666666666665
EHAM,2023,ARR,A41,06,294,2.640646258503401,2.1333333333333333,1.6833333333333333,2.015833333333333,1.8495833333333334
EHAM,2023,ARR,A41,18C,196,4.656802721088435,3.8666666666666667,3.5791666666666666,3.8041666666666663,3.6916666666666664
EHAM,2023,ARR,A41,18R,573,10.317306573589295,9.156666666666666,8.45,9.033333333333333,8.741666666666667
EHAM,2023,ARR,A41,22,54,5.789197530864198,4.7,4.365833333333334,4.665,4.515416666666667
EHAM,2023,ARR,A41,24,18,2.363888888888889,1.8399999999999999,1.7183333333333335,1.7958333333333332,1.7570833333333333
EHAM,2023,ARR,A41,27,212,6.123584905660377,5.236666666666666,4.575833333333334,5.1275,4.851666666666667
EHAM,2023,ARR,A41,36C,37,6.2274774774774775,5.153333333333333,4.776666666666666,5.036666666666666,4.906666666666666
EHAM,2023,ARR,A41,36R,135,4.4399999999999995,3.65,3.3783333333333334,3.6,3.4891666666666667
EHAM,2023,ARR,A42,06,315,2.779206349206349,2.3,1.9166666666666667,2.2333333333333334,2.075
EHAM,2023,ARR,A42,18C,206,4.6205501618122975,3.9833333333333334,3.604166666666667,3.8874999999999997,3.7458333333333336
EHAM,2023,ARR,A42,18R,603,10.368656716417911,9.2,8.551666666666668,9.033333333333333,8.7925
