ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LEMD,2023,ARR,10,18L,64,11.401302083333333,9.883333333333335,8.92,9.559999999999999,9.239999999999998
LEMD,2023,ARR,10,18R,30,7.051111111111111,5.78,4.533333333333333,5.5808333333333335,5.057083333333333
LEMD,2023,ARR,10,32L,97,3.497938144329897,2.4033333333333333,1.7866666666666668,2.2233333333333336,2.0050000000000003
LEMD,2023,ARR,10,32R,239,10.233891213389121,8.496666666666668,7.398333333333333,8.163333333333334,7.780833333333334
LEMD,2023,ARR,100,18L,23,15.300724637681158,13.946666666666665,11.003333333333334,13.481666666666666,12.2425
LEMD,2023,ARR,100,18R,9,12.688888888888888,11.41,9.169999999999998,10.603333333333333,9.886666666666667
LEMD,2023,ARR,100,32L,24,6.686111111111111,5.826666666666666,5.008333333333334,5.7575,5.382916666666667
LEMD,2023,ARR,100,32R,28,14.216666666666667,12.896666666666667,11.658333333333335,12.6125,12.135416666666668
LEMD,2023,ARR,101,18L,22,15.378030303030304,13.156666666666666,11.889166666666666,12.953333333333333,12.42125
LEMD,2023,ARR,101,18R,10,11.743333333333334,9.756666666666666,8.696666666666665,9.696666666666667,9.196666666666665
LEMD,2023,ARR,101,32L,19,7.885964912280701,6.876666666666667,5.663333333333333,6.456666666666667,6.0600000000000005
LEMD,2023,ARR,101,32R,41,13.919512195121952,12.05,10.8,11.716666666666667,11.258333333333333
LEMD,2023,ARR,102,18L,18,15.147222222222222,12.54,11.861666666666668,12.365833333333335,12.113750000000001
LEMD,2023,ARR,102,18R,9,11.796296296296296,9.246666666666666,7.896666666666667,8.760000000000002,8.328333333333335
LEMD,2023,ARR,102,32L,25,6.896,5.353333333333333,5.216666666666667,5.293333333333333,5.255
LEMD,2023,ARR,102,32R,35,14.024761904761904,12.23,11.073333333333334,11.69,11.381666666666668
LEMD,2023,ARR,103,18L,21,15.111904761904762,13.283333333333333,12.116666666666667,13.183333333333334,12.65
