ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LFPG,2023,ARR,A01,08R,30,11.433333333333334,10,9,10,9.5
LFPG,2023,ARR,A01,09L,16,11.0625,9,9,9,9
LFPG,2023,ARR,A01,09R,1,10,10,10,10,10
LFPG,2023,ARR,A01,26L,40,7.2,6,5.95,6,5.975
LFPG,2023,ARR,A01,27L,1,14,14,14,14,14
LFPG,2023,ARR,A01,27R,15,13.133333333333333,10.8,9.7,10.100000000000001,9.9
LFPG,2023,ARR,A03,08L,1,12,12,12,12,12
LFPG,2023,ARR,A03,08R,34,11.294117647058824,9,9,9,9
LFPG,2023,ARR,A03,09L,25,13.28,10.8,10,10,10
LFPG,2023,ARR,A03,26L,61,7.459016393442622,6,5,5,5
LFPG,2023,ARR,A03,26R,3,5.333333333333333,5,5,5,5
LFPG,2023,ARR,A03,27L,1,13,13,13,13,13
LFPG,2023,ARR,A03,27R,32,13.75,11,10,10.649999999999999,10.325
LFPG,2023,ARR,A04,26L,12,8.333333333333334,6,5.550000000000001,6,5.775
LFPG,2023,ARR,A04,27R,5,14.6,13,13,13,13
LFPG,2023,ARR,A05,08L,1,9,9,9,9,9
LFPG,2023,ARR,A05,08R,28,11.035714285714286,10,8.35,10,9.175
LFPG,2023,ARR,A05,09L,12,11.25,10,8.55,9.65,9.100000000000001
LFPG,2023,ARR,A05,26L,56,7.4642857142857135,5,5,5,5
LFPG,2023,ARR,A05,26R,2,13.5,9,6.75,8.249999999999998,7.499999999999999
LFPG,2023,ARR,A05,27R,18,14.444444444444445,13,12.85,13,12.925
LFPG,2023,ARR,A06,26L,7,6.571428571428571,6,5.300000000000001,5.9,5.6000000000000005
LFPG,2023,ARR,A07,08L,1,8,8,8,8,8
LFPG,2023,ARR,A07,08R,15,10.733333333333333,8,7.7,8,7.85
LFPG,2023,ARR,A07,09L,11,14.363636363636363,12,12,12,12
LFPG,2023,ARR,A07,26L,40,6.325,5,4,5,4.5
LFPG,2023,ARR,A07,26R,1,7,7,7,7,7
LFPG,2023,ARR,A07,27L,1,13,13,13,13,13
LFPG,2023,ARR,A07,27R,10,14.1,12,12,12,12
LFPG,2023,ARR,A08,08L,1,8,8,8,8,8
LFPG,2023,ARR,A08,08R,51,11.431372549019608,10,9,10,9.5
LFPG,2023,ARR,A08,09L,21,13.619047619047619,11,10,10,10
LFPG,2023,ARR,A08,26L,117,6.700854700854701,6,5,5.399999999999999,5.199999999999999
LFPG,2023,ARR,A08,26R,2,5,5,5,5,5
LFPG,2023,ARR,A08,27R,44,14.704545454545455,13,12,12,12
LFPG,2023,ARR,A09,08L,1,9,9,9,9,9
LFPG,2023,ARR,A09,08R,41,10.926829268292684,9,8,9,8.5
LFPG,2023,ARR,A09,09L,27,13.62962962962963,11,10,11,10.5
LFPG,2023,ARR,A09,26L,62,5.838709677419355,5,5,5,5
LFPG,2023,ARR,A09,26R,5,13.4,4,4,4,4
LFPG,2023,ARR,A09,27R,31,13.806451612903226,12,11,12,11.5
LFPG,2023,ARR,A10,08R,68,10.514705882352942,9,8,9,8.5
LFPG,2023,ARR,A10,09L,26,13.807692307692308,11,10.25,11,10.625
LFPG,2023,ARR,A10,26L,133,6.646616541353384,5,5,5,5
LFPG,2023,ARR,A10,26R,3,5,5,5,5,5
LFPG,2023,ARR,A10,27L,1,17,17,17,17,17
LFPG,2023,ARR,A10,27R,41,14.829268292682928,13,12,13,12.5
LFPG,2023,ARR,A12,08R,1,8,8,8,8,8
LFPG,2023,ARR,A12,26L,4,7,5.6,5.1499999999999995,5.449999999999999,5.299999999999999
LFPG,2023,ARR,A14,08L,1,7,7,7,7,7
LFPG,2023,ARR,A14,08R,42,11.666666666666666,10,9,10,9.5
LFPG,2023,ARR,A14,09L,36,13.63888888888889,11,10,11,10.5
LFPG,2023,ARR,A14,26L,116,6.586206896551724,5,5,5,5
LFPG,2023,ARR,A14,26R,3,5,4.4,4.1,4.3,4.199999999999999
LFPG,2023,ARR,A14,27L,1,11,11,11,11,11
LFPG,2023,ARR,A14,27R,50,14.66,13,12,13,12.5
LFPG,2023,ARR,A16,26L,2,5.5,4.6,4.15,4.449999999999999,4.3
LFPG,2023,ARR,A18,08R,42,10.19047619047619,8.200000000000001,8,8,8
LFPG,2023,ARR,A18,09L,23,14.217391304347826,12,11.1,12,11.55
LFPG,2023,ARR,A18,09R,1,11,11,11,11,11
LFPG,2023,ARR,A18,26L,96,6.03125,5,4,5,4.5
LFPG,2023,ARR,A18,26R,6,4.666666666666667,4,3.25,3.75,3.5
LFPG,2023,ARR,A18,27L,2,15,14.4,14.1,14.3,14.2
LFPG,2023,ARR,A18,27R,46,15.152173913043478,13,12,13,12.5
LFPG,2023,ARR,A30,08R,1,12,12,12,12,12
LFPG,2023,ARR,A30,09L,1,11,11,11,11,11
LFPG,2023,ARR,A30,26L,8,8.125,7,7,7,7
LFPG,2023,ARR,A30,27R,4,15.25,13.200000000000001,12.3,12.899999999999999,12.6
LFPG,2023,ARR,A34,08R,2,12,12,12,12,12
LFPG,2023,ARR,A34,09L,1,12,12,12,12,12
LFPG,2023,ARR,A34,26L,12,8.5,6,6,6,6
LFPG,2023,ARR,A34,27R,3,12.333333333333334,11.8,11.2,11.6,11.399999999999999
LFPG,2023,ARR,A38,08L,1,10,10,10,10,10
LFPG,2023,ARR,A38,08R,11,11.363636363636363,10,9.5,10,9.75
LFPG,2023,ARR,A38,09L,7,12,10.2,9.3,9.9,9.600000000000001
LFPG,2023,ARR,A38,26L,33,7.181818181818182,6,6,6,6
