ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LIRF,2023,ARR,101,16L,103,9.87378640776699,6,5,6,5.5
LIRF,2023,ARR,101,16R,2,13.5,12.600000000000001,12.149999999999999,12.45,12.299999999999999
LIRF,2023,ARR,101,25,1,8,8,8,8,8
LIRF,2023,ARR,101,34R,21,8.666666666666666,8,4,7,5.5
LIRF,2023,ARR,102,16L,175,9.988571428571426,6.800000000000004,5.700000000000001,6,5.8500000000000005
LIRF,2023,ARR,102,16R,5,15.8,12.8,12.200000000000001,12.6,12.4
LIRF,2023,ARR,102,34L,1,9,9,9,9,9
LIRF,2023,ARR,102,34R,29,8.827586206896552,7,5.800000000000001,7,6.4
LIRF,2023,ARR,103,16L,22,9.227272727272727,6,5.05,6,5.525
LIRF,2023,ARR,103,34R,5,13.8,9.799999999999999,9.2,9.6,9.399999999999999
LIRF,2023,ARR,104,16L,3,7.333333333333333,5.8,5.200000000000001,5.6000000000000005,5.4
LIRF,2023,ARR,105,16L,406,9.362068965517242,6,5,6,5.5
LIRF,2023,ARR,105,16R,3,10.333333333333334,9.799999999999999,9.200000000000001,9.600000000000001,9.400000000000002
LIRF,2023,ARR,105,34L,1,16,16,16,16,16
LIRF,2023,ARR,105,34R,83,10.6144578313253,8,7,8,7.5
LIRF,2023,ARR,201,16L,118,8.677966101694917,6,5,6,5.5
LIRF,2023,ARR,201,16R,26,8.23076923076923,7,6,7,6.5
LIRF,2023,ARR,201,25,1,5,5,5,5,5
LIRF,2023,ARR,201,34L,5,7.4,6.800000000000001,6.2,6.6000000000000005,6.4
LIRF,2023,ARR,201,34R,28,13,8,7,7.05,7.025
LIRF,2023,ARR,202,16L,131,8.977099236641221,6,5,6,5.5
LIRF,2023,ARR,202,16R,34,10.058823529411764,7.6000000000000005,6,7,6.5
LIRF,2023,ARR,202,25,2,6,5.3999999999999995,5.1000000000000005,5.299999999999999,5.199999999999999
LIRF,2023,ARR,202,34L,8,7.25,6,5.35,6,5.675
