ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LSZH,2023,ARR,101,14,448,7.016815476190477,5.74,4.961666666666667,5.6,5.280833333333334
LSZH,2023,ARR,101,16,3,6.416666666666666,5.133333333333333,3.908333333333333,4.725,4.316666666666666
LSZH,2023,ARR,101,28,117,6.113105413105413,4.513333333333334,3.2233333333333336,4.333333333333333,3.7783333333333333
LSZH,2023,ARR,101,34,16,7.325,5.083333333333333,3.8125,5.058333333333333,4.435416666666667
LSZH,2023,ARR,102,14,656,7.118089430894309,5.8,4.808333333333334,5.533333333333333,5.170833333333333
LSZH,2023,ARR,102,16,4,9.6375,7.416666666666666,7.041666666666666,7.291666666666667,7.166666666666666
LSZH,2023,ARR,102,28,154,6.356168831168831,4.85,3.9875,4.6658333333333335,4.326666666666666
LSZH,2023,ARR,102,34,24,7.863888888888889,5.256666666666667,4.713333333333334,5.066666666666666,4.890000000000001
LSZH,2023,ARR,103,14,555,7.193633633633634,5.896666666666667,5.028333333333333,5.716666666666667,5.3725000000000005
LSZH,2023,ARR,103,28,113,6.199410029498525,4.623333333333333,3.63,4.4366666666666665,4.033333333333333
LSZH,2023,ARR,103,34,11,7.098484848484849,6.8,1.7916666666666667,5.191666666666666,3.4916666666666667
LSZH,2023,ARR,104,14,414,7.077576489533011,5.870000000000001,5.193333333333333,5.665000000000001,5.429166666666667
LSZH,2023,ARR,104,28,98,6.214285714285714,4.8100000000000005,4.0075,4.453333333333333,4.230416666666667
LSZH,2023,ARR,104,34,12,7.7444444444444445,6.083333333333333,4.825833333333334,5.750833333333333,5.288333333333333
LSZH,2023,ARR,105,14,279,6.980704898446834,5.843333333333334,5.048333333333333,5.668333333333333,5.3583333333333325
LSZH,2023,ARR,105,16,1,7.3,7.3,7.3,7.3,7.3
LSZH,2023,ARR,105,28,71,6.212910798122066,4.7,3.441666666666667,4.308333333333334,3.875
LSZH,2023,ARR,105,34,6,7.647222222222222,6.5,6.050000000000001,6.35,6.2
LSZH,2023,ARR,106,14,183,7.107468123861566,5.806666666666667,4.656666666666667,5.476666666666667,5.066666666666666
LSZH,2023,ARR,106,16,1,7.916666666666667,7.916666666666667,7.916666666666667,7.916666666666667,7.916666666666667
LSZH,2023,ARR,106,28,63,6.207142857142857,4.306666666666667,1.3916666666666657,4.141666666666667,2.766666666666666
LSZH,2023,ARR,106,32,1,6.25,6.25,6.25,6.25,6.25
LSZH,2023,ARR,106,34,4,7.054166666666666,5.243333333333333,4.935833333333333,5.140833333333333,5.038333333333333
LSZH,2023,ARR,107,10,1,1.3166666666666667,1.3166666666666667,1.3166666666666667,1.3166666666666667,1.3166666666666667
LSZH,2023,ARR,107,14,263,7.268314321926489,5.733333333333333,4.95,5.55,5.25
LSZH,2023,ARR,107,28,75,6.287111111111111,4.773333333333333,3.645,4.466666666666667,4.055833333333333
LSZH,2023,ARR,107,34,10,6.705,5.826666666666667,4.971666666666667,5.624166666666667,5.2979166666666675
LSZH,2023,ARR,108,14,264,7.407638888888889,5.8100000000000005,4.926666666666668,5.640833333333333,5.28375
LSZH,2023,ARR,108,16,1,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667,8.016666666666667
LSZH,2023,ARR,108,28,60,6.927222222222222,5.07,4.340833333333333,4.9158333333333335,4.628333333333334
LSZH,2023,ARR,108,34,5,6.466666666666667,4.323333333333333,3.493333333333333,4.046666666666667,3.77
LSZH,2023,ARR,109,14,97,7.296048109965636,6.003333333333334,5.246666666666667,5.763333333333334,5.505000000000001
LSZH,2023,ARR,109,28,27,5.545679012345679,4.626666666666667,1.8299999999999996,4.403333333333334,3.116666666666667
LSZH,2023,ARR,109,34,6,7.383333333333333,5.15,5.074999999999999,5.125,5.1
LSZH,2023,ARR,110,14,52,7.850961538461538,6.2,5.365833333333334,6.06,5.712916666666667
LSZH,2023,ARR,110,28,13,5.946153846153846,4.8100000000000005,3.5033333333333334,4.363333333333333,3.9333333333333336
LSZH,2023,ARR,110,34,2,9.458333333333334,8.673333333333334,8.280833333333334,8.5425,8.411666666666667
LSZH,2023,ARR,111,14,139,7.802877697841727,6.21,5.333333333333333,6.028333333333333,5.680833333333333
LSZH,2023,ARR,111,28,55,5.577575757575757,3.8633333333333333,2.9883333333333333,3.7016666666666667,3.3449999999999998
LSZH,2023,ARR,111,34,4,6.458333333333333,5.85,5.437499999999999,5.7125,5.574999999999999
LSZH,2023,ARR,112,28,1,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334,8.083333333333334
LSZH,2023,ARR,203,14,3,7.533333333333333,6.7,6.525,6.641666666666667,6.583333333333334
LSZH,2023,ARR,204,14,1,6.283333333333333,6.283333333333333,6.283333333333333,6.283333333333333,6.283333333333333
LSZH,2023,ARR,205,14,1,9.116666666666667,9.116666666666667,9.116666666666667,9.116666666666667,9.116666666666667
LSZH,2023,ARR,301,14,2,8.175,6.95,6.337500000000001,6.745833333333333,6.541666666666667
LSZH,2023,ARR,301,28,2,5.35,4.84,4.585,4.755,4.67
LSZH,2023,ARR,302,14,9,8.818518518518518,7.1033333333333335,4.963333333333333,6.256666666666667,5.609999999999999
LSZH,2023,ARR,302,16,1,11.7,11.7,11.7,11.7,11.7
LSZH,2023,ARR,302,28,5,5.676666666666667,3.7666666666666666,3.7666666666666666,3.7666666666666666,3.7666666666666666
LSZH,2023,ARR,303,14,13,7.06025641025641,6.140000000000001,3.713333333333334,5.9799999999999995,4.846666666666667
LSZH,2023,ARR,303,28,3,5.138888888888889,4.83,4.77,4.8100000000000005,4.79
LSZH,2023,ARR,304,14,18,7.590740740740741,6.253333333333334,4.281666666666667,5.528333333333333,4.905
LSZH,2023,ARR,304,28,3,5.033333333333333,2.713333333333333,0.9033333333333338,2.1100000000000003,1.506666666666667
LSZH,2023,ARR,304,34,2,6.291666666666666,6.036666666666666,5.909166666666666,5.994166666666667,5.951666666666666
LSZH,2023,ARR,305,14,13,7.871794871794872,5.816666666666667,5.126666666666666,5.393333333333334,5.26
LSZH,2023,ARR,305,28,6,7.805555555555555,5.933333333333334,5.270833333333333,5.7125,5.491666666666667
LSZH,2023,ARR,306,14,3,8.933333333333334,6.199999999999999,5.55,5.983333333333333,5.766666666666667
LSZH,2023,ARR,306,28,4,3.595833333333333,2.9466666666666663,2.924166666666667,2.939166666666667,2.9316666666666666
LSZH,2023,ARR,306,34,2,5,4.99,4.985,4.988333333333333,4.986666666666666
LSZH,2023,ARR,307,14,8,8.664583333333333,7.126666666666667,6.604166666666667,6.8116666666666665,6.707916666666667
LSZH,2023,ARR,307,28,3,3.772222222222222,3.0266666666666664,2.206666666666667,2.753333333333334,2.4800000000000004
LSZH,2023,ARR,308,10,1,3,3,3,3,3
LSZH,2023,ARR,308,14,77,8.203030303030303,6.553333333333334,5.626666666666667,6.463333333333333,6.045
LSZH,2023,ARR,308,28,47,5.751063829787234,4.54,3.675,4.428333333333334,4.051666666666667
LSZH,2023,ARR,308,32,2,8.366666666666667,6.736666666666666,5.921666666666667,6.465,6.193333333333333
LSZH,2023,ARR,308,34,3,7.866666666666667,6.883333333333333,6.783333333333333,6.85,6.816666666666666
LSZH,2023,ARR,309,14,19,7.723684210526316,6.66,5.76,6.31,6.035
LSZH,2023,ARR,309,16,1,9.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334,9.333333333333334
LSZH,2023,ARR,309,28,6,5.025,4.383333333333334,4.045833333333333,4.270833333333334,4.158333333333333
LSZH,2023,ARR,310,14,34,7.7519607843137255,6.24,5.081666666666667,6.1725,5.627083333333333
LSZH,2023,ARR,310,28,7,5.271428571428571,3.603333333333333,1.03,3.0899999999999994,2.0599999999999996
LSZH,2023,ARR,311,14,29,7.56264367816092,6.316666666666666,5.4,6.15,5.775
LSZH,2023,ARR,311,28,12,6.05,4.423333333333333,4.119166666666667,4.281666666666666,4.2004166666666665
LSZH,2023,ARR,311,34,1,6.516666666666667,6.516666666666667,6.516666666666667,6.516666666666667,6.516666666666667
LSZH,2023,ARR,313,14,2,7.333333333333334,7.113333333333333,7.003333333333334,7.076666666666667,7.040000000000001
LSZH,2023,ARR,313,16,1,7.8,7.8,7.8,7.8,7.8
LSZH,2023,ARR,313,28,3,3.727777777777778,2.53,2.045,2.368333333333333,2.2066666666666666
LSZH,2023,ARR,313,34,1,7.416666666666667,7.416666666666667,7.416666666666667,7.416666666666667,7.416666666666667
LSZH,2023,ARR,314,10,1,6.766666666666667,6.766666666666667,6.766666666666667,6.766666666666667,6.766666666666667
LSZH,2023,ARR,314,14,6,7.663888888888889,7,5.6875,6.5625,6.125
LSZH,2023,ARR,314,28,10,4.323333333333333,3.36,1.6624999999999996,3.3075,2.485
LSZH,2023,ARR,314,34,1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
LSZH,2023,ARR,315,14,24,7.259027777777778,5.873333333333334,5.153333333333333,5.446666666666667,5.300000000000001
LSZH,2023,ARR,315,16,1,11.5,11.5,11.5,11.5,11.5
LSZH,2023,ARR,315,28,10,5.825,4.283333333333333,3.9483333333333333,4.208333333333333,4.078333333333333
LSZH,2023,ARR,316,14,3,9.11111111111111,8.53,8.469999999999999,8.51,8.489999999999998
LSZH,2023,ARR,317,14,3,5.961111111111111,3.6033333333333335,2.463333333333334,3.2233333333333336,2.8433333333333337
LSZH,2023,ARR,320,14,5,5.746666666666667,4.1433333333333335,3.3233333333333333,3.87,3.5966666666666667
LSZH,2023,ARR,320,28,1,5.916666666666667,5.916666666666667,5.916666666666667,5.916666666666667,5.916666666666667
LSZH,2023,ARR,412,14,1,8.683333333333334,8.683333333333334,8.683333333333334,8.683333333333334,8.683333333333334
LSZH,2023,ARR,501,14,176,6.423200757575757,5.166666666666667,4.429166666666667,4.9375,4.683333333333334
LSZH,2023,ARR,501,16,1,6.816666666666666,6.816666666666666,6.816666666666666,6.816666666666666,6.816666666666666
LSZH,2023,ARR,501,28,40,5.205,4.206666666666667,3.665833333333334,3.9975,3.831666666666667
LSZH,2023,ARR,501,34,1,8.466666666666667,8.466666666666667,8.466666666666667,8.466666666666667,8.466666666666667
LSZH,2023,ARR,502,14,47,7.074468085106383,5.596666666666667,4.916666666666667,5.545,5.230833333333333
LSZH,2023,ARR,502,28,13,7.1179487179487175,5.44,4.453333333333333,5.226666666666667,4.84
LSZH,2023,ARR,502,34,4,9.245833333333334,7.786666666666667,7.696666666666667,7.756666666666666,7.726666666666667
LSZH,2023,ARR,503,14,149,6.01744966442953,5.186666666666667,4.226666666666667,5.036666666666666,4.631666666666666
LSZH,2023,ARR,503,28,42,6.210714285714285,4.6866666666666665,4.1875,4.593333333333334,4.390416666666667
LSZH,2023,ARR,503,34,3,7.644444444444445,6.52,6.205,6.415,6.3100000000000005
LSZH,2023,ARR,504,14,244,6.1099726775956285,5.093333333333334,4.31,4.983333333333333,4.6466666666666665
LSZH,2023,ARR,504,28,66,5.926010101010101,4.316666666666666,3.5000000000000004,3.9375,3.71875
LSZH,2023,ARR,504,34,6,8.855555555555556,7.75,7.4,7.633333333333333,7.516666666666667
LSZH,2023,ARR,506,14,248,6.441868279569892,5.133333333333334,4.483333333333333,4.983333333333333,4.733333333333333
LSZH,2023,ARR,506,16,1,6.716666666666667,6.716666666666667,6.716666666666667,6.716666666666667,6.716666666666667
LSZH,2023,ARR,506,28,74,7.113963963963964,4.35,3.51,4.095833333333333,3.8029166666666665
LSZH,2023,ARR,506,34,8,7.422916666666667,6.2,5.2675,6.170833333333333,5.719166666666666
LSZH,2023,ARR,507,14,240,6.5067361111111115,5.283333333333333,4.615833333333333,5.1,4.857916666666666
LSZH,2023,ARR,507,16,1,12.15,12.15,12.15,12.15,12.15
LSZH,2023,ARR,507,28,51,5.838888888888889,4.416666666666667,3.275,4.158333333333333,3.716666666666667
LSZH,2023,ARR,507,34,9,7.014814814814815,6.27,4.22,6.123333333333333,5.171666666666667
LSZH,2023,ARR,508,14,1,6.6,6.6,6.6,6.6,6.6
LSZH,2023,ARR,701,14,20,7.369166666666667,6.583333333333333,5.8275000000000015,6.425000000000001,6.126250000000001
LSZH,2023,ARR,701,28,6,4.188888888888889,3.6333333333333333,3.595833333333333,3.6208333333333336,3.6083333333333334
LSZH,2023,ARR,701,34,2,6.824999999999999,6.6899999999999995,6.6225,6.6674999999999995,6.645
LSZH,2023,ARR,702,14,36,8.593518518518518,6.6,5.549999999999999,6.174999999999999,5.862499999999999
LSZH,2023,ARR,702,28,11,3.7803030303030303,3.3666666666666667,2.9166666666666665,3.325,3.1208333333333336
