ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LTFM,2023,ARR,100,17L,6,3.1666666666666665,2,2,2,2
LTFM,2023,ARR,100,34L,1,21,21,21,21,21
LTFM,2023,ARR,100,35R,11,3.6363636363636362,3,2,2.5,2.25
LTFM,2023,ARR,100,36,1,10,10,10,10,10
LTFM,2023,ARR,101,16R,15,19,15.8,15,15.1,15.05
LTFM,2023,ARR,101,17L,17,4.882352941176471,3,2.8000000000000003,3,2.9000000000000004
LTFM,2023,ARR,101,18,4,9,8,8,8,8
LTFM,2023,ARR,101,34L,23,21.217391304347824,17.4,12.2,15.600000000000001,13.9
LTFM,2023,ARR,101,35R,49,5.3061224489795915,4,3,3,3
LTFM,2023,ARR,101,36,18,8.777777777777779,7,6.8500000000000005,7,6.925000000000001
LTFM,2023,ARR,102,16R,20,17.75,15.8,12,14.850000000000001,13.425
LTFM,2023,ARR,102,17L,40,4.05,3,2,3,2.5
LTFM,2023,ARR,102,18,4,9.25,8.8,7.45,8.350000000000001,7.9
LTFM,2023,ARR,102,34L,54,19.75925925925926,16,13,15.95,14.475
LTFM,2023,ARR,102,35R,101,5.811881188118812,4,3,4,3.5
LTFM,2023,ARR,102,36,31,8.774193548387096,7,6,7,6.5
LTFM,2023,ARR,103,16R,24,17.5,15.600000000000001,14,15,14.5
LTFM,2023,ARR,103,17L,40,4.4,3,3,3,3
LTFM,2023,ARR,103,18,8,8.5,7,7,7,7
LTFM,2023,ARR,103,34L,84,18.678571428571427,15.600000000000001,12.15,14,13.075
LTFM,2023,ARR,103,35R,105,5.619047619047618,4,4,4,4
LTFM,2023,ARR,103,36,36,8.63888888888889,8,7,7.25,7.125
LTFM,2023,ARR,104,16R,27,17.62962962962963,15.2,12.3,13.9,13.100000000000001
LTFM,2023,ARR,104,17L,33,4.7272727272727275,3,2.6,3,2.8
LTFM,2023,ARR,104,18,9,8,6,5.4,6,5.7
LTFM,2023,ARR,104,34L,95,19.568421052631578,16.8,13,15.1,14.05
LTFM,2023,ARR,104,35R,112,5.517857142857142,4,3,4,3.5
LTFM,2023,ARR,104,36,31,8.548387096774194,7,6,7,6.5
LTFM,2023,ARR,105,16R,28,16.785714285714285,14,10.7,12.1,11.399999999999999
LTFM,2023,ARR,105,17L,48,4.25,3,3,3,3
LTFM,2023,ARR,105,18,8,9.75,8,5.4,8,6.7
LTFM,2023,ARR,105,34L,70,19.514285714285712,16,14,15,14.5
LTFM,2023,ARR,105,35R,129,5.651162790697674,4,4,4,4
LTFM,2023,ARR,105,36,49,8.448979591836734,7,6,7,6.5
LTFM,2023,ARR,106,16R,26,17.73076923076923,15,11.5,14.75,13.125
LTFM,2023,ARR,106,17L,52,4.653846153846154,3,3,3,3
LTFM,2023,ARR,106,18,7,8.285714285714286,7.2,7,7,7
LTFM,2023,ARR,106,34L,78,18.935897435897438,16,12,14.549999999999999,13.274999999999999
LTFM,2023,ARR,106,35R,107,5.747663551401868,5,4,4,4
LTFM,2023,ARR,106,36,31,8.741935483870968,7,6,7,6.5
LTFM,2023,ARR,107,16R,24,17.666666666666668,15,15,15,15
LTFM,2023,ARR,107,17L,41,4.609756097560975,3,3,3,3
LTFM,2023,ARR,107,18,9,8.11111111111111,7,5.8,7,6.4
LTFM,2023,ARR,107,34L,94,19.074468085106382,15,13,14,13.5
LTFM,2023,ARR,107,35R,103,5.4951456310679605,4,4,4,4
LTFM,2023,ARR,107,36,50,8.1,7,7,7,7
LTFM,2023,ARR,108,16R,29,17.275862068965516,15.600000000000001,11,15,13
LTFM,2023,ARR,108,17L,47,4.595744680851064,3,3,3,3
LTFM,2023,ARR,108,18,10,7.9,6,6,6,6
LTFM,2023,ARR,108,34L,60,19.033333333333335,16.8,14,16,15
LTFM,2023,ARR,108,35R,83,6.048192771084337,4.400000000000002,4,4,4
LTFM,2023,ARR,108,36,29,8.137931034482758,7,7,7,7
LTFM,2023,ARR,109,16R,29,16.93103448275862,14.6,12.8,14,13.4
LTFM,2023,ARR,109,17L,43,4.4186046511627906,4,3,4,3.5
LTFM,2023,ARR,109,18,5,7.2,5.800000000000001,5.199999999999999,5.6,5.3999999999999995
LTFM,2023,ARR,109,34L,42,19.214285714285715,15,14,15,14.5
LTFM,2023,ARR,109,35R,60,5.333333333333334,4,4,4,4
LTFM,2023,ARR,109,36,26,7.576923076923077,7,6,6,6
LTFM,2023,ARR,110,16R,26,18.384615384615383,16,14,16,15
LTFM,2023,ARR,110,17L,31,4.580645161290323,4,3.5,4,3.75
LTFM,2023,ARR,110,18,1,8,8,8,8,8
LTFM,2023,ARR,110,34L,67,19.791044776119403,17,15,16,15.5
