ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EDDF,2023,DEP,A1,07C,332,9.282128514056225,6.45,5.692500000000001,6.233333333333333,5.962916666666667
EDDF,2023,DEP,A1,07R,10,12.18,10.84,9.745833333333334,10.817499999999999,10.281666666666666
EDDF,2023,DEP,A1,18,1295,10.698391248391248,8.266666666666667,7.15,8,7.575
EDDF,2023,DEP,A1,25C,573,8.523618382780686,5.883333333333334,4.876666666666667,5.680000000000001,5.278333333333334
EDDF,2023,DEP,A1,25L,22,11.203787878787878,8.86,7.8183333333333325,8.1033333333333335,7.960833333333333
EDDF,2023,DEP,A11,07C,471,13.28099787685775,10.65,9.583333333333334,10.358333333333334,9.970833333333335
EDDF,2023,DEP,A11,07R,5,15.66,13.663333333333334,13.153333333333332,13.493333333333332,13.323333333333332
EDDF,2023,DEP,A11,18,1367,14.85596196049744,12.3,11.116666666666667,11.983333333333333,11.55
EDDF,2023,DEP,A11,25C,763,12.612035823503714,10.09,8.818333333333333,9.709999999999999,9.264166666666666
EDDF,2023,DEP,A11,25L,20,15.688333333333334,12.533333333333333,10.834166666666665,12.159166666666668,11.496666666666666
EDDF,2023,DEP,A13,07C,412,12.86525080906149,10.143333333333333,9.085,9.816666666666666,9.450833333333334
EDDF,2023,DEP,A13,07R,5,18.113333333333333,15.016666666666666,13.066666666666666,14.366666666666665,13.716666666666665
EDDF,2023,DEP,A13,18,1338,14.347433981066269,11.973333333333333,10.666666666666666,11.6,11.133333333333333
EDDF,2023,DEP,A13,25C,624,12.093990384615385,9.543333333333335,8.338333333333335,9.324166666666667,8.83125
EDDF,2023,DEP,A13,25L,30,13.901666666666667,11.526666666666667,10.348333333333333,10.7125,10.530416666666667
EDDF,2023,DEP,A14,07C,447,13.092431021625652,10.65,9.45,10.33,9.89
EDDF,2023,DEP,A14,07R,1,18.183333333333334,18.183333333333334,18.183333333333334,18.183333333333334,18.183333333333334
EDDF,2023,DEP,A14,18,1574,14.622469292672596,12.166666666666666,10.816666666666666,11.833333333333334,11.325
EDDF,2023,DEP,A14,25C,648,14.099434156378601,11.673333333333332,10.361666666666666,11.256666666666666,10.809166666666666
EDDF,2023,DEP,A14,25L,28,15.936309523809523,13.693333333333332,13.113333333333333,13.381666666666668,13.2475
EDDF,2023,DEP,A15,07C,366,14.724863387978143,10.516666666666667,8.966666666666667,10.058333333333334,9.5125
