ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EDDM,2023,DEP,110,08L,104,15.096153846153848,11,9,10.45,9.725
EDDM,2023,DEP,110,08R,536,16.82089552238806,14,13,14,13.5
EDDM,2023,DEP,110,26L,1035,16.155555555555555,14,12,13,12.5
EDDM,2023,DEP,110,26R,220,16.413636363636364,13,12,13,12.5
EDDM,2023,DEP,111,08L,318,13.534591194968552,10,9,10,9.5
EDDM,2023,DEP,111,08R,562,15.540925266903916,13,12,13,12.5
EDDM,2023,DEP,111,26L,1025,14.808780487804876,12,10,11.599999999999994,10.799999999999997
EDDM,2023,DEP,111,26R,559,15.516994633273708,13,11,12,11.5
EDDM,2023,DEP,112,08L,183,14.743169398907105,11,10,11,10.5
EDDM,2023,DEP,112,08R,206,14.961165048543688,13,11,12,11.5
EDDM,2023,DEP,112,26L,399,14.295739348370926,12,11,11,11
EDDM,2023,DEP,112,26R,349,16.266475644699142,13,12,13,12.5
EDDM,2023,DEP,113,08L,185,15.691891891891892,11,9,11,10
EDDM,2023,DEP,113,08R,523,17.804971319311658,14,12,14,13
EDDM,2023,DEP,113,26L,1015,16.940886699507402,13,11,12,11.5
EDDM,2023,DEP,113,26R,278,17.557553956834532,14,12,13,12.5
EDDM,2023,DEP,115,08L,183,13.770491803278691,10,8,10,9
EDDM,2023,DEP,115,08R,545,14.908256880733944,12,11,12,11.5
EDDM,2023,DEP,115,26L,1048,14.134541984732826,11,10,11,10.5
EDDM,2023,DEP,115,26R,345,16.1768115942029,13,12,13,12.5
EDDM,2023,DEP,116,08L,392,11.839285714285712,9,8,9,8.5
EDDM,2023,DEP,116,08R,270,13.907407407407405,11,10,11,10.5
EDDM,2023,DEP,116,26L,563,13.174067495559502,10,9,10,9.5
EDDM,2023,DEP,116,26R,603,14.814262023217248,12,11,12,11.5
EDDM,2023,DEP,117,08L,473,12.342494714587737,9,8,9,8.5
EDDM,2023,DEP,117,08R,319,13.539184952978054,11,9.899999999999999,11,10.45
EDDM,2023,DEP,117,26L,613,13.091353996737359,10,9,10,9.5
EDDM,2023,DEP,117,26R,816,14.969362745098039,12,11,12,11.5
EDDM,2023,DEP,118,08L,464,12.090517241379311,10,8,9,8.5
EDDM,2023,DEP,118,08R,391,13.455242966751923,11,9.5,11,10.25
EDDM,2023,DEP,118,26L,698,12.825214899713465,10,9,10,9.5
EDDM,2023,DEP,118,26R,829,15.072376357056694,13,11,12,11.5
EDDM,2023,DEP,119,08L,427,12.555035128805617,10,8,9,8.5
EDDM,2023,DEP,119,08R,376,13.704787234042552,11,10,11,10.5
EDDM,2023,DEP,119,26L,706,12.793201133144475,10,9,10,9.5
EDDM,2023,DEP,119,26R,756,15.314814814814817,13,11,12,11.5
EDDM,2023,DEP,120,08L,408,13.093137254901961,10,9,9,9
EDDM,2023,DEP,120,08R,398,13.758793969849243,11,10,11,10.5
EDDM,2023,DEP,120,26L,795,12.65911949685535,10,9,10,9.5
EDDM,2023,DEP,120,26R,649,15.01386748844376,13,11,12,11.5
EDDM,2023,DEP,121,08L,293,12.853242320819117,10,9,9,9
EDDM,2023,DEP,121,08R,306,13.911764705882355,11,10,11,10.5
EDDM,2023,DEP,121,26L,629,13.050874403815579,10,9,10,9.5
EDDM,2023,DEP,121,26R,445,14.885393258426966,13,11,12,11.5
EDDM,2023,DEP,135,08L,12,17,11,9.55,10.649999999999999,10.1
EDDM,2023,DEP,135,08R,10,20.8,14,14,14,14
EDDM,2023,DEP,135,26L,10,21.5,14.599999999999998,11.9,13.7,12.8
EDDM,2023,DEP,135,26R,18,15.38888888888889,13,11.5,13,12.25
EDDM,2023,DEP,155,08L,9,17.444444444444443,12,8.399999999999999,12,10.2
EDDM,2023,DEP,155,08R,10,17.1,13.6,12,12.7,12.35
EDDM,2023,DEP,155,26L,26,14.423076923076923,13,12,12,12
EDDM,2023,DEP,155,26R,15,22.06666666666667,15,12.7,15,13.85
EDDM,2023,DEP,161,08L,125,12.72,10,9,10,9.5
EDDM,2023,DEP,161,08R,99,14.565656565656564,11,10,11,10.5
EDDM,2023,DEP,161,26L,204,13.936274509803921,11,10,11,10.5
EDDM,2023,DEP,161,26R,227,16.158590308370048,13,12,13,12.5
EDDM,2023,DEP,162,08L,155,12.883870967741935,10,9,10,9.5
EDDM,2023,DEP,162,08R,91,14.23076923076923,11,10,11,10.5
EDDM,2023,DEP,162,26L,201,13.313432835820894,11,10,11,10.5
EDDM,2023,DEP,162,26R,267,16.45318352059925,14,13,14,13.5
EDDM,2023,DEP,163,08L,57,14.228070175438594,9.200000000000001,8,9,8.5
EDDM,2023,DEP,163,08R,151,13.430463576158939,11,10,11,10.5
EDDM,2023,DEP,163,26L,312,13.564102564102564,11,10,10,10
EDDM,2023,DEP,163,26R,77,15.558441558441558,13,11,12,11.5
EDDM,2023,DEP,164,08L,155,15.316129032258067,12,11,12,11.5
EDDM,2023,DEP,164,08R,84,15.047619047619046,12,10.15,12,11.075
EDDM,2023,DEP,164,26L,171,14.333333333333332,11,9,11,10
EDDM,2023,DEP,164,26R,261,18.268199233716476,15,13,15,14
EDDM,2023,DEP,171,08L,16,13.5,8,7.75,8,7.875
EDDM,2023,DEP,171,08R,11,11.909090909090908,10,7,9.5,8.25
EDDM,2023,DEP,171,26L,25,12.72,9.8,7.2,8.6,7.9
EDDM,2023,DEP,171,26R,19,18.42105263157895,10,8.8,9.7,9.25
EDDM,2023,DEP,172,08L,16,15.5625,7,5.75,6.25,6
EDDM,2023,DEP,172,08R,8,14.625,13,11.05,13,12.025
EDDM,2023,DEP,172,26L,26,14.423076923076923,12,9.25,11,10.125
EDDM,2023,DEP,172,26R,18,13.722222222222221,11.4,7.85,10.55,9.2
EDDM,2023,DEP,173,08L,12,10.916666666666668,8.2,6.1000000000000005,7.65,6.875
EDDM,2023,DEP,173,08R,17,14.705882352941176,12,11,12,11.5
EDDM,2023,DEP,173,26L,24,13.791666666666666,11,8.15,10.45,9.3
EDDM,2023,DEP,173,26R,22,12.545454545454545,10,9,9.15,9.075
EDDM,2023,DEP,174,08L,30,11.333333333333332,8.8,5.45,8,6.725
EDDM,2023,DEP,174,08R,19,14.105263157894736,12,10.799999999999999,11.7,11.25
EDDM,2023,DEP,174,26L,31,14.516129032258064,12,11,12,11.5
EDDM,2023,DEP,174,26R,27,14.851851851851853,10.2,7.6,9,8.3
EDDM,2023,DEP,175,08L,20,11.85,8.8,6.8500000000000005,8,7.425000000000001
EDDM,2023,DEP,175,08R,17,13.823529411764707,12,11.600000000000001,12,11.8
EDDM,2023,DEP,175,26L,28,15.571428571428573,12,10.35,12,11.175
EDDM,2023,DEP,175,26R,35,15.17142857142857,11.8,10,11,10.5
