ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EGLL,2023,DEP,209,09R,2,27.5,25.400000000000002,24.349999999999998,25.049999999999997,24.699999999999996
EGLL,2023,DEP,209,27L,5,21,17.4,15.6,16.799999999999997,16.2
EGLL,2023,DEP,209,27R,5,18.4,17.8,17.2,17.6,17.4
EGLL,2023,DEP,210,09R,3,24.666666666666668,23.4,23.1,23.299999999999997,23.2
EGLL,2023,DEP,210,27L,2,18.5,18.2,18.049999999999997,18.15,18.099999999999998
EGLL,2023,DEP,210,27R,3,16,13.399999999999999,13.100000000000001,13.3,13.200000000000001
EGLL,2023,DEP,211,09R,6,24.833333333333332,22,18.25,20.75,19.5
EGLL,2023,DEP,211,27L,3,22.666666666666668,20.6,19.4,20.2,19.799999999999997
EGLL,2023,DEP,211,27R,5,20.2,16.400000000000002,14.600000000000001,15.8,15.200000000000001
EGLL,2023,DEP,212,09R,4,27.25,23.2,22.3,22.9,22.6
EGLL,2023,DEP,212,27L,3,19,17.799999999999997,17.2,17.6,17.4
EGLL,2023,DEP,212,27R,7,21.857142857142858,16.6,14.6,15.8,15.2
EGLL,2023,DEP,212L,27R,1,15,15,15,15,15
EGLL,2023,DEP,212R,27R,1,19,19,19,19,19
EGLL,2023,DEP,213,09R,5,29,25,22,24,23
EGLL,2023,DEP,213,27L,3,16,14.6,13.4,14.2,13.8
EGLL,2023,DEP,213,27R,4,22.5,19.4,17.599999999999998,18.8,18.2
EGLL,2023,DEP,216,09L,3,33.666666666666664,25.4,22.1,24.3,23.200000000000003
EGLL,2023,DEP,216,09R,894,22.080536912751676,17,14,17,15.5
EGLL,2023,DEP,216,27L,1141,18.06310254163015,14,11,13,12
EGLL,2023,DEP,216,27R,1175,18.892765957446812,14,12,14,13
EGLL,2023,DEP,217,09L,6,24.333333333333332,22,21.25,21.75,21.5
EGLL,2023,DEP,217,09R,867,21.407151095732413,17,14,16,15
EGLL,2023,DEP,217,27L,1057,18.012298959318827,14,11,13,12
EGLL,2023,DEP,217,27R,1099,19.141037306642406,15,12,14,13
EGLL,2023,DEP,218,09R,79,23.329113924050635,20,17.8,20,18.9
EGLL,2023,DEP,218,27L,108,19.462962962962962,16,14,16,15
EGLL,2023,DEP,218,27R,92,20.27173913043478,16,14,15.65,14.825
EGLL,2023,DEP,218L,09L,5,22.4,21.4,19.6,20.8,20.200000000000003
EGLL,2023,DEP,218L,09R,719,21.40611961057023,17,14,16,15
EGLL,2023,DEP,218L,27L,859,17.399301513387663,13,11,13,12
EGLL,2023,DEP,218L,27R,937,19.31483457844184,15,12,14,13
EGLL,2023,DEP,218R,09L,4,26.75,21,21,21,21
EGLL,2023,DEP,218R,09R,710,21.66056338028169,17,14,16,15
EGLL,2023,DEP,218R,27L,859,17.855646100116413,14,11,13,12
EGLL,2023,DEP,218R,27R,871,19.473019517795635,15,12,14,13
EGLL,2023,DEP,219,09L,2,34,31,29.5,30.5,30
EGLL,2023,DEP,219,09R,818,20.793398533007327,16,13,15,14
EGLL,2023,DEP,219,27L,1007,17.028798411122153,13,11,12,11.5
EGLL,2023,DEP,219,27R,1042,19.005758157389632,15,12,14,13
EGLL,2023,DEP,220,09R,610,19.696721311475407,15,12,14,13
EGLL,2023,DEP,220,27L,759,16.03162055335968,12,10,11,10.5
EGLL,2023,DEP,220,27R,746,18.54691689008043,14,12,13,12.5
EGLL,2023,DEP,221L,09L,4,28,17.4,15.6,16.799999999999997,16.2
EGLL,2023,DEP,221L,09R,738,19.334688346883468,15,12,14,13
EGLL,2023,DEP,221L,27L,932,16.164163090128753,12,10,12,11
EGLL,2023,DEP,221L,27R,966,19.068322981366457,15,12,14,13
EGLL,2023,DEP,221R,09L,3,30,28,26.5,27.5,27
EGLL,2023,DEP,221R,09R,824,20.024271844660195,15,12,14,13
EGLL,2023,DEP,221R,27L,1007,16.652432969215493,12,10,12,11
EGLL,2023,DEP,221R,27R,1014,19.256410256410263,15,13,14,13.5
EGLL,2023,DEP,223,09L,3,25,22.4,22.099999999999998,22.3,22.2
EGLL,2023,DEP,223,09R,824,20.103155339805824,15,12,14,13
EGLL,2023,DEP,223,27L,1011,16.675568743817994,12,10,12,11
EGLL,2023,DEP,223,27R,1046,19.23518164435946,15,12,14,13
EGLL,2023,DEP,224,09L,3,27.666666666666668,18,13.500000000000002,16.5,15
EGLL,2023,DEP,224,09R,835,19.435928143712577,15,12,14,13
EGLL,2023,DEP,224,27L,1039,16.678537054860442,13,10,12,11
EGLL,2023,DEP,224,27R,1074,19.13314711359404,15,12.650000000000006,14,13.325000000000003
EGLL,2023,DEP,225,09L,1,27,27,27,27,27
EGLL,2023,DEP,225,09R,823,19.596597812879708,15,12,14,13
EGLL,2023,DEP,225,27L,1062,16.715630885122405,12,10,12,11
EGLL,2023,DEP,225,27R,1037,19.28158148505304,15,12,14,13
EGLL,2023,DEP,226,09L,1,25,25,25,25,25
EGLL,2023,DEP,226,09R,777,20.306306306306304,15,12.800000000000004,15,13.900000000000002
EGLL,2023,DEP,226,27L,985,16.679187817258885,13,10,12,11
EGLL,2023,DEP,226,27R,1042,19.514395393474086,15,13,14,13.5
EGLL,2023,DEP,231,09L,3,29.666666666666668,25.799999999999997,25.2,25.6,25.4
EGLL,2023,DEP,231,09R,361,26.565096952908586,22,18,21,19.5
EGLL,2023,DEP,231,27L,464,21.5926724137931,17,15,17,16
EGLL,2023,DEP,231,27R,469,19.44776119402985,15,12.400000000000002,14,13.200000000000001
EGLL,2023,DEP,232,09L,1,33,33,33,33,33
EGLL,2023,DEP,232,09R,363,25.537190082644628,21,17,20,18.5
EGLL,2023,DEP,232,27L,471,21.509554140127385,17,13.5,16,14.75
EGLL,2023,DEP,232,27R,484,20.12396694214876,15,13,15,14
EGLL,2023,DEP,233,09L,1,23,23,23,23,23
EGLL,2023,DEP,233,09R,349,25.464183381088823,21,17,20,18.5
EGLL,2023,DEP,233,27L,413,21.56174334140436,17,15,16.799999999999997,15.899999999999999
EGLL,2023,DEP,233,27R,413,20.62227602905569,16,14,15.799999999999997,14.899999999999999
EGLL,2023,DEP,233L,09R,10,23.4,19.4,16.45,18.049999999999997,17.25
EGLL,2023,DEP,233L,27L,30,16.533333333333335,13,11,12.35,11.675
EGLL,2023,DEP,233L,27R,20,15.55,11,9.9,10.850000000000001,10.375
EGLL,2023,DEP,233R,09R,27,22.555555555555557,18.2,13,16.9,14.95
EGLL,2023,DEP,233R,27L,59,17.661016949152543,13,10.9,12,11.45
EGLL,2023,DEP,233R,27R,59,16.050847457627118,12,11,11.7,11.35
EGLL,2023,DEP,235,09L,1,28,28,28,28,28
EGLL,2023,DEP,235,09R,297,25.811447811447817,20,18,19,18.5
EGLL,2023,DEP,235,27L,336,21.08928571428571,16,15,16,15.5
EGLL,2023,DEP,235,27R,341,20.794721407624632,16,14,16,15
EGLL,2023,DEP,236,09L,1,19,19,19,19,19
EGLL,2023,DEP,236,09R,335,24.69850746268657,20,16,19,17.5
EGLL,2023,DEP,236,27L,373,19.691689008042893,15,13,15,14
EGLL,2023,DEP,236,27R,365,20.16986301369863,16,13.2,15,14.1
EGLL,2023,DEP,237,09R,202,23.975247524752476,20,16,19,17.5
EGLL,2023,DEP,237,27L,268,19.38432835820895,15,13,15,14
EGLL,2023,DEP,237,27R,283,20.88339222614841,17,14,16,15
EGLL,2023,DEP,237L,09R,173,20.0635838150289,15,13,14,13.5
EGLL,2023,DEP,237L,27L,236,16.360169491525422,12,10,11.25,10.625
EGLL,2023,DEP,237L,27R,230,17.108695652173914,13,11,13,12
EGLL,2023,DEP,237R,09R,197,21.101522842639593,16,13,15,14
EGLL,2023,DEP,237R,27L,247,17.51012145748988,13,11,13,12
EGLL,2023,DEP,237R,27R,235,17.608510638297872,13,11,13,12
EGLL,2023,DEP,238,09R,394,23.57106598984772,19,16,19,17.5
EGLL,2023,DEP,238,27L,480,19.0125,15,13,15,14
EGLL,2023,DEP,238,27R,505,21.15643564356436,17,14,16,15
EGLL,2023,DEP,239,09L,4,30.75,17.6,14.9,16.700000000000003,15.8
EGLL,2023,DEP,239,09R,355,22.93521126760563,18,15,17,16
EGLL,2023,DEP,239,27L,451,18.350332594235038,15,12,14,13
EGLL,2023,DEP,239,27R,437,21.064073226544622,17,14,16.39999999999999,15.199999999999996
EGLL,2023,DEP,241,09L,9,27.22222222222222,20.200000000000003,16,17.400000000000002,16.700000000000003
EGLL,2023,DEP,241,09R,328,22.640243902439025,18,14,17,15.5
