ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
EHAM,2023,DEP,1,04,17,6.895098039215686,4.8,2.4,3.5999999999999996,3
EHAM,2023,DEP,1,09,1,12.233333333333333,12.233333333333333,12.233333333333333,12.233333333333333,12.233333333333333
EHAM,2023,DEP,1,18L,1,11.033333333333333,11.033333333333333,11.033333333333333,11.033333333333333,11.033333333333333
EHAM,2023,DEP,1,22,10,7.706666666666667,4.08,2.45,3.4724999999999993,2.9612499999999997
EHAM,2023,DEP,1,24,2,12.716666666666667,12.286666666666667,12.071666666666665,12.215,12.143333333333333
EHAM,2023,DEP,1,HEL,1,39,39,39,39,39
EHAM,2023,DEP,A31,09,84,12.364285714285714,9.280000000000001,8.239166666666668,8.889166666666666,8.564166666666667
EHAM,2023,DEP,A31,18C,18,10.698148148148148,9.733333333333333,7.702500000000001,9.455833333333333,8.579166666666666
EHAM,2023,DEP,A31,18L,281,11.145136417556346,9.066666666666666,7.683333333333334,8.85,8.266666666666666
EHAM,2023,DEP,A31,24,608,8.96356907894737,7.116666666666666,6.166666666666667,6.867499999999999,6.517083333333333
EHAM,2023,DEP,A31,27,5,15.236666666666668,14.033333333333333,12.783333333333333,13.616666666666667,13.2
EHAM,2023,DEP,A31,36C,86,8.90968992248062,7.366666666666666,6.3625,7.208333333333333,6.785416666666666
EHAM,2023,DEP,A31,36L,296,14.497184684684685,12.25,11.35,12.066666666666666,11.708333333333332
EHAM,2023,DEP,A32,09,76,12.529824561403508,9.65,8.754166666666666,9.404166666666667,9.079166666666666
EHAM,2023,DEP,A32,18C,24,10.544444444444444,9.376666666666667,8.782499999999999,9.129166666666666,8.955833333333333
EHAM,2023,DEP,A32,18L,305,11.27103825136612,9.376666666666665,8.056666666666667,8.976666666666667,8.516666666666666
EHAM,2023,DEP,A32,24,632,9.043960970464134,7.12,6.283333333333333,6.9275,6.605416666666667
EHAM,2023,DEP,A32,27,4,15.8125,13.726666666666667,12.931666666666667,13.461666666666666,13.196666666666665
EHAM,2023,DEP,A32,36C,87,8.640613026819924,7.253333333333334,6.045,7.09,6.5675
EHAM,2023,DEP,A32,36L,348,14.257854406130269,12.246666666666666,10.9075,11.951666666666666,11.429583333333333
EHAM,2023,DEP,A33,09,83,12.51265060240964,9.84,8.845,9.583333333333334,9.214166666666667
EHAM,2023,DEP,A33,18C,24,10.65,9.043333333333333,8.034166666666668,8.8775,8.455833333333334
EHAM,2023,DEP,A33,18L,307,11.500977198697068,9.276666666666667,8.276666666666667,8.993333333333334,8.635000000000002
EHAM,2023,DEP,A33,24,665,9.205513784461152,7.3,6.383333333333334,7.109999999999999,6.746666666666666
EHAM,2023,DEP,A33,27,8,13.602083333333333,11.543333333333333,10.784166666666668,11.286666666666667,11.035416666666666
EHAM,2023,DEP,A33,36C,94,8.77304964539007,7.16,5.960833333333333,6.965833333333333,6.463333333333333
EHAM,2023,DEP,A33,36L,328,14.34451219512195,12.273333333333333,11.489166666666666,12.066666666666666,11.777916666666666
EHAM,2023,DEP,A34,09,97,13.266494845360825,10.066666666666668,8.93,9.656666666666666,9.293333333333333
EHAM,2023,DEP,A34,18C,25,11.193333333333333,9.563333333333333,8.263333333333334,8.883333333333333,8.573333333333334
EHAM,2023,DEP,A34,18L,289,11.516147635524797,9.31,7.736666666666666,8.97,8.3533333333333335
EHAM,2023,DEP,A34,24,655,9.180839694656488,7.383333333333334,6.406666666666667,7.135,6.770833333333334
EHAM,2023,DEP,A34,27,5,13.873333333333333,12.583333333333334,11.733333333333333,12.3,12.016666666666666
EHAM,2023,DEP,A34,36C,96,9.290625,7.566666666666666,6.75,7.233333333333333,6.991666666666667
EHAM,2023,DEP,A34,36L,354,14.383050847457627,12.493333333333332,11.194166666666666,12.197499999999998,11.695833333333333
EHAM,2023,DEP,A35,09,78,13.017735042735042,10.483333333333334,9.0475,9.938333333333333,9.492916666666666
EHAM,2023,DEP,A35,18C,30,10.887222222222222,9.45,7.711666666666667,9.316666666666666,8.514166666666666
EHAM,2023,DEP,A35,18L,289,11.565743944636678,9.56,8.34,9.153333333333334,8.746666666666666
EHAM,2023,DEP,A35,24,589,9.368336162988115,7.366666666666666,6.513333333333334,7.203333333333333,6.858333333333333
EHAM,2023,DEP,A35,27,5,14.563333333333334,13.426666666666666,11.856666666666667,12.903333333333332,12.379999999999999
EHAM,2023,DEP,A35,36C,86,9.177519379844961,7.316666666666666,6.575,7.191666666666667,6.883333333333334
