ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LEMD,2023,DEP,10,14L,56,13.95029761904762,12.166666666666666,9.954166666666666,11.545833333333333,10.75
LEMD,2023,DEP,10,14R,32,10.431770833333333,6.95,6.590833333333333,6.866666666666666,6.72875
LEMD,2023,DEP,10,36L,170,11.652549019607843,9.196666666666667,8.090833333333332,8.955833333333333,8.523333333333333
LEMD,2023,DEP,10,36R,172,14.169282945736434,11.646666666666667,10.253333333333334,11.3825,10.817916666666667
LEMD,2023,DEP,100,14L,16,20.56875,18.116666666666667,16.475,17.666666666666664,17.070833333333333
LEMD,2023,DEP,100,14R,10,18.205000000000002,13.3,9.915,12.024999999999999,10.969999999999999
LEMD,2023,DEP,100,36L,19,22.093859649122805,17.813333333333333,17.061666666666667,17.578333333333333,17.32
LEMD,2023,DEP,100,36R,40,24.139583333333334,21.083333333333332,16.176666666666666,20.5825,18.379583333333333
LEMD,2023,DEP,101,14L,21,23.78253968253968,21.183333333333334,18.266666666666666,19.75,19.008333333333333
LEMD,2023,DEP,101,14R,7,19.823809523809523,14.713333333333335,13.860000000000001,14.08,13.97
LEMD,2023,DEP,101,36L,21,20.857936507936508,17.316666666666666,13.583333333333334,17.016666666666666,15.3
LEMD,2023,DEP,101,36R,48,22.371875,20.05,17.9375,19.74083333333333,18.839166666666664
LEMD,2023,DEP,102,14L,14,20.941666666666666,19.066666666666666,18.104999999999997,18.971666666666668,18.538333333333334
LEMD,2023,DEP,102,14R,8,20.058333333333334,16.206666666666667,15.825833333333334,15.996666666666666,15.911249999999999
LEMD,2023,DEP,102,36L,23,19.401449275362317,17.30666666666667,16.065,17.255,16.66
LEMD,2023,DEP,102,36R,43,22.97170542635659,20.009999999999998,16.21,19.621666666666666,17.91583333333333
LEMD,2023,DEP,103,14L,12,22.619444444444444,19.85,18.245,19.513333333333332,18.879166666666666
LEMD,2023,DEP,103,14R,6,16.677777777777777,15.333333333333334,14.308333333333334,14.991666666666667,14.65
