ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LFPG,2023,DEP,A01,08L,21,15.428571428571429,12,8,11,9.5
LFPG,2023,DEP,A01,09R,17,21.176470588235293,17,16,17,16.5
LFPG,2023,DEP,A01,26R,16,19.8125,17,14,16.25,15.125
LFPG,2023,DEP,A01,27L,33,21.03030303030303,16.4,15,16,15.5
LFPG,2023,DEP,A03,08L,33,14.696969696969697,11.4,9.6,10.799999999999999,10.2
LFPG,2023,DEP,A03,09L,1,18,18,18,18,18
LFPG,2023,DEP,A03,09R,14,22.785714285714285,18,17,17.95,17.475
LFPG,2023,DEP,A03,26R,51,19.862745098039216,16,13.5,15,14.25
LFPG,2023,DEP,A03,27L,31,20.161290322580644,16,13,14.5,13.75
LFPG,2023,DEP,A03,27R,1,19,19,19,19,19
LFPG,2023,DEP,A04,26R,2,17.5,14.799999999999999,13.450000000000001,14.349999999999998,13.899999999999999
LFPG,2023,DEP,A04,27L,16,18.6875,16,15,16,15.5
LFPG,2023,DEP,A05,08L,17,14.823529411764707,11,10,10.399999999999999,10.2
LFPG,2023,DEP,A05,09R,10,22.1,19.8,18.45,19.35,18.9
LFPG,2023,DEP,A05,26R,34,19.147058823529413,15,10.600000000000001,15,12.8
LFPG,2023,DEP,A05,27L,18,22.72222222222222,16.8,15.85,16,15.925
LFPG,2023,DEP,A05,27R,2,24.5,23,22.25,22.75,22.5
LFPG,2023,DEP,A06,26R,2,15,14.4,14.1,14.3,14.2
LFPG,2023,DEP,A06,27L,1,21,21,21,21,21
LFPG,2023,DEP,A06,27R,1,20,20,20,20,20
LFPG,2023,DEP,A07,08L,27,14.814814814814815,11.2,10,11,10.5
LFPG,2023,DEP,A07,26R,45,16.555555555555557,13,11.2,12,11.6
LFPG,2023,DEP,A07,27L,6,21.833333333333332,20,15.5,18.5,17
LFPG,2023,DEP,A07,27R,2,24.5,23,22.25,22.75,22.5
