ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LIRF,2023,DEP,101,16L,1,30,30,30,30,30
LIRF,2023,DEP,101,25,119,17.478991596638657,10,9,9,9
LIRF,2023,DEP,101,34L,6,31.333333333333336,18,15.75,17.25,16.5
LIRF,2023,DEP,102,16L,3,21.666666666666668,20.799999999999997,20.200000000000003,20.6,20.400000000000002
LIRF,2023,DEP,102,16R,1,28,28,28,28,28
LIRF,2023,DEP,102,25,199,21.859296482412063,14,10,14,12
LIRF,2023,DEP,102,34L,4,39.25,26.2,23.05,25.15,24.1
LIRF,2023,DEP,102,34R,3,23.333333333333332,13.399999999999999,13.100000000000001,13.3,13.200000000000001
LIRF,2023,DEP,103,16R,1,125,125,125,125,125
LIRF,2023,DEP,103,25,24,16.541666666666664,10,8.3,10,9.15
LIRF,2023,DEP,104,25,3,26.666666666666668,12.8,10.700000000000001,12.100000000000001,11.400000000000002
LIRF,2023,DEP,105,16L,8,25.375,18,16.7,18,17.35
LIRF,2023,DEP,105,16R,4,29.5,21.6,21.15,21.45,21.299999999999997
LIRF,2023,DEP,105,25,454,19.614537444933916,13.600000000000009,10,13,11.5
LIRF,2023,DEP,105,34L,22,27.227272727272727,20,19,19.15,19.075
LIRF,2023,DEP,105,34R,4,18.75,17.6,17.15,17.450000000000003,17.3
LIRF,2023,DEP,201,16L,1,31,31,31,31,31
LIRF,2023,DEP,201,16R,2,23,17,14.000000000000002,15.999999999999998,15
LIRF,2023,DEP,201,25,167,15.772455089820362,12,10,11,10.5
LIRF,2023,DEP,201,34L,6,21.5,15,12,14,13
LIRF,2023,DEP,202,16L,1,27,27,27,27,27
LIRF,2023,DEP,202,16R,4,19.25,18,15.75,17.25,16.5
LIRF,2023,DEP,202,25,194,15.664948453608247,11,8.65,10,9.325
LIRF,2023,DEP,202,34L,10,22.8,14,12.899999999999999,14,13.45
LIRF,2023,DEP,203,16R,2,19.5,19.2,19.05,19.15,19.1
LIRF,2023,DEP,203,25,119,15.924369747899158,11,8,10,9
LIRF,2023,DEP,203,34L,5,27,16.8,16.2,16.6,16.4
LIRF,2023,DEP,203,34R,1,32,32,32,32,32
LIRF,2023,DEP,204,16L,2,10,10,10,10,10
LIRF,2023,DEP,204,16R,2,23,18.799999999999997,16.7,18.099999999999998,17.4
LIRF,2023,DEP,204,25,184,16.016304347826086,11,9,10.45,9.725
LIRF,2023,DEP,204,34L,6,26.166666666666668,19,18.25,18.75,18.5
LIRF,2023,DEP,205,16R,1,17,17,17,17,17
LIRF,2023,DEP,205,25,142,14.711267605633804,11,9,10,9.5
LIRF,2023,DEP,205,34L,5,23.4,20,20,20,20
LIRF,2023,DEP,206,16R,3,22.333333333333332,19.799999999999997,17.700000000000003,19.1,18.400000000000002
LIRF,2023,DEP,206,25,136,15.838235294117647,11,9.75,11,10.375
LIRF,2023,DEP,206,34L,7,21.571428571428573,18.2,15.9,17.7,16.8
LIRF,2023,DEP,206,34R,1,15,15,15,15,15
LIRF,2023,DEP,207,16L,1,19,19,19,19,19
LIRF,2023,DEP,207,16R,2,22,20.2,19.3,19.9,19.6
LIRF,2023,DEP,207,25,162,15.882716049382717,11,9,10,9.5
LIRF,2023,DEP,207,34L,5,24.6,19.799999999999997,19.2,19.6,19.4
LIRF,2023,DEP,208,16R,1,9,9,9,9,9
LIRF,2023,DEP,208,25,176,15.34090909090909,10,9,10,9.5
LIRF,2023,DEP,208,34L,10,25.6,20.2,16.45,18.4,17.424999999999997
LIRF,2023,DEP,209,16R,1,22,22,22,22,22
LIRF,2023,DEP,209,25,183,15.404371584699453,11,9,10,9.5
LIRF,2023,DEP,209,34L,8,26.625,24,16.85,24,20.425
LIRF,2023,DEP,209,34R,1,17,17,17,17,17
LIRF,2023,DEP,210,16R,1,15,15,15,15,15
LIRF,2023,DEP,210,25,201,14.592039800995025,11,9,10,9.5
LIRF,2023,DEP,210,34L,7,20.571428571428573,16.2,15.3,15.9,15.600000000000001
LIRF,2023,DEP,210,34R,1,14,14,14,14,14
LIRF,2023,DEP,221,16L,1,51,51,51,51,51
LIRF,2023,DEP,221,16R,2,14,11,9.5,10.499999999999998,10
LIRF,2023,DEP,221,25,431,12.679814385150808,7,6,7,6.5
LIRF,2023,DEP,221,34L,22,21.863636363636363,16.4,9.049999999999999,11.750000000000002,10.4
LIRF,2023,DEP,221,34R,2,12.5,9.2,7.550000000000001,8.649999999999999,8.1
LIRF,2023,DEP,222,16R,5,18.4,12,12,12,12
LIRF,2023,DEP,222,25,455,12.898901098901101,7,6,7,6.5
LIRF,2023,DEP,222,34L,27,19.185185185185187,11,11,11,11
LIRF,2023,DEP,222,34R,1,7,7,7,7,7
LIRF,2023,DEP,223,16R,5,18,14.6,13.399999999999999,14.200000000000001,13.8
LIRF,2023,DEP,223,25,572,13.66608391608392,8,6,7,6.5
LIRF,2023,DEP,223,34L,30,19.966666666666665,12.8,11,12,11.5
LIRF,2023,DEP,223,34R,2,34,23.799999999999997,18.700000000000003,22.099999999999994,20.4
LIRF,2023,DEP,224,16R,3,17.666666666666668,11.8,11.2,11.6,11.399999999999999
LIRF,2023,DEP,224,25,571,13.448336252189142,8,6,7,6.5
LIRF,2023,DEP,224,34L,30,21.266666666666666,14.8,10.9,14,12.45
LIRF,2023,DEP,225,16L,2,10,10,10,10,10
LIRF,2023,DEP,225,16R,6,19.333333333333332,16,15.25,15.75,15.5
LIRF,2023,DEP,225,25,692,12.841040462427749,8,6,7,6.5
LIRF,2023,DEP,225,34L,33,18.484848484848484,13,11,13,12
LIRF,2023,DEP,226,16L,3,13.666666666666666,8.2,7.3,7.9,7.6
LIRF,2023,DEP,226,16R,5,18.2,12.6,11.4,12.2,11.8
LIRF,2023,DEP,226,25,764,12.85078534031414,8,6,7,6.5
LIRF,2023,DEP,226,34L,32,20.03125,14.4,12,13,12.5
LIRF,2023,DEP,226,34R,1,16,16,16,16,16
LIRF,2023,DEP,227,16L,1,10,10,10,10,10
LIRF,2023,DEP,227,16R,8,14.625,12.4,10.7,12.05,11.375
LIRF,2023,DEP,227,25,740,13.02027027027027,8,6,7,6.5
LIRF,2023,DEP,227,34L,35,20.02857142857143,14.8,11.7,14,12.85
LIRF,2023,DEP,227,34R,1,52,52,52,52,52
LIRF,2023,DEP,228,16L,3,32,4.6,1.9000000000000008,3.7,2.8000000000000007
LIRF,2023,DEP,228,16R,1,14,14,14,14,14
LIRF,2023,DEP,228,25,750,13.353333333333333,8,6,8,7
LIRF,2023,DEP,228,34L,37,18.83783783783784,14,12.8,14,13.4
LIRF,2023,DEP,229,16R,7,18.142857142857142,11.2,11,11,11
LIRF,2023,DEP,229,25,763,12.889908256880727,8,6,8,7
LIRF,2023,DEP,229,34L,22,20.818181818181817,14.2,14,14,14
LIRF,2023,DEP,230,16R,7,15.142857142857142,12.2,11.3,11.9,11.600000000000001
LIRF,2023,DEP,230,25,642,13.277258566978194,8,6,7,6.5
