ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LSZH,2023,DEP,101,10,22,13.237121212121211,10.156666666666666,6.473333333333334,8.683333333333334,7.578333333333333
LSZH,2023,DEP,101,16,2,7.341666666666667,7.066666666666667,6.929166666666667,7.020833333333333,6.975
LSZH,2023,DEP,101,28,471,7.268542108987969,4,3.125,3.7583333333333333,3.4416666666666664
LSZH,2023,DEP,101,32,152,8.96502192982456,6.42,4.970000000000001,6.1258333333333335,5.5479166666666675
LSZH,2023,DEP,101,34,1,10.05,10.05,10.05,10.05,10.05
LSZH,2023,DEP,102,10,37,12.842792792792793,9.229999999999999,4.613333333333332,8.620000000000001,6.616666666666667
LSZH,2023,DEP,102,16,1,13.483333333333333,13.483333333333333,13.483333333333333,13.483333333333333,13.483333333333333
LSZH,2023,DEP,102,28,674,7.047749752720079,4.176666666666667,3.1166666666666667,3.85,3.4833333333333334
LSZH,2023,DEP,102,32,197,9.019966159052453,6.553333333333334,5.2700000000000005,6.213333333333333,5.741666666666667
LSZH,2023,DEP,103,10,46,14.390579710144928,10.433333333333334,8.149999999999999,9.616666666666667,8.883333333333333
LSZH,2023,DEP,103,28,589,6.944850028296548,4.076666666666666,3.1000000000000005,3.7666666666666666,3.4333333333333336
LSZH,2023,DEP,103,32,137,9.193552311435523,6.473333333333334,5.420000000000001,6.046666666666667,5.733333333333334
LSZH,2023,DEP,104,10,27,15.692592592592593,10.916666666666668,9.641666666666667,10.148333333333333,9.895
LSZH,2023,DEP,104,28,453,7.030022075055188,4.19,3.236666666666667,3.91,3.5733333333333333
LSZH,2023,DEP,104,32,98,8.877891156462585,6.616666666666666,5.706666666666667,6.360833333333334,6.03375
LSZH,2023,DEP,104,H,1,0,0,0,0,0
LSZH,2023,DEP,105,10,18,14.130555555555556,9.26,6.8933333333333335,8.355833333333333,7.624583333333334
LSZH,2023,DEP,105,28,306,6.6573529411764705,3.933333333333333,3.1875,3.783333333333333,3.4854166666666666
LSZH,2023,DEP,105,32,70,8.88547619047619,6.15,5.1241666666666665,5.8225,5.473333333333333
LSZH,2023,DEP,106,10,9,17.53148148148148,8.956666666666667,6.1466666666666665,7.696666666666667,6.921666666666667
LSZH,2023,DEP,106,28,223,6.885575485799701,3.63,2.576666666666667,3.3433333333333333,2.96
LSZH,2023,DEP,106,32,52,9.739102564102565,6.6499999999999995,5.470000000000001,6.115,5.7925
LSZH,2023,DEP,107,10,23,12.697101449275362,9.246666666666668,6.658333333333333,8.293333333333333,7.475833333333333
LSZH,2023,DEP,107,28,299,6.95551839464883,3.826666666666667,2.5733333333333337,3.466666666666667,3.0200000000000005
LSZH,2023,DEP,107,32,79,9.250632911392405,6.413333333333334,5.256666666666667,5.985,5.620833333333334
LSZH,2023,DEP,107,34,1,11.7,11.7,11.7,11.7,11.7
LSZH,2023,DEP,108,10,17,12.361764705882353,8.306666666666667,1.2433333333333334,8.153333333333332,4.698333333333333
LSZH,2023,DEP,108,16,2,15.083333333333334,12.553333333333333,11.288333333333336,12.131666666666666,11.71
LSZH,2023,DEP,108,28,293,6.887087599544937,3.966666666666667,2.9633333333333334,3.7466666666666666,3.355
LSZH,2023,DEP,108,32,70,8.946666666666667,6.34,5.3875,6.023333333333333,5.705416666666666
LSZH,2023,DEP,109,10,4,15.487499999999999,11.379999999999999,10.3075,11.0225,10.665
LSZH,2023,DEP,109,28,125,7.387466666666667,4.006666666666667,2.72,3.5999999999999996,3.16
LSZH,2023,DEP,109,32,24,8.520833333333334,6.816666666666666,4.807500000000001,6.569166666666666,5.6883333333333335
LSZH,2023,DEP,110,10,1,21.916666666666668,21.916666666666668,21.916666666666668,21.916666666666668,21.916666666666668
LSZH,2023,DEP,110,16,1,23.65,23.65,23.65,23.65,23.65
LSZH,2023,DEP,110,28,75,8.029777777777777,4.390000000000001,1.1416666666666666,3.7383333333333333,2.44
LSZH,2023,DEP,110,32,9,11.855555555555556,8.886666666666667,7.746666666666666,8.573333333333332,8.16
LSZH,2023,DEP,110,34,1,12.683333333333334,12.683333333333334,12.683333333333334,12.683333333333334,12.683333333333334
LSZH,2023,DEP,111,10,6,16.977777777777778,10.633333333333333,7.858333333333333,9.708333333333332,8.783333333333333
LSZH,2023,DEP,111,16,1,10.916666666666666,10.916666666666666,10.916666666666666,10.916666666666666,10.916666666666666
LSZH,2023,DEP,111,28,165,9.83010101010101,5.93,3.1333333333333337,5.026666666666666,4.08
LSZH,2023,DEP,111,32,41,12.947560975609756,7.166666666666667,6.2,6.566666666666666,6.383333333333333
LSZH,2023,DEP,112,32,1,14.4,14.4,14.4,14.4,14.4
LSZH,2023,DEP,202,28,1,3.4,3.4,3.4,3.4,3.4
LSZH,2023,DEP,203,28,2,4.633333333333333,4.263333333333334,4.078333333333333,4.201666666666666,4.14
LSZH,2023,DEP,205,28,9,5.398148148148148,2.81,2.59,2.8033333333333332,2.6966666666666663
LSZH,2023,DEP,206,28,1,6.316666666666666,6.316666666666666,6.316666666666666,6.316666666666666,6.316666666666666
LSZH,2023,DEP,302,28,2,4.9,1.9899999999999995,0.5350000000000005,1.504999999999999,1.0199999999999998
LSZH,2023,DEP,303,28,1,2.95,2.95,2.95,2.95,2.95
LSZH,2023,DEP,303,32,1,5.966666666666667,5.966666666666667,5.966666666666667,5.966666666666667,5.966666666666667
LSZH,2023,DEP,306,28,10,11.668333333333333,6.526666666666666,6.378333333333334,6.474166666666667,6.4262500000000005
LSZH,2023,DEP,307,28,13,13.52179487179487,7.370000000000001,2.7500000000000004,5.943333333333333,4.346666666666667
LSZH,2023,DEP,308,10,1,21.933333333333334,21.933333333333334,21.933333333333334,21.933333333333334,21.933333333333334
LSZH,2023,DEP,308,16,2,14.383333333333333,9.303333333333333,6.7633333333333345,8.456666666666665,7.609999999999999
LSZH,2023,DEP,308,28,105,12.65904761904762,9.003333333333334,0,8.036666666666667,4.0183333333333335
LSZH,2023,DEP,308,32,13,15.95,10.530000000000001,5.960000000000001,10.053333333333333,8.006666666666668
LSZH,2023,DEP,308,H,1,0,0,0,0,0
LSZH,2023,DEP,309,16,1,13.15,13.15,13.15,13.15,13.15
LSZH,2023,DEP,309,28,17,10.45392156862745,5.943333333333333,3.706666666666667,5.65,4.678333333333334
