ICAO,YEAR,PHASE,STND,RWY,SMPL,REF_MEAN,REF_P20,REF_P05,REF_P15,REF_PBWG
LTFM,2023,DEP,100,17R,2,21,18.6,17.4,18.2,17.799999999999997
LTFM,2023,DEP,100,18,4,18.25,16.4,14.600000000000001,15.8,15.200000000000001
LTFM,2023,DEP,100,35L,4,18,17.2,16.3,16.9,16.6
LTFM,2023,DEP,100,35R,1,11,11,11,11,11
LTFM,2023,DEP,100,36,9,17.22222222222222,15,14.4,15,14.7
LTFM,2023,DEP,101,17L,1,9,9,9,9,9
LTFM,2023,DEP,101,17R,13,30.53846153846154,13.600000000000001,11,11.8,11.4
LTFM,2023,DEP,101,18,15,20.666666666666668,15.8,13.7,15.1,14.399999999999999
LTFM,2023,DEP,101,34R,1,22,22,22,22,22
LTFM,2023,DEP,101,35L,51,17.764705882352942,13,11,13,12
LTFM,2023,DEP,101,35R,1,11,11,11,11,11
LTFM,2023,DEP,101,36,36,19.444444444444443,15,14,14.25,14.125
LTFM,2023,DEP,102,17L,1,18,18,18,18,18
LTFM,2023,DEP,102,17R,28,23.78571428571429,13.8,11.35,13,12.175
LTFM,2023,DEP,102,18,32,17,14,12.1,14,13.05
LTFM,2023,DEP,102,34L,5,35.4,27.8,27.2,27.6,27.4
LTFM,2023,DEP,102,35L,95,17.86315789473684,12,9.7,12,10.85
LTFM,2023,DEP,102,35R,4,15.75,12.000000000000002,9.75,11.25,10.5
LTFM,2023,DEP,102,36,70,18.314285714285713,15,12,14.35,13.175
LTFM,2023,DEP,103,17L,1,9,9,9,9,9
LTFM,2023,DEP,103,17R,28,20.96428571428571,13,8.7,13,10.85
LTFM,2023,DEP,103,18,39,19.564102564102562,13.600000000000001,12.9,13,12.95
LTFM,2023,DEP,103,34L,3,27,19.4,19.1,19.3,19.200000000000003
LTFM,2023,DEP,103,34R,1,22,22,22,22,22
LTFM,2023,DEP,103,35L,137,16.474452554744524,11,10,11,10.5
LTFM,2023,DEP,103,35R,5,12,9.6,8.4,9.2,8.8
LTFM,2023,DEP,103,36,78,18.5,14,11.85,14,12.925
LTFM,2023,DEP,104,17L,3,18,15.799999999999999,13.700000000000001,15.100000000000001,14.400000000000002
LTFM,2023,DEP,104,17R,38,19.97368421052632,11,10.850000000000001,11,10.925
LTFM,2023,DEP,104,18,27,17.51851851851852,13.200000000000001,12,13,12.5
LTFM,2023,DEP,104,34L,3,30.666666666666668,29.200000000000003,28.299999999999997,28.9,28.599999999999998
LTFM,2023,DEP,104,35L,144,17.25,12,11,12,11.5
LTFM,2023,DEP,104,35R,6,12.333333333333334,10,8.5,9.5,9
LTFM,2023,DEP,104,36,80,17.3,14,13,14,13.5
LTFM,2023,DEP,105,17L,1,11,11,11,11,11
LTFM,2023,DEP,105,17R,45,20.04444444444444,13,11.2,12,11.6
LTFM,2023,DEP,105,18,38,18,14,12,13,12.5
LTFM,2023,DEP,105,34L,2,26.5,22,19.750000000000004,21.25,20.5
LTFM,2023,DEP,105,34R,1,25,25,25,25,25
LTFM,2023,DEP,105,35L,146,17.102739726027394,12,10.25,12,11.125
LTFM,2023,DEP,105,35R,3,12,10.8,10.200000000000001,10.600000000000001,10.400000000000002
LTFM,2023,DEP,105,36,88,17.488636363636367,14,12,13.049999999999999,12.524999999999999
LTFM,2023,DEP,106,17L,1,17,17,17,17,17
LTFM,2023,DEP,106,17R,41,21.21951219512195,13,11,13,12
LTFM,2023,DEP,106,18,41,16.146341463414632,14,12,13,12.5
LTFM,2023,DEP,106,34L,2,27,22.2,19.8,21.4,20.6
LTFM,2023,DEP,106,35L,136,16.639705882352946,12,10.75,12,11.375
LTFM,2023,DEP,106,35R,4,16.5,12.6,12.15,12.45,12.3
LTFM,2023,DEP,106,36,64,18.28125,15,13,14.45,13.725
LTFM,2023,DEP,107,17L,1,16,16,16,16,16
LTFM,2023,DEP,107,17R,44,22.40909090909091,13.6,11,12.45,11.725
LTFM,2023,DEP,107,18,29,17.379310344827587,14,13,14,13.5
LTFM,2023,DEP,107,34L,1,36,36,36,36,36
LTFM,2023,DEP,107,34R,1,23,23,23,23,23
LTFM,2023,DEP,107,35L,134,16.104477611940297,12,11,12,11.5
LTFM,2023,DEP,107,35R,6,16.333333333333332,15,14.25,14.75,14.5
LTFM,2023,DEP,107,36,99,17.292929292929294,14,13,13.7,13.35
LTFM,2023,DEP,108,17L,6,13.666666666666666,10,10,10,10
LTFM,2023,DEP,108,17R,41,21.829268292682926,13,11,13,12
LTFM,2023,DEP,108,18,27,16.333333333333332,13.200000000000001,12.3,13,12.65
LTFM,2023,DEP,108,34L,1,23,23,23,23,23
LTFM,2023,DEP,108,35L,112,17.125,12,10,11.649999999999999,10.825
LTFM,2023,DEP,108,35R,4,13,12.2,11.3,11.9,11.600000000000001
LTFM,2023,DEP,108,36,59,19.610169491525422,15,12,13.7,12.85
LTFM,2023,DEP,109,17L,2,12.5,12.200000000000001,12.049999999999999,12.15,12.1
LTFM,2023,DEP,109,17R,38,19.894736842105264,14,12,13,12.5
LTFM,2023,DEP,109,18,34,16.294117647058822,12.600000000000001,10.65,12,11.325
LTFM,2023,DEP,109,34L,1,45,45,45,45,45
LTFM,2023,DEP,109,35L,90,16.811111111111114,12,9.45,12,10.725
LTFM,2023,DEP,109,35R,5,13,10,10,10,10
LTFM,2023,DEP,109,36,35,17.8,15,13,15,14
LTFM,2023,DEP,110,17R,6,22.833333333333332,19,14.5,17.5,16
LTFM,2023,DEP,110,18,51,16.627450980392158,13,11,13,12
LTFM,2023,DEP,110,34L,1,33,33,33,33,33
LTFM,2023,DEP,110,35L,28,19.107142857142858,14,12,13.049999999999999,12.524999999999999
LTFM,2023,DEP,110,35R,1,13,13,13,13,13
LTFM,2023,DEP,110,36,127,18.007874015748033,14,12,13,12.5
LTFM,2023,DEP,111,17L,3,17.666666666666668,14.4,14.1,14.3,14.2
LTFM,2023,DEP,111,17R,13,28.692307692307693,16.4,15,15.8,15.4
LTFM,2023,DEP,111,18,71,14.56338028169014,12,9.5,12,10.75
LTFM,2023,DEP,111,34L,1,30,30,30,30,30
LTFM,2023,DEP,111,35L,45,18.08888888888889,14.8,11.2,13,12.1
LTFM,2023,DEP,111,35R,4,14,12.2,11.3,11.9,11.600000000000001
LTFM,2023,DEP,111,36,158,16.38607594936709,13,11.850000000000001,13,12.425
LTFM,2023,DEP,112,17L,1,19,19,19,19,19
LTFM,2023,DEP,112,17R,4,16.75,15,15,15,15
LTFM,2023,DEP,112,18,42,14.952380952380954,12,9,11,10
LTFM,2023,DEP,112,34L,2,16.5,11.399999999999999,8.850000000000001,10.549999999999999,9.7
LTFM,2023,DEP,112,35L,25,17.28,13,12,12.6,12.3
LTFM,2023,DEP,112,35R,3,19.333333333333332,18.2,17.3,17.9,17.6
LTFM,2023,DEP,112,36,187,16.401069518716575,13,12,13,12.5
LTFM,2023,DEP,113,17R,12,23.333333333333332,16.6,13.649999999999999,15.65,14.649999999999999
LTFM,2023,DEP,113,18,70,15.800000000000002,12,10.45,12,11.225
LTFM,2023,DEP,113,34L,4,29,24,21.75,23.25,22.5
LTFM,2023,DEP,113,35L,44,19.15909090909091,13.6,12,13,12.5
LTFM,2023,DEP,113,36,177,16.84180790960452,13,12,13,12.5
LTFM,2023,DEP,114,16R,2,69,64.2,61.8,63.400000000000006,62.6
LTFM,2023,DEP,114,17L,1,19,19,19,19,19
LTFM,2023,DEP,114,17R,11,20.363636363636363,18,12.5,15.5,14
LTFM,2023,DEP,114,18,73,14.808219178082192,12,10.6,11,10.8
LTFM,2023,DEP,114,34L,1,34,34,34,34,34
LTFM,2023,DEP,114,35L,36,17.47222222222222,13,12.75,13,12.875
LTFM,2023,DEP,114,35R,2,12,12,12,12,12
LTFM,2023,DEP,114,36,193,16.73575129533679,13,11,13,12
LTFM,2023,DEP,115,16R,1,62,62,62,62,62
LTFM,2023,DEP,115,17L,1,22,22,22,22,22
LTFM,2023,DEP,115,17R,5,25.4,17.6,16.4,17.2,16.799999999999997
LTFM,2023,DEP,115,18,56,14.803571428571427,12,9.75,11.25,10.5
LTFM,2023,DEP,115,34L,1,30,30,30,30,30
LTFM,2023,DEP,115,35L,32,18.125,14,11.55,14,12.775
LTFM,2023,DEP,115,35R,5,18.2,14.6,10.399999999999999,13.200000000000001,11.8
LTFM,2023,DEP,115,36,171,16.54385964912281,13,11,13,12
LTFM,2023,DEP,116,17R,7,17.571428571428573,14.600000000000001,13.3,13.899999999999999,13.6
LTFM,2023,DEP,116,18,39,14.743589743589743,12.600000000000001,11,12,11.5
LTFM,2023,DEP,116,34L,1,35,35,35,35,35
LTFM,2023,DEP,116,35L,22,19.227272727272727,14,13,13.15,13.075
LTFM,2023,DEP,116,35R,3,13.666666666666666,12,12,12,12
LTFM,2023,DEP,116,36,152,16.19078947368421,13,11.55,13,12.275
LTFM,2023,DEP,117,17L,3,22.333333333333332,18.2,15.8,17.400000000000002,16.6
LTFM,2023,DEP,117,17R,5,15,13,13,13,13
LTFM,2023,DEP,117,18,36,15.61111111111111,11,9,11,10
LTFM,2023,DEP,117,34L,1,39,39,39,39,39
LTFM,2023,DEP,117,35L,19,17.05263157894737,13.2,11,12,11.5
LTFM,2023,DEP,117,35R,5,16.4,12.8,12.200000000000001,12.6,12.4
LTFM,2023,DEP,117,36,151,16.125827814569536,13,12,13,12.5
LTFM,2023,DEP,118,17L,4,14,9.600000000000001,6.8999999999999995,8.7,7.799999999999999
LTFM,2023,DEP,118,17R,8,25,15.8,14.35,15.100000000000001,14.725000000000001
LTFM,2023,DEP,118,18,66,14.606060606060606,12,11,11,11
LTFM,2023,DEP,118,34L,1,35,35,35,35,35
LTFM,2023,DEP,118,35L,22,20.59090909090909,14,13,13.15,13.075
LTFM,2023,DEP,118,35R,4,18.5,13.4,11.6,12.8,12.2
LTFM,2023,DEP,118,36,155,15.63225806451613,13,11,12,11.5
LTFM,2023,DEP,119,17L,4,21.5,17.2,16.3,16.9,16.6
LTFM,2023,DEP,119,17R,5,18.2,14.799999999999999,14.2,14.600000000000001,14.4
LTFM,2023,DEP,119,18,59,15.101694915254239,12,10,11,10.5
LTFM,2023,DEP,119,34L,3,28.333333333333332,24.4,24.1,24.299999999999997,24.2
LTFM,2023,DEP,119,35L,20,20.25,14,11.95,13.850000000000001,12.9
LTFM,2023,DEP,119,35R,2,14.5,13.6,13.15,13.45,13.3
LTFM,2023,DEP,119,36,143,15.62937062937063,13,11,12,11.5
LTFM,2023,DEP,120,17L,1,14,14,14,14,14
LTFM,2023,DEP,120,17R,10,24.3,14,14,14,14
